business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tara maa Xerox center (TMX),Xerox and Photostat Center,Internet cafe,Internet cafe,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 82963 29475,N/A,5.0,,"STATION ROAD, Chandanpur, West Bengal 712223",712407,22.8818511,88.1768608,ChIJAwiKTHSJ-DkRL_axaa9ljoU,https://www.google.com/maps/place/?q=place_id:ChIJAwiKTHSJ-DkRL_axaa9ljoU,part_318,2026-09-20 20:17:28
DEBRAJ STUDIO & XEROX CENTER,Xerox and Photostat Center,Photography studio,Photography studio,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 95646 07960,N/A,4.9,,"Chandanpur-Taj Express Way Rd, Chapsara, West Bengal 712223",712407,22.8773229,88.1973508,ChIJZ_7N_ZmJ-DkRK5eYd8XFZ6Q,https://www.google.com/maps/place/?q=place_id:ChIJZ_7N_ZmJ-DkRK5eYd8XFZ6Q,part_318,2026-09-20 20:17:28
XEROX CITY,Xerox and Photostat Center,Store,Store,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,4.4,,"Basubati, West Bengal 712409",712407,22.7838918,88.20098329999999,ChIJpdjGwM6H-DkRpsB_4pjs2v8,https://www.google.com/maps/place/?q=place_id:ChIJpdjGwM6H-DkRpsB_4pjs2v8,part_318,2026-09-20 20:17:28
Koley Xerox Center & Stationery Shop,Xerox and Photostat Center,Stationery store,"Stationery store, Copy shop",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 97483 33001,N/A,4.8,,"Road No 31, Baruipara, West Bengal 712306",Baruipara,22.7653788,88.23529239999999,ChIJuffnEK2H-DkRJb7U-rmQ4ss,https://www.google.com/maps/place/?q=place_id:ChIJuffnEK2H-DkRJb7U-rmQ4ss,part_318,2026-09-20 20:17:28
XEROX CENTER,Xerox and Photostat Center,Cell phone store,"Cell phone store, Print shop",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 90511 70199,N/A,4.7,,"Bagbazar, Rash Behari Ave, Chandannagar, West Bengal 712136","Bagbazar, Sukhsanatantala",22.8634979,88.3670015,ChIJLwg4xgiR-DkRjuk5UAsbkPg,https://www.google.com/maps/place/?q=place_id:ChIJLwg4xgiR-DkRjuk5UAsbkPg,part_318,2026-09-20 20:17:28
Panja Xerox,Xerox and Photostat Center,Print shop,Print shop,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 99038 64492,N/A,,,"beside Allahabad Bank, Singur Bazar, Singur, West Bengal 712409","Singur Bazar, Singur",22.8132241,88.23055579999999,ChIJz9FtNaeJ-DkRTvyT8yb9Xhw,https://www.google.com/maps/place/?q=place_id:ChIJz9FtNaeJ-DkRTvyT8yb9Xhw,part_318,2026-09-20 20:17:28
Mondal Xerox,Xerox and Photostat Center,Store,Store,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 84206 94171,N/A,4.8,,"Saradapally, Rishra, Bamunari, West Bengal 712250","Saradapally, Rishra",22.7191795,88.3272542,ChIJn7_VSZib-DkRbRF7EmmAbdc,https://www.google.com/maps/place/?q=place_id:ChIJn7_VSZib-DkRbRF7EmmAbdc,part_318,2026-09-20 20:17:28
JANATA XEROX CENTRE,Xerox and Photostat Center,Cell phone store,Cell phone store,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,4.1,,"Bazar, Bhagabatipur, Singjor, West Bengal 712701",Bhagabatipur,22.692751599999998,88.19581579999999,ChIJ73bKKwCB-DkRg-LHeMFpwxM,https://www.google.com/maps/place/?q=place_id:ChIJ73bKKwCB-DkRg-LHeMFpwxM,part_318,2026-09-20 20:17:28
Miracle Jumbo Xerox,Xerox and Photostat Center,Copy shop,Copy shop,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 82768 85992,N/A,4.1,,"68/A, Maniktala, Serampore, Hooghly, West Bengal 712201","Maniktala, Serampore",22.7447536,88.3507513,ChIJC1GzgNSb-DkR2yY7UQlcIq8,https://www.google.com/maps/place/?q=place_id:ChIJC1GzgNSb-DkR2yY7UQlcIq8,part_318,2026-09-20 20:17:28
Biswas xerox centre,Xerox and Photostat Center,Copy shop,Copy shop,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 98360 84915,N/A,5.0,,"V948+85P, GT Rd, Barabazar, Padripara, Chandannagar, West Bengal 712136","Barabazar, Padripara",22.855825199999998,88.3654562,ChIJp_c2AKqR-DkRY86Ve5buTQg,https://www.google.com/maps/place/?q=place_id:ChIJp_c2AKqR-DkRY86Ve5buTQg,part_318,2026-09-20 20:17:28
Mahamaya Xerox Centre,Xerox and Photostat Center,Paper store,Paper store,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 97757 54405,http://flairpens.com/,5.0,,"Batanal, West Bengal 712615",712407,22.919895,87.8610188,ChIJG-SWvzZr-DkR1iabPo7uwCk,https://www.google.com/maps/place/?q=place_id:ChIJG-SWvzZr-DkR1iabPo7uwCk,part_318,2026-09-20 20:17:28
GHOSH XEROX,Xerox and Photostat Center,Print shop,"Print shop, Printing equipment supplier",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 94321 72010,N/A,4.9,,"Police Barrak, Barrack Rd, Ghatakpara, Chinsurah R S, Chinsurah, West Bengal 712101","Ghatakpara, Chinsurah R S",22.8865497,88.3987999,ChIJERVic_-R-DkRqiVNCB8ZZag,https://www.google.com/maps/place/?q=place_id:ChIJERVic_-R-DkRqiVNCB8ZZag,part_318,2026-09-20 20:17:28
Xerox Centre,Xerox and Photostat Center,Print shop,Print shop,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 62949 90047,N/A,5.0,,"VQGR+VC2, SH 2, Arambag, West Bengal 712601",712407,22.8771314,87.79100869999999,ChIJnSUbde4T-DkRiUhT3fBMh_o,https://www.google.com/maps/place/?q=place_id:ChIJnSUbde4T-DkRiUhT3fBMh_o,part_318,2026-09-20 20:17:28
Eureka Xerox Centre,Xerox and Photostat Center,Store,Store,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,4.2,,"R4M8+27M, Gopinagar, West Bengal 712405",712407,22.8325864,88.1156701,ChIJO9tNnxFj-DkRpxCv65HgIgw,https://www.google.com/maps/place/?q=place_id:ChIJO9tNnxFj-DkRpxCv65HgIgw,part_318,2026-09-20 20:17:28
Bagh Xerox And Computer Centre,Xerox and Photostat Center,Print shop,Print shop,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 70036 18548,N/A,,,"R67F+Qph Postaoffice More, Singur - Balarambati Rd, Nathun Bazar, Daluigacha, Kolkata, West Bengal 712409","Nathun Bazar, Daluigacha",22.814393,88.2243684,ChIJq6fFoJeI-DkRQ6mI9NXuDgs,https://www.google.com/maps/place/?q=place_id:ChIJq6fFoJeI-DkRQ6mI9NXuDgs,part_318,2026-09-20 20:17:28
