business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Smart watch repairing,Watch Showroom and Repair,Watch repair service,"Watch repair service, Clock and watch maker",711306,West Bengal Circle,South Bengal Region,Howrah Division,Kulgachia SO,+91 72778 36893,https://youtube.com/@Smartwatchrep.?si=P3xq9k-uI9I4VJqO,4.3,98.0,"Infront of baldeo inter school gate, Bibiganj, Sadar Bazar, Danapur Cantonment, Patna, Bihar 801503","Bibiganj, Sadar Bazar, Danapur Cantonment",25.6375435,85.04576349999999,ChIJ3Rz90bpX7TkR2zh-ydei4gk,https://www.google.com/maps/place/?q=place_id:ChIJ3Rz90bpX7TkR2zh-ydei4gk,part_316,2026-09-20 20:29:10
Watch Repairers..(a place for watch repair & batteries..),Watch Showroom and Repair,Watch repair service,Watch repair service,711306,West Bengal Circle,South Bengal Region,Howrah Division,Kulgachia SO,N/A,N/A,4.1,11.0,"477, Ujjwal Society, Shree Nagar, Nagpur, Maharashtra 440015","Ujjwal Society, Shree Nagar",21.11058,79.07886769999999,ChIJU_lA0ua_1DsRk7xlSSQ1bYE,https://www.google.com/maps/place/?q=place_id:ChIJU_lA0ua_1DsRk7xlSSQ1bYE,part_316,2026-09-20 20:29:10
Shivam Watch Sales & Repair Center,Watch Showroom and Repair,Watch store,"Watch store, Watch repair service",711306,West Bengal Circle,South Bengal Region,Howrah Division,Kulgachia SO,+91 98812 72411,N/A,4.1,13.0,"43JX+CVW, Medical College Rd, Medical Square, Chandan Nagar, Nagpur, Maharashtra 440024","Medical Square, Chandan Nagar",21.1311028,79.0996919,ChIJzxfpnK_A1DsRa57zyHMbsqs,https://www.google.com/maps/place/?q=place_id:ChIJzxfpnK_A1DsRa57zyHMbsqs,part_316,2026-09-20 20:29:10
Watch Palace,Watch Showroom and Repair,Watch repair service,Watch repair service,711306,West Bengal Circle,South Bengal Region,Howrah Division,Kulgachia SO,N/A,N/A,5.0,2.0,"J3WQ+FW7, Yadav Colony, Digha, Patna, Bihar 800011","Yadav Colony, Digha",25.6461632,85.08980369999999,ChIJN7p_98lX7TkRLQ7klF4dPuk,https://www.google.com/maps/place/?q=place_id:ChIJN7p_98lX7TkRLQ7klF4dPuk,part_316,2026-09-20 20:29:10
MARUTHI TIMES,Watch Showroom and Repair,Watch store,Watch store,711306,West Bengal Circle,South Bengal Region,Howrah Division,Kulgachia SO,+91 98456 45617,N/A,4.9,486.0,"No 34, Renuka Complex, MAIN ROAD, Hal, HAL 3rd Stage, New Thippasandra, Bengaluru, Karnataka 560075","Hal, HAL 3rd Stage, New Thippasandra",12.972916699999999,77.6478743,ChIJn9JY0a0XrjsRcW0K2c1tlsM,https://www.google.com/maps/place/?q=place_id:ChIJn9JY0a0XrjsRcW0K2c1tlsM,part_316,2026-09-20 20:29:10
Arrow Times Watch Servicing,Watch Showroom and Repair,Watch repair service,Watch repair service,711306,West Bengal Circle,South Bengal Region,Howrah Division,Kulgachia SO,+91 98450 46266,N/A,4.5,100.0,"44/5, RBI Layout Main Rd, RBI Layout, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078","RBI Layout, JP Nagar 7th Phase, J. P. Nagar",12.8920666,77.5816301,ChIJi_0A3EYVrjsR6TCg72Y8Bhk,https://www.google.com/maps/place/?q=place_id:ChIJi_0A3EYVrjsR6TCg72Y8Bhk,part_316,2026-09-20 20:29:10
Prakash Watch Center,Watch Showroom and Repair,Watch store,"Watch store, Watch repair service",711306,West Bengal Circle,South Bengal Region,Howrah Division,Kulgachia SO,+91 88061 47900,N/A,4.3,4.0,"54CF+C89, Mehandi Bagh Rd, Binaki, Nagpur, Maharashtra 440017",Binaki,21.171049399999998,79.1233606,ChIJs-UCiSfH1DsRp9reDA4J_H8,https://www.google.com/maps/place/?q=place_id:ChIJs-UCiSfH1DsRp9reDA4J_H8,part_316,2026-09-20 20:29:10
India Watch Company,Watch Showroom and Repair,Watch store,"Watch store, Clock repair service, Watch repair service",711306,West Bengal Circle,South Bengal Region,Howrah Division,Kulgachia SO,+91 87543 51976,N/A,4.5,46.0,"3, 6, Main Bazaar Complex, Neyveli Twp Block-19, Neyveli, Tamil Nadu 607803",Neyveli Township Block-19,11.6118115,79.4862033,ChIJq0x_vE6xVDoRCDD8IV1S0U4,https://www.google.com/maps/place/?q=place_id:ChIJq0x_vE6xVDoRCDD8IV1S0U4,part_316,2026-09-20 20:29:10
R.I. Watch And Mobile Service Centre,Watch Showroom and Repair,Watch repair service,"Watch repair service, Mobile phone repair shop, Travel services, Watch store",711306,West Bengal Circle,South Bengal Region,Howrah Division,Kulgachia SO,+91 90665 52677,N/A,4.8,54.0,"17/2, Subramanyapura Rd, RK Layout 2nd Stage, Kadarenahalli, Banashankari 2nd Stage, Padmanabhanagar, Bengaluru, Karnataka 560070","RK Layout 2nd Stage, Kadarenahalli, Banashankari 2nd Stage, Padmanabhanagar",12.913914799999999,77.55976129999999,ChIJjb9cZdY_rjsRxi00zh4Khnw,https://www.google.com/maps/place/?q=place_id:ChIJjb9cZdY_rjsRxi00zh4Khnw,part_316,2026-09-20 20:29:10
TimeSe | Expert Online Watch Repair & Sell pre-owned Luxury watches to your doorstep.,Watch Showroom and Repair,Watch repair service,"Watch repair service, Clock and watch maker, Watch store",711306,West Bengal Circle,South Bengal Region,Howrah Division,Kulgachia SO,+91 90490 49149,http://www.timese.in/,4.8,75.0,"Shop no 13, ground floor, Austin Plaza, beside Nitrro Gym, Mahtoba Chowk, Kaspate Wasti, Wakad, Pimpri-Chinchwad, Maharashtra 411057","Kaspate Wasti, Wakad",18.5951897,73.7689202,ChIJRbPFsi-5wjsRVm_FEhoLbt4,https://www.google.com/maps/place/?q=place_id:ChIJRbPFsi-5wjsRVm_FEhoLbt4,part_316,2026-09-20 20:29:11
