business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Bipin puchka,Shops,Panipuri shop,Panipuri shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 97483 46117,N/A,3.8,,"H7MQ+5CR, Santragachi, Howrah, Kolkata, West Bengal 711111",Santragachi,22.5828801,88.288562,ChIJi3Zy6qB5AjoRVZkq_9aSDFg,https://www.google.com/maps/place/?q=place_id:ChIJi3Zy6qB5AjoRVZkq_9aSDFg,part_316,2026-09-20 20:17:33,7452
Flower Shop,Shops,Flower delivery,Flower delivery,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,5.0,2.0,"H7MP+3PF, Santragachi, Howrah, West Bengal 711111",Santragachi,22.5826904,88.28681069999999,ChIJEWVxF194AjoRcpqcC2kmVOU,https://www.google.com/maps/place/?q=place_id:ChIJEWVxF194AjoRcpqcC2kmVOU,part_316,2026-09-20 20:17:37,7453
City Wholesaler E-Commerce,Shops,Shipping service,"Shipping service, Exporter, Garment Exporter, Importer, Plywood supplier, Snowmobile dealer, Wood and laminate flooring supplier",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 70298 00441,http://www.citywholesaler.in/,5.0,,"K.N.Roy Rd, Habra, South Habra, West Bengal 743268",711111,22.82826,88.65254499999999,ChIJOX4L3xix-DkRVuWWNl-kknc,https://www.google.com/maps/place/?q=place_id:ChIJOX4L3xix-DkRVuWWNl-kknc,part_316,2026-09-20 20:17:44,7454
Radha Binod Stores,Shops,Store,"Store, Cookie shop, Milk delivery service, Soft drinks shop, Chicken shop",711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 33 4526 5321,N/A,4.2,69.0,"93, Old Jagacha, Howrah, West Bengal 711112",Old Jagacha,22.5932766,88.2872664,ChIJi2aNK2J4AjoRgFO7-t9HSsE,https://www.google.com/maps/place/?q=place_id:ChIJi2aNK2J4AjoRgFO7-t9HSsE,part_316,2026-09-20 20:18:13,10184
LAKSHMI BHANDAR,Shops,Indian grocery store,Indian grocery store,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 94323 53434,N/A,4.1,8.0,"Dharsa kantapukur south, West Bengal 711112",Old Jagacha,22.5924007,88.28702849999999,ChIJrdo82CN5AjoRoGqqvm2Zu7U,https://www.google.com/maps/place/?q=place_id:ChIJrdo82CN5AjoRoGqqvm2Zu7U,part_316,2026-09-20 20:18:13,10185
Samanta Bhandar,Shops,Grocery store,Grocery store,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 70292 03231,N/A,5.0,2.0,"Samanta Bhandar, near Kadambari Falt, Old Jagacha, Howrah, West Bengal 711112",Old Jagacha,22.5915286,88.2864403,ChIJ55dfxW55AjoRcmisyvg63w8,https://www.google.com/maps/place/?q=place_id:ChIJ55dfxW55AjoRcmisyvg63w8,part_316,2026-09-20 20:18:13,10186
Ganesh Stores,Shops,Grocery store,Grocery store,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 94334 78666,N/A,3.1,8.0,"Bankra Munsidanga Nayabazar Rd, Jagacha, Howrah, West Bengal 711112",Jagacha,22.590278599999998,88.2798373,ChIJiejne4x4AjoRbD5e96HwdWQ,https://www.google.com/maps/place/?q=place_id:ChIJiejne4x4AjoRbD5e96HwdWQ,part_316,2026-09-20 20:18:14,10187
Kedia Pipes,Shops,Pipe supplier,"Pipe supplier, Engineering consultant, Iron & Steel Store, Pipes Wholesaler, Roofing contractor, Warehouse",711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 98312 82878,http://www.kediapipes.com/,4.6,,"JALAN INDUSTRIAL COMPLEX, Biparnna Para, Howrah, West Bengal 711411",Biparnna Para,22.5923542,88.21238819999999,ChIJt-qWVnF_AjoRTGQNdpCRYuk,https://www.google.com/maps/place/?q=place_id:ChIJt-qWVnF_AjoRTGQNdpCRYuk,part_316,2026-09-20 20:18:15,10188
Geeta Sales Agencies,Shops,Plywood supplier,"Plywood supplier, Furniture accessories, Furniture store, Hardware store, Wallpaper store, Wood and laminate flooring supplier, Wood supplier",711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 96747 33452,N/A,4.6,,"158 J.N Mukherjee Road, Fultala kalimandir, opp. Sai Baba Mandir, Salkia, Howrah, West Bengal 711106",Salkia,22.6047951,88.3511274,ChIJQXhfoyt3AjoRCdhWNw-NGrw,https://www.google.com/maps/place/?q=place_id:ChIJQXhfoyt3AjoRCdhWNw-NGrw,part_316,2026-09-20 20:18:15,10189
Eastman Dealer - Izaan Automobiles,Shops,Battery Store,"Battery Store, Battery Wholesaler, Solar energy system service, Solar energy equipment supplier, Solar panel maintenance service",711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 674 674 5839,https://eastmanbattery.in/,,,"Bankra, Kabar Para Rd, Jamadar Para, Domjur, Howrah, West Bengal 711403","Jamadar Para, Domjur",22.6058506,88.27420459999999,ChIJV7vomGV5AjoR-pXcf8puxZU,https://www.google.com/maps/place/?q=place_id:ChIJV7vomGV5AjoR-pXcf8puxZU,part_316,2026-09-20 20:18:15,10190
