business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Indradev sabji dukan,Fruit and Vegetable Wholesaler,Fruits & Vegetable Wholesaler,Fruits & Vegetable Wholesaler,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",N/A,N/A,,,"Dharsha, dakhin para, Balitikuri, Howrah, West Bengal 711113",Balitikuri,22.601372299999998,88.2885809,ChIJG1Hb2BR5AjoRxJcK5kL8Yow,https://www.google.com/maps/place/?q=place_id:ChIJG1Hb2BR5AjoRxJcK5kL8Yow,part_316,2026-09-20 20:17:33
Vegetable Shop,Fruit and Vegetable Wholesaler,Produce market,Produce market,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",N/A,N/A,4.0,4.0,"H7QR+FMQ, Jagacha, Howrah, West Bengal 711112",Jagacha,22.5887173,88.2917363,ChIJGSKJDWd4AjoROGhQisN6joU,https://www.google.com/maps/place/?q=place_id:ChIJGSKJDWd4AjoROGhQisN6joU,part_316,2026-09-20 20:17:33
Mechua Mandi Burra Bazar,Fruit and Vegetable Wholesaler,Grocery store,Grocery store,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",N/A,N/A,4.3,,"10, Madan Mohan Burman St, Block C, Jorasanko, Kolkata, West Bengal 700007","Block C, Jorasanko",22.5803261,88.3593173,ChIJE2nOlbN3AjoRAwLzb07crVw,https://www.google.com/maps/place/?q=place_id:ChIJE2nOlbN3AjoRAwLzb07crVw,part_316,2026-09-20 20:17:34
Jhikhira Market,Fruit and Vegetable Wholesaler,Market,Market,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 95765 24317,N/A,4.1,,"Jhikhira, West Bengal 711401",711112,22.623653899999997,87.9138036,ChIJZ16iUpN1-DkRLEyF5iEV-KY,https://www.google.com/maps/place/?q=place_id:ChIJZ16iUpN1-DkRLEyF5iEV-KY,part_316,2026-09-20 20:17:34
N.R.Market,Fruit and Vegetable Wholesaler,Market,Market,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",N/A,N/A,4.0,,"J75H+Q7C, Makardah Rd, Bankra Bazar, Bankra, Howrah, West Bengal 711403","Bankra Bazar, Bankra",22.609428599999998,88.27815249999999,ChIJUW3vZoJ4AjoR-Zql7i3oBW4,https://www.google.com/maps/place/?q=place_id:ChIJUW3vZoJ4AjoR-Zql7i3oBW4,part_316,2026-09-20 20:17:34
Bhola Vegetable Stores,Fruit and Vegetable Wholesaler,Produce market,"Produce market, Fruits & Vegetable Wholesaler",711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 90075 65267,http://www.facebook.com/door2mart,5.0,,"Super Market, near Sarsuna, S S Twp, Sarsuna, Kolkata, West Bengal 700061","S S Township, Sarsuna",22.4810405,88.28349879999999,ChIJoUzDHpZ7AjoRLjRY6NDyQgA,https://www.google.com/maps/place/?q=place_id:ChIJoUzDHpZ7AjoRLjRY6NDyQgA,part_316,2026-09-20 20:17:34
SOURAV FRUIT SHOP,Fruit and Vegetable Wholesaler,Fruit wholesaler,Fruit wholesaler,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 80013 37965,N/A,5.0,,"PC Roy Rd, Ramrajatala, Andul Mauri, Duillya, Howrah, West Bengal 711302","Ramrajatala, Andul Mauri, Duillya",22.5774927,88.24002759999999,ChIJGXlNO4h_AjoRGs5UwhYW2Ec,https://www.google.com/maps/place/?q=place_id:ChIJGXlNO4h_AjoRGs5UwhYW2Ec,part_316,2026-09-20 20:17:34
Kolorah Vegetable Market,Fruit and Vegetable Wholesaler,Market,Market,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",N/A,N/A,4.1,64.0,"Kalara, West Bengal 711411",711112,22.6049525,88.193497,ChIJZ42TGM1_AjoR_gMdvoHb5zc,https://www.google.com/maps/place/?q=place_id:ChIJZ42TGM1_AjoR_gMdvoHb5zc,part_316,2026-09-20 20:17:34
Betor Level Crossing. Open Market,Fruit and Vegetable Wholesaler,Market,Market,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",N/A,N/A,3.1,203.0,"14/1, Baksara Rd, Baksara, Howrah, West Bengal 711110",Baksara,22.577455,88.29762099999999,ChIJGbaK6zF5AjoRkOcxluYXjh4,https://www.google.com/maps/place/?q=place_id:ChIJGbaK6zF5AjoRkOcxluYXjh4,part_316,2026-09-20 20:17:34
Chowbaga Wholesale Vegetable Market,Fruit and Vegetable Wholesaler,Vegetable wholesale market,Vegetable wholesale market,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",N/A,N/A,4.3,12.0,"West Chowbaga Rd, Majhi Para, Chowbaga, Kolkata, West Bengal 700107","Majhi Para, Chowbaga",22.5283014,88.42073889999999,ChIJ_wpG6g91AjoRya__k0OAW3w,https://www.google.com/maps/place/?q=place_id:ChIJ_wpG6g91AjoRya__k0OAW3w,part_316,2026-09-20 20:17:35
