business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Quick Crane Service,Crane and Towing Service,Towing service,Towing service,700084,West Bengal Circle,Kolkata Region,South Presidency Division,"Garia SO South 24 Parganas, Garia Garden SO, Kamda Hari SO",N/A,N/A,5.0,,"1/B, Dr Biresh Guha St, 4 No. Bridge, Park Circus, At, Kolkata, West Bengal 700017","4 No. Bridge, Park Circus, At",22.537885799999998,88.368246,ChIJPxhiycV3AjoRusxAZQoey9c,https://www.google.com/maps/place/?q=place_id:ChIJPxhiycV3AjoRusxAZQoey9c,part_314,2026-09-20 20:22:00
"Reliable Crane Service(Towing Cars,Bikes and heavy vehicles)",Crane and Towing Service,Towing service,"Towing service, Crane service",700084,West Bengal Circle,Kolkata Region,South Presidency Division,"Garia SO South 24 Parganas, Garia Garden SO, Kamda Hari SO",+91 79800 27874,N/A,4.9,,"13, Arupota Rd, near SCIENCE CITY, Dhapa, Kolkata, West Bengal 700107",Dhapa,22.5410409,88.40501859999999,ChIJoSJcasF1AjoRs6xsr5ycZIs,https://www.google.com/maps/place/?q=place_id:ChIJoSJcasF1AjoRs6xsr5ycZIs,part_314,2026-09-20 20:22:00
Guide Crane Service - breakdown service in kolkata | recovery van in kolkata,Crane and Towing Service,Towing service,"Towing service, Crane service",700084,West Bengal Circle,Kolkata Region,South Presidency Division,"Garia SO South 24 Parganas, Garia Garden SO, Kamda Hari SO",+91 82406 06452,https://guidecraneservice.in/,4.9,,"29/1, Gulam Jilani Khan Rd, Topsia, Kolkata, West Bengal 700039",Topsia,22.534988,88.38940679999999,ChIJfz3oiqZ3AjoRd7dWAsClgk4,https://www.google.com/maps/place/?q=place_id:ChIJfz3oiqZ3AjoRd7dWAsClgk4,part_314,2026-09-20 20:22:00
Falak Crane Service,Crane and Towing Service,Towing service,Towing service,700084,West Bengal Circle,Kolkata Region,South Presidency Division,"Garia SO South 24 Parganas, Garia Garden SO, Kamda Hari SO",+91 90737 57529,https://falakcraneservice.lovable.app/,5.0,,"1 B, Dr Biresh Guha St, Park Circus, Ballygunge, Kolkata, West Bengal 700017","Park Circus, Ballygunge",22.5397653,88.37006989999999,ChIJqT5pmdx3AjoRui3A8iG3YsE,https://www.google.com/maps/place/?q=place_id:ChIJqT5pmdx3AjoRui3A8iG3YsE,part_314,2026-09-20 20:22:00
S.I Enterprise Crane Services,Crane and Towing Service,Towing service,Towing service,700084,West Bengal Circle,Kolkata Region,South Presidency Division,"Garia SO South 24 Parganas, Garia Garden SO, Kamda Hari SO",+91 94329 08747,N/A,4.9,,"54B, Tiljala Rd, near 4No. Bridge, Gobra, Kolkata, West Bengal 700046",Gobra,22.5375382,88.37447039999999,ChIJeQ-YE_d3AjoRwC--dg6cEeA,https://www.google.com/maps/place/?q=place_id:ChIJeQ-YE_d3AjoRwC--dg6cEeA,part_314,2026-09-20 20:22:00
Chand Crane Service,Crane and Towing Service,Towing service,Towing service,700084,West Bengal Circle,Kolkata Region,South Presidency Division,"Garia SO South 24 Parganas, Garia Garden SO, Kamda Hari SO",+91 75859 96786,N/A,4.8,,"New Park St, Park Circus, Beniapukur, Kolkata, West Bengal 700017","Park Circus, Beniapukur",22.540154599999997,88.36936469999999,ChIJ-SR6jWZ3AjoRNaFpFV-Rh8A,https://www.google.com/maps/place/?q=place_id:ChIJ-SR6jWZ3AjoRNaFpFV-Rh8A,part_314,2026-09-20 20:22:00
Sarfaraz Breakdown service,Crane and Towing Service,Towing service,"Towing service, Auto repair shop, Crane service",700084,West Bengal Circle,Kolkata Region,South Presidency Division,"Garia SO South 24 Parganas, Garia Garden SO, Kamda Hari SO",+91 82406 06452,https://guidecraneservice.in/,4.9,,"Garib Nawaz Colony, Uttar Panchanna Gram, Kolkata, West Bengal 700100","Garib Nawaz Colony, Uttar Panchanna Gram",22.530752099999997,88.4046767,ChIJMbfr_N93AjoRRv5yOwAXR_Y,https://www.google.com/maps/place/?q=place_id:ChIJMbfr_N93AjoRRv5yOwAXR_Y,part_314,2026-09-20 20:22:00
A to Z Breakdown Service,Crane and Towing Service,Towing service,Towing service,700084,West Bengal Circle,Kolkata Region,South Presidency Division,"Garia SO South 24 Parganas, Garia Garden SO, Kamda Hari SO",+91 74398 37456,https://a-to-470754.grexa.site/,4.9,,"Shop NO 12/1, ok Central South, Park Circus, neighbourhood, West Bengal 700017","Park Circus, Ballygunge",22.5386766,88.3705023,ChIJ8e_VDvB3AjoR1J0OkMOnnQ4,https://www.google.com/maps/place/?q=place_id:ChIJ8e_VDvB3AjoR1J0OkMOnnQ4,part_314,2026-09-20 20:22:00
A B Crane Service - crane service in kolkata,Crane and Towing Service,Crane service,Crane service,700084,West Bengal Circle,Kolkata Region,South Presidency Division,"Garia SO South 24 Parganas, Garia Garden SO, Kamda Hari SO",+91 99034 74227,N/A,4.7,,"near 4 Number Bridge, Park Circus, Beniapukur, Kolkata, West Bengal 700017","Park Circus, Beniapukur",22.540398399999997,88.3698768,ChIJjZjVSc13AjoR4HEQ-zFzkTg,https://www.google.com/maps/place/?q=place_id:ChIJjZjVSc13AjoR4HEQ-zFzkTg,part_314,2026-09-20 20:22:00
Sharma Break Down Service | Breakdown | Towing Services | Kolkata,Crane and Towing Service,Towing service,"Towing service, Crane service",700084,West Bengal Circle,Kolkata Region,South Presidency Division,"Garia SO South 24 Parganas, Garia Garden SO, Kamda Hari SO",+91 87002 78866,http://sharmabreakdownservice.in/,4.9,,"125/1A, Beleghata Main Rd, Kulia, Beleghata, Kolkata, West Bengal 700010","Kulia, Beleghata",22.563827999999997,88.39129299999999,ChIJAxF0pe53AjoR76ZTJuPErDM,https://www.google.com/maps/place/?q=place_id:ChIJAxF0pe53AjoR76ZTJuPErDM,part_314,2026-09-20 20:22:00
