business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Lake Hotel,Hotel,Hotel,Hotel,700031,West Bengal Circle,Kolkata Region,South Kolkata Division,"Dhakuria SO, KPRoy Lane SO",+91 33 4605 3806,N/A,3.8,520.0,"38 3A Gariahat Road, Road, opposite to AMRI Hospital, Dhakuria, South End Park, Keyatala, Kolkata, West Bengal 700029","Dhakuria, South End Park, Keyatala",22.5129657,88.36700359999999,ChIJ465T9nd3AjoRKCyNOAv7RzY,https://www.google.com/maps/place/?q=place_id:ChIJ465T9nd3AjoRKCyNOAv7RzY,part_313,2026-09-20 20:17:59
Soukyam Hotel,Hotel,Hotel,"Hotel, Restaurant",700031,West Bengal Circle,Kolkata Region,South Kolkata Division,"Dhakuria SO, KPRoy Lane SO",+91 90388 13888,N/A,4.6,341.0,"32/11, Gariahat Rd S, near PNB (ATM, Dhakuria, Selimpur, Jodhpur Park, Kolkata, West Bengal 700031","Dhakuria, Selimpur, Jodhpur Park",22.5062367,88.3676859,ChIJ9VKLqChxAjoRMqJUQzRmXsA,https://www.google.com/maps/place/?q=place_id:ChIJ9VKLqChxAjoRMqJUQzRmXsA,part_313,2026-09-20 20:17:59
LBD RESORTS & HOTELS KOLKATA,Hotel,Hotel,Hotel,700031,West Bengal Circle,Kolkata Region,South Kolkata Division,"Dhakuria SO, KPRoy Lane SO",+91 92300 70308,https://lbdresorts.com/,4.1,608.0,"31/1, Narayan Chandra Chowdhury Rd, Bosepukur, Kasba, Kolkata, West Bengal 700042","Bosepukur, Kasba",22.513144699999998,88.3784915,ChIJMWT6Vct2AjoRbY51M-AEcPg,https://www.google.com/maps/place/?q=place_id:ChIJMWT6Vct2AjoRbY51M-AEcPg,part_313,2026-09-20 20:17:59
Hotel O Golden Imperial,Hotel,Hotel,"Hotel, Bed & breakfast, Guest house, Holiday home, Inn, Lodge, Motel, Service Apartment, Villa",700031,West Bengal Circle,Kolkata Region,South Kolkata Division,"Dhakuria SO, KPRoy Lane SO",+91 124 620 1612,https://www.oyorooms.com/108487/?utm_source=Google&utm_medium=GMB,3.4,170.0,"Garihat south, Jodhpur Park Rd, Jadavpur, Kolkata, West Bengal 700031","Dhakuria, Selimpur, Jadavpur",22.5043635,88.3678102,ChIJvcfDASZxAjoRrpvWTHdYpgo,https://www.google.com/maps/place/?q=place_id:ChIJvcfDASZxAjoRrpvWTHdYpgo,part_313,2026-09-20 20:17:59
Lakeside Suites,Hotel,Hotel,Hotel,700031,West Bengal Circle,Kolkata Region,South Kolkata Division,"Dhakuria SO, KPRoy Lane SO",+91 62920 12405,http://lakesidesuites.in/,4.8,382.0,"38/1 b, Gariahat Rd, Dhakuria, South End Park, Kolkata, West Bengal 700029","Dhakuria, South End Park",22.5122935,88.3671774,ChIJV3xCOxVxAjoRGEnP3yr0P0w,https://www.google.com/maps/place/?q=place_id:ChIJV3xCOxVxAjoRGEnP3yr0P0w,part_313,2026-09-20 20:17:59
FabExpress Golden Imperial - Hotel in Dhakuria,Hotel,Hotel,Hotel,700031,West Bengal Circle,Kolkata Region,South Kolkata Division,"Dhakuria SO, KPRoy Lane SO",+91 70424 24242,https://www.fabhotels.com/hotels-in-kolkata/fabexpress-golden-imperial.html?utm_source=GMB&utm_medium=organic&utm_campaign=GMB_Traffic,3.6,110.0,"2nd floor, 40/4, Gariahat Rd S, Dhakuria, Selimpur, Jodhpur Park, Kolkata, West Bengal 700031","Dhakuria, Selimpur, Jodhpur Park",22.504219,88.367896,ChIJQddV6XJxAjoRrPvsBootTnM,https://www.google.com/maps/place/?q=place_id:ChIJQddV6XJxAjoRrPvsBootTnM,part_313,2026-09-20 20:17:59
FabHotel Abis Inn - Hotel in Ballygunge,Hotel,Hotel,Hotel,700031,West Bengal Circle,Kolkata Region,South Kolkata Division,"Dhakuria SO, KPRoy Lane SO",+91 70424 24242,https://www.fabhotels.com/hotels-in-kolkata/fabhotel-abis-inn-k-oseaykfn.html?utm_source=GMB&utm_medium=organic&utm_campaign=GMB_Traffic,3.8,113.0,"66A, Sangeet Sarani Rd, Dhakuria, South End Park, Ballygunge, Kolkata, West Bengal 700029","Dhakuria, South End Park, Ballygunge",22.5133583,88.3669913,ChIJz3PkBOJxAjoRMriEN8fEKCo,https://www.google.com/maps/place/?q=place_id:ChIJz3PkBOJxAjoRMriEN8fEKCo,part_313,2026-09-20 20:17:59
Hotel O by OYO South Inn,Hotel,Hotel,Hotel,700031,West Bengal Circle,Kolkata Region,South Kolkata Division,"Dhakuria SO, KPRoy Lane SO",+91 124 620 1612,https://www.oyorooms.com/h/12051?utm_source=Google_gmb&utm_medium=Organic&utm_campaign=KOL448&latitude=22.51854&longitude=88.36485&locale=en,3.6,150.0,"P411, Fire Brigade 23B, Raja Basanta Roy Rd, opp. Gariahat, Golpark, Hindustan Park, Kalighat, Kolkata, West Bengal 700029","Golpark, Hindustan Park, Kalighat",22.5182026,88.36521739999999,ChIJnekz4dR2AjoRJ9wLX2VfEU8,https://www.google.com/maps/place/?q=place_id:ChIJnekz4dR2AjoRJ9wLX2VfEU8,part_313,2026-09-20 20:17:59
The Mandeville,Hotel,Hotel,Hotel,700031,West Bengal Circle,Kolkata Region,South Kolkata Division,"Dhakuria SO, KPRoy Lane SO",+91 74790 01351,N/A,4.4,84.0,"7D Anil Maitra, Lane, Ballygunge Place, Kolkata, West Bengal 700019","Ballygunge Place, Ballygunge",22.5249637,88.3710436,ChIJCZa6FeB3AjoRnMhnw8y5EDM,https://www.google.com/maps/place/?q=place_id:ChIJCZa6FeB3AjoRnMhnw8y5EDM,part_313,2026-09-20 20:17:59
The Elite Apartment Hotel,Hotel,Extended stay hotel,"Extended stay hotel, Service Apartment",700031,West Bengal Circle,Kolkata Region,South Kolkata Division,"Dhakuria SO, KPRoy Lane SO",+91 82749 20294,https://hotels.eglobe-solutions.com/theeliteapartmentsgha/booking/gha/NBAHOzD39p4S1YuItCP5?roomId,4.7,1684.0,"The Elite, near Rupdasi Market, Madurdaha, Hussainpur, Kolkata, West Bengal 700107","Madurdaha, Hussainpur",22.503727599999998,88.4046657,ChIJr3OlGftzAjoRBaFZT5Bm9bQ,https://www.google.com/maps/place/?q=place_id:ChIJr3OlGftzAjoRBaFZT5Bm9bQ,part_313,2026-09-20 20:17:59
