business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Pure Veg Food Center,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 76030 75117,N/A,4.7,,"Maheshwari bhawan, 5, Battala Bye Ln, near Trinity School, Hindmotor, Uttarpara, Debaipukur, West Bengal 712233",Hindmotor,22.6814382,88.344934,ChIJ9U6Jyxud-DkR6TbcJi9Nmss,https://www.google.com/maps/place/?q=place_id:ChIJ9U6Jyxud-DkR6TbcJi9Nmss,part_317,2026-09-20 20:32:53
Masala voyage,Pure Veg Restaurant,Indian restaurant,Indian restaurant,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 92644 24703,http://www.masalavoyage.in/,4.9,,"Ramsita Ghat St, Shantinagar, Uttarpara, West Bengal 712232",Shantinagar,22.669408999999998,88.34851669999999,ChIJO-XTeqmd-DkRDaBXvuN4RE8,https://www.google.com/maps/place/?q=place_id:ChIJO-XTeqmd-DkRDaBXvuN4RE8,part_317,2026-09-20 20:32:53
Balaji Food Center ( Pure Veg ),Pure Veg Restaurant,Family restaurant,Family restaurant,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 33 2694 2525,N/A,3.7,,"18, Janata Sarani , Hindmotor, Pincode - 712233, West Bengal , India , Near, near Union Office, Debaipukur, West Bengal 712233",Hindmotor,22.6859486,88.34298059999999,ChIJrWvWLL6c-DkRUIoerGJHgKY,https://www.google.com/maps/place/?q=place_id:ChIJrWvWLL6c-DkRUIoerGJHgKY,part_317,2026-09-20 20:32:53
Peturam Dhaba Pure Veg,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 90388 00786,N/A,3.6,,"173, Shri ram krishna pally Ariadaha, Kolkata, West Bengal 700057","Nowdapara, SP Paul Pally, Ariadaha",22.6646648,88.3736948,ChIJES_Qczmd-DkRwH10G3c9kUg,https://www.google.com/maps/place/?q=place_id:ChIJES_Qczmd-DkRwH10G3c9kUg,part_317,2026-09-20 20:32:53
The Momo Studio,Pure Veg Restaurant,Restaurant,"Restaurant, Bengali restaurant, Chinese noodle restaurant, Diner, Fast food restaurant, Fine dining restaurant, Momo restaurant, Seafood restaurant",712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 91530 41675,https://the-momo-studio-621f09.businessbay.tech/,4.9,,"Dharmatala Ln, Kotrung, Arabinda Pally, Hindmotor, Konnagar, Debaipukur, Uttarpara, West Bengal 712233","Hindmotor, Konnagar",22.6886475,88.3508308,ChIJQzNTN-id-DkRpLr7BfQR9ZU,https://www.google.com/maps/place/?q=place_id:ChIJQzNTN-id-DkRpLr7BfQR9ZU,part_317,2026-09-20 20:32:53
Govinda's - The Higher Taste,Pure Veg Restaurant,Chinese restaurant,Chinese restaurant,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 90626 40491,N/A,4.3,,"7, Gauranga Ghat Road, Ramkrishna Pally, Panihati, Kolkata, Khardaha, West Bengal 700114","Ramkrishna Pally, Panihati",22.697088299999997,88.3663061,ChIJMZk0Ttyd-DkRrOM-cab6_SU,https://www.google.com/maps/place/?q=place_id:ChIJMZk0Ttyd-DkRrOM-cab6_SU,part_317,2026-09-20 20:32:53
JIOOOO FOOD Uttarpara || Your Trusted Multicuisine Partner,Pure Veg Restaurant,Restaurant,Restaurant,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 98362 70370,http://www.facebook.com/jioooofood/,4.6,,"103/4, 4, Bijay Krishna St, Kotrung, Konnagar, Uttarpara, West Bengal 712258","Kotrung, Konnagar",22.6647507,88.34628459999999,ChIJh_r0ZAyd-DkRfUwpqgpIm9o,https://www.google.com/maps/place/?q=place_id:ChIJh_r0ZAyd-DkRfUwpqgpIm9o,part_317,2026-09-20 20:32:53
GharKaZaika (Pureveg),Pure Veg Restaurant,Restaurant,Restaurant,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 74082 24711,N/A,5.0,,"222/1, PB Ghat Rd, Kamarhati, Agarpara, Kolkata, Panihati, West Bengal 700058","Kamarhati, Agarpara",22.6837639,88.36961319999999,ChIJnyAjJV6d-DkRBsroserdFkc,https://www.google.com/maps/place/?q=place_id:ChIJnyAjJV6d-DkRBsroserdFkc,part_317,2026-09-20 20:32:53
Firangi Flavours,Pure Veg Restaurant,Cafe,Cafe,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 89813 32325,N/A,4.9,41.0,"170/1, Shibtala Street, Bhadrakali, Debaipukur, Uttarpara, West Bengal 712232",Bhadrakali,22.6785268,88.3450483,ChIJmza2aM-d-DkRmQsZ_nwFjzw,https://www.google.com/maps/place/?q=place_id:ChIJmza2aM-d-DkRmQsZ_nwFjzw,part_317,2026-09-20 20:32:54
Green food restaurant,Pure Veg Restaurant,Restaurant,Restaurant,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 62898 60211,N/A,4.5,,"8, CHINGRI TALAB, Kamarhati, Agarpara, KOLKATA, Panihati, West Bengal 700058","Kamarhati, Agarpara",22.6787183,88.3691647,ChIJh52iJoad-DkRUeXN-MhAvFg,https://www.google.com/maps/place/?q=place_id:ChIJh52iJoad-DkRUeXN-MhAvFg,part_317,2026-09-20 20:32:55
