business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Just Try Momo Factory,Frozen Food Distributor,Frozen food manufacturer,"Frozen food manufacturer, Momo restaurant",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",N/A,N/A,5.0,17.0,"4 No, 4, Mordecai Ln, Padmavilla Abasan, Chatakol, Suren Bag, Dum Dum, Kolkata, West Bengal 700074","Padmavilla Abasan, Chatakol, Suren Bag, Dum Dum",22.6241398,88.4026713,ChIJi8voZwCf-DkRvK8JZ0x0UH8,https://www.google.com/maps/place/?q=place_id:ChIJi8voZwCf-DkRvK8JZ0x0UH8,part_312,2026-09-20 20:56:22
CRISPINO (Srishti Food Ventures},Frozen Food Distributor,Food products supplier,"Food products supplier, Frozen food store",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 89025 88660,https://www.facebook.com/profile.php?id=61587836125152,5.0,1.0,"Rabindra Sarani, Durganagar, Nimta, Kolkata, North Dumdum, West Bengal 700049","Durganagar, Nimta",22.6534457,88.4152877,ChIJp7359-6f-DkRYNxn0buiUOs,https://www.google.com/maps/place/?q=place_id:ChIJp7359-6f-DkRYNxn0buiUOs,part_312,2026-09-20 20:56:22
M/S. ICE BERG,Frozen Food Distributor,Frozen food store,"Frozen food store, Supplier",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",N/A,N/A,5.0,2.0,"H/E-5/1, Baguipara Rd, Jyangra, Baguiati, Kolkata, West Bengal 700159","Jyangra, Baguiati",22.609786699999997,88.4299494,ChIJG3IE6Kl1AjoRp_dEtQpNxPY,https://www.google.com/maps/place/?q=place_id:ChIJG3IE6Kl1AjoRp_dEtQpNxPY,part_312,2026-09-20 20:56:22
Mayer Henshel,Frozen Food Distributor,Food products supplier,Food products supplier,700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 98312 54298,https://www.instagram.com/maayerhenshel__?igsh=MWF2MGxrdjVwOXd1Nw==,5.0,21.0,"D block, 95, Bangur Avenue, Kolkata, West Bengal 700055","Bangur Avenue, Block D, Lake Town",22.6056045,88.4140347,ChIJ-RvOAGl1AjoRQJzEniNTbJA,https://www.google.com/maps/place/?q=place_id:ChIJ-RvOAGl1AjoRQJzEniNTbJA,part_312,2026-09-20 20:56:22
CC FOOD PROJECTS,Frozen Food Distributor,Food and beverage consultant,"Food and beverage consultant, Business development service, Food machinery supplier, Food manufacturer",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 91233 88239,http://ccfoodprojects.in/,5.0,12.0,"Block B, K H E, Lake Town, Kolkata, South Dumdum, West Bengal 700048","Block B, K H E, Lake Town",22.602849,88.4038776,ChIJ04wmUDp1AjoRu1s2Tf23GMU,https://www.google.com/maps/place/?q=place_id:ChIJ04wmUDp1AjoRu1s2Tf23GMU,part_312,2026-09-20 20:56:22
"Total Food Mart - Fresh Chicken, Eggs & Veg delights in Dum Dum",Frozen Food Distributor,Frozen food store,"Frozen food store, Chicken & Mutton Shop, Chicken shop, Dairy store, Convenience store, Grocery delivery service, Vegetable wholesale market",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 76050 34444,http://www.totalfoods.in/,,,"48, Dum Dum Rd, opposite SBI, near Hanuman Mandir, Motijheel, Ghosh Para, Dum Dum, Kolkata, West Bengal 700074","Motijheel, Ghosh Para, Dum Dum",22.6224918,88.411369,ChIJN3eqePef-DkRKbT5VXn2HjI,https://www.google.com/maps/place/?q=place_id:ChIJN3eqePef-DkRKbT5VXn2HjI,part_312,2026-09-20 20:56:22
Arambagh Chicken (Deshbandhunagar),Frozen Food Distributor,Meat wholesaler,"Meat wholesaler, Food",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 98832 95128,http://www.arambagh.com/,3.1,25.0,"JC6G+GJ2, Rail Pukur Rd, P.O:, Desh Bandhu Nagar, Baguiati, Kolkata, West Bengal 700059","P.O:, Desh Bandhu Nagar, Baguiati",22.6112572,88.42652,ChIJXdIx7ol1AjoRrzNt5M1mRfE,https://www.google.com/maps/place/?q=place_id:ChIJXdIx7ol1AjoRrzNt5M1mRfE,part_312,2026-09-20 20:56:22
Spencers Retail | Lake Town,Frozen Food Distributor,Supermarket,"Supermarket, Dairy Products Supplier, General store, Grocery delivery service, Health food store, Home goods store, Household goods wholesaler, Indian grocery store, Produce market",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 1800 123 6868,https://stores.spencers.in/spencers/kolkata/Lake-Town/spencers-in-Lake-Town-kolkata--5EOaPJ/home,4.0,1361.0,"opposite Adhivashi Park Window, Block A, Lake Town, Kolkata, South Dumdum, West Bengal 700089","Block A, Lake Town",22.6048595,88.40332459999999,ChIJs5kwyP11AjoRlXuY75xe3OQ,https://www.google.com/maps/place/?q=place_id:ChIJs5kwyP11AjoRlXuY75xe3OQ,part_312,2026-09-20 20:56:22
Cold Roll Ice Cream,Frozen Food Distributor,Ice cream shop,Ice cream shop,700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 90380 33222,http://coldrollicecream.com/,4.4,42.0,"Niva apartment, 64, Debinibas Rd, Amarpalli, Kolkata, West Bengal 700074",Amarpalli,22.6203911,88.4090921,ChIJ96US5wSe-DkRwed5cD-v1mU,https://www.google.com/maps/place/?q=place_id:ChIJ96US5wSe-DkRwed5cD-v1mU,part_312,2026-09-20 20:56:22
Haringhata Meat (Adhikary Enterprise),Frozen Food Distributor,Livestock dealer,Livestock dealer,700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",N/A,N/A,5.0,,"JCR5+HCG, Garui, Balaka Natun Bazar, Bediapara, North Dumdum, Kolkata, West Bengal 700065","Garui, Balaka Natun Bazar, Bediapara, North Dumdum",22.6414394,88.4085652,ChIJTYkn-jOf-DkRhFp3X82RS14,https://www.google.com/maps/place/?q=place_id:ChIJTYkn-jOf-DkRhFp3X82RS14,part_312,2026-09-20 20:56:24
