business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Adept Dialysis,Dialysis Center,Dialysis center,Dialysis center,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 85368 46690,http://adeptdialysissheakhala.com/,5.0,6.0,"Seba Hospital PVT LTD, above Sheakhala, Sehakhala, Srirampur, Shripatipur, West Bengal 712706",Sehakhala,22.771054799999998,88.1654872,ChIJuZMzQ7B9-DkRBsgrvh9jl3M,https://www.google.com/maps/place/?q=place_id:ChIJuZMzQ7B9-DkRBsgrvh9jl3M,part_318,2026-09-20 20:17:07
NephroPlus Dialysis & Kidney Care Centre,Dialysis Center,Dialysis center,"Dialysis center, Hospital",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,https://www.nephroplus.com/,5.0,,"Kamala Ray Hospital K, 20 K, GT Rd, Hindmotor, Debaipukur, West Bengal 712233",Hindmotor,22.683564,88.35451239999999,ChIJ86srm-Kd-DkRuwAmzUxUbvw,https://www.google.com/maps/place/?q=place_id:ChIJ86srm-Kd-DkRuwAmzUxUbvw,part_318,2026-09-20 20:17:07
Nephro Care India Limited,Dialysis Center,Medical Center,Medical Center,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 80 6984 1500,http://caremeds.in/,4.6,,"Ward Number 21, Premises No. 200, Mankundu Station Rd, Tematha, Mankundu, Chandannagar, West Bengal 712136","Tematha, Mankundu",22.8454041,88.35929159999999,ChIJ1WRcQFSQ-DkRPstVXryfZ_A,https://www.google.com/maps/place/?q=place_id:ChIJ1WRcQFSQ-DkRPstVXryfZ_A,part_318,2026-09-20 20:17:08
Sheakhala Seba Hospital PVT. LTD.,Dialysis Center,Hospital,Hospital,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 94753 20174,N/A,4.0,,"Seba Hospital PVT LTD, near Sheakhala, Sehakhala, Shripatipur, West Bengal 712706",Sehakhala,22.770924299999997,88.16560079999999,ChIJY6Jvrzt9-DkR8sjGT-dvyCo,https://www.google.com/maps/place/?q=place_id:ChIJY6Jvrzt9-DkR8sjGT-dvyCo,part_318,2026-09-20 20:17:08
Eskag Sanjeevani Dialysis Centre Deshbandhunagar,Dialysis Center,Dialysis center,Dialysis center,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 80174 44555,N/A,5.0,27.0,"BD1/2, Desh Bandhu Nagar, Baguiati, Kolkata, West Bengal 700059","Desh Bandhu Nagar, Baguiati",22.616298399999998,88.4264489,ChIJVwjIFGyf-DkRYcMK-qsEt9U,https://www.google.com/maps/place/?q=place_id:ChIJVwjIFGyf-DkRYcMK-qsEt9U,part_318,2026-09-20 20:17:09
KIDNEYCARE (Next Generation Dialysis),Dialysis Center,Dialysis center,Dialysis center,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,4.3,3.0,"7WQ8+JQV, Sriram Pur, Tamluk, West Bengal 721636",Sriram Pur,22.2891205,87.91690969999999,ChIJJ7lAYGWVAjoRDKS9CEJE_rA,https://www.google.com/maps/place/?q=place_id:ChIJJ7lAYGWVAjoRDKS9CEJE_rA,part_318,2026-09-20 20:17:09
India Renal Care,Dialysis Center,Dialysis center,Dialysis center,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 98313 37840,http://indiarenalcare.com/,5.0,2.0,"ALMC Hospital, Dutta Bagan, Sen Releigh Road, Paschim, Asansol, West Bengal 713305",Shristinagar,23.6975402,86.95371209999999,ChIJdzmVumkf9zkR_clKKQ-Kg0M,https://www.google.com/maps/place/?q=place_id:ChIJdzmVumkf9zkR_clKKQ-Kg0M,part_318,2026-09-20 20:17:09
Eskag Sanjeevani Dialysis Center Chuchura at Imambara District Hospital,Dialysis Center,Dialysis center,Dialysis center,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 1800 102 2294,https://eskagsanjeevani.com/free-dialysis-details/uttar-pradesh/eskag-sanjeevani-dialysis-unit-bulandshashar-at-babu-banarsi-das-district-hospital-bulandshahr,4.8,22.0,"Imambara District Hospital, Chinsurah R S, Chinsurah, West Bengal 712101",Chinsurah R S,22.892367099999998,88.40015129999999,ChIJJVMyHqKR-DkRar81mD7-s90,https://www.google.com/maps/place/?q=place_id:ChIJJVMyHqKR-DkRar81mD7-s90,part_318,2026-09-20 20:17:09
R. K. NEPHROCARE PLUS DIALYSIS CENTRE,Dialysis Center,Dialysis center,Dialysis center,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,4.0,4.0,"A-9/17(S Jaymala Carnival Hospital, Kalyani, West Bengal 741235","A 9, A1, Block A1, Block A",22.9688746,88.46529249999999,ChIJH3iyPQeV-DkRCGizXNO6-Gs,https://www.google.com/maps/place/?q=place_id:ChIJH3iyPQeV-DkRCGizXNO6-Gs,part_318,2026-09-20 20:17:09
Fresenius Medical Care Dialysis Center (CMRI),Dialysis Center,Dialysis center,Dialysis center,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 90836 84263,https://www.freseniuskidneycare.asia/?utm_source=gmb&utm_medium=organic&utm_campaign=listing,4.8,222.0,"7, 2, Diamond Harbour Rd, New Alipore, Kolkata, West Bengal 700027",New Alipore,22.5320969,88.3277509,ChIJ_7CfR7l3AjoRi5lX8unUyEI,https://www.google.com/maps/place/?q=place_id:ChIJ_7CfR7l3AjoRi5lX8unUyEI,part_318,2026-09-20 20:17:09
