business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bengal Agro Machinery Corporation(Alinagar Branch),Commercial Vehicle and Tractor Dealer,Tractor dealer,Tractor dealer,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 77977 66692,N/A,4.5,,"Chunchura-Dhaniakali Rd, Chinsurah R S, Sugandha, Kashwara, West Bengal 712102",Chinsurah R S,22.9129136,88.3087311,ChIJWzfKTbmN-DkRepUVReQaW6I,https://www.google.com/maps/place/?q=place_id:ChIJWzfKTbmN-DkRepUVReQaW6I,part_318,2026-09-20 20:17:10
John Deere Tractor Showroom S & S Automobiles,Commercial Vehicle and Tractor Dealer,Tractor dealer,Tractor dealer,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,4.4,,"45FQ+GF6, Boinchi, West Bengal 712134",712407,23.1237837,88.18863859999999,ChIJwwR7dAz3-DkRDfkT6b9lhOI,https://www.google.com/maps/place/?q=place_id:ChIJwwR7dAz3-DkRDfkT6b9lhOI,part_318,2026-09-20 20:17:10
Swaraj Tractors - M/S Trilochan Tractors,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Farm equipment supplier, Tractor repair shop",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 8071 325 911,https://dealers.swarajtractors.com/swaraj-tractors/tractor-showroom-in-hooghly/tractor-showroom-in-arambag/swaraj-tractors-ms-trilochan-tractors-in-arambag-hooghly--6c738b49-882e-4e24-821d-881924c10c99/home,4.4,,"Nearby Bandhan Bank, SH 2, Ahilyabai Holkar Rd, Arambag, West Bengal 712413",712407,22.868796699999997,87.8126028,ChIJ_SVprCYT-DkRF0gOYqB6kUY,https://www.google.com/maps/place/?q=place_id:ChIJ_SVprCYT-DkRF0gOYqB6kUY,part_318,2026-09-20 20:17:10
Kubota (Sarkar Parts & Service),Commercial Vehicle and Tractor Dealer,Agricultural service,Agricultural service,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 93323 00220,N/A,4.3,,"satghari,Haripal, Satghari, West Bengal 712405",712407,22.880355299999998,88.10675669999999,ChIJ7S01efRj-DkR2aiVu1OJzo0,https://www.google.com/maps/place/?q=place_id:ChIJ7S01efRj-DkR2aiVu1OJzo0,part_318,2026-09-20 20:17:10
Swaraj tractor showroom,Commercial Vehicle and Tractor Dealer,Tractor dealer,Tractor dealer,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 77193 56080,N/A,3.8,,"dhallyan, bus stop, Paschim Narayanpur, Chandur, West Bengal 712410",712407,22.898414199999998,88.0052352,ChIJMQxg-H1p-DkRuvPchb2pGtU,https://www.google.com/maps/place/?q=place_id:ChIJMQxg-H1p-DkRuvPchb2pGtU,part_318,2026-09-20 20:17:10
Mahindra Tractors - Rudra Enterprises,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Farm equipment supplier, Tractor repair shop",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 97321 11166,https://www.mahindratractor.com/,4.4,,"Arambagh - Kamarpukur Rd, opposite High School, Patulsara, Arambag, West Bengal 712601",712407,22.882560899999998,87.7568842,ChIJ84dNld8R-DkRR1QUi6BfG5Y,https://www.google.com/maps/place/?q=place_id:ChIJ84dNld8R-DkRR1QUi6BfG5Y,part_318,2026-09-20 20:17:10
Tata Motors Commercial Vehicle Dealer - Bhandari Automobiles Pvt Ltd,Commercial Vehicle and Tractor Dealer,Truck dealer,"Truck dealer, Motor vehicle dealer, Truck parts supplier, Truck repair shop",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 74117 81362,https://commercial-vehicles.fleetverse.tatamotors.com/tata-motors-commercial-vehicle-dealer-bhandari-automobiles-pvt-ltd-truck-dealers-ghoramara-hooghly-189749/Home?utm_source=locator&utm_medium=googleplaces,4.9,,"79, GT Rd, Ghoramara, Serampore, Dakshin Rajyadharpur, Ghoramara, West Bengal 712203","Ghoramara, Serampore",22.7516453,88.331582,ChIJ8xmGFF6b-DkRV3jiDvSDV-8,https://www.google.com/maps/place/?q=place_id:ChIJ8xmGFF6b-DkRV3jiDvSDV-8,part_318,2026-09-20 20:17:10
Sonalika - Baba Lokenath Engg Works Private Ltd,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Farm equipment supplier",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 98308 13315,https://dealers.sonalika.com/sonalika-baba-lokenath-engg-works-private-ltd-tractor-dealer-arambagh-hooghly-270035/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"Ward No 12, West Haripur, Near Arambagh Automobile, Kalipur, Arambag, West Bengal 712601",Kalipur,22.8797575,87.7767116,ChIJ-3D3pDoT-DkR1XDPRbOyY00,https://www.google.com/maps/place/?q=place_id:ChIJ-3D3pDoT-DkR1XDPRbOyY00,part_318,2026-09-20 20:17:10
Tata Motors Commercial Vehicle Dealer - Bhandari Automobiles Pvt Ltd,Commercial Vehicle and Tractor Dealer,Truck dealer,"Truck dealer, Motor vehicle dealer, Truck parts supplier, Truck repair shop",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 74117 81362,https://commercial-vehicles.fleetverse.tatamotors.com/tata-motors-commercial-vehicle-dealer-bhandari-automobiles-pvt-ltd-truck-dealers-sarat-bose-road-kolkata-189748/Home?utm_source=locator&utm_medium=googleplaces,4.1,,"5th Floor, Leela Roy Sarani, No 53A, No 207, Sarat Bose Rd, Kolkata, West Bengal 700026","Jatin Das Park, Patuapara, Bhowanipore",22.525939899999997,88.3452933,ChIJpSNnYM1wAjoRg8nASI9-_MQ,https://www.google.com/maps/place/?q=place_id:ChIJpSNnYM1wAjoRg8nASI9-_MQ,part_318,2026-09-20 20:17:10
NEW JOYGURU ENTERPRISE,Commercial Vehicle and Tractor Dealer,Used car dealer,"Used car dealer, Auto broker, Auto insurance agency, Car dealer, Car finance and loan company, Used truck dealer",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 98045 42433,N/A,4.2,,"Khadinamore, GT Rd, beside Suzuki Motorcycle Showroom, Kaeipara, Chinsurah R S, Chinsurah, Chinchurah P, West Bengal 712102","Kaeipara, Chinsurah R S",22.8867309,88.3803476,ChIJ5Tj2XJSR-DkRi1QAuzmR9n8,https://www.google.com/maps/place/?q=place_id:ChIJ5Tj2XJSR-DkRi1QAuzmR9n8,part_318,2026-09-20 20:17:10
