business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Your cakes bakery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,700135,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat SO, Akandakeshari BO, Bagu BO",+91 96743 95311,N/A,5.0,,"Oyo 9998, bokul bari, the Indiana flat, Patharghata - Kalikapur Rd, ecospace, Newtown, Kasinathpur, Kalikapur, West Bengal 700135","ecospace, Newtown",22.588546599999997,88.50432029999999,ChIJv4dJK1gLAjoR017jrg01lVg,https://www.google.com/maps/place/?q=place_id:ChIJv4dJK1gLAjoR017jrg01lVg,part_315,2026-09-20 20:23:01
VSS Home bakery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,700135,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat SO, Akandakeshari BO, Bagu BO",N/A,N/A,4.8,,"Shapoorji Pallonji Sukhobrishti Complex Rd, Action Area III, Newtown, Kolkata, West Bengal 700135","Action Area III, Newtown",22.5646778,88.5140287,ChIJLcdHElQLAjoREUfOvXX-Kas,https://www.google.com/maps/place/?q=place_id:ChIJLcdHElQLAjoREUfOvXX-Kas,part_315,2026-09-20 20:23:01
Cake of Joy homebaker,Bakery and Cake Shop,Cake shop,Cake shop,700135,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat SO, Akandakeshari BO, Bagu BO",+91 82330 81724,https://www.facebook.com/Cake-of-joy-101643029061681/,4.9,,"Action Area II, Newtown, West Bengal 700135","Action Area II, Newtown",22.6225426,88.4689756,ChIJI8voLruf-DkRDbXrhZL4Fpk,https://www.google.com/maps/place/?q=place_id:ChIJI8voLruf-DkRDbXrhZL4Fpk,part_315,2026-09-20 20:23:01
Pallabi's Bakehouse,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,700135,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat SO, Akandakeshari BO, Bagu BO",+91 88251 15180,N/A,5.0,,"DLF NEW TOWN HEIGHTS, Shapoorji Pallonji Sukhobrishti Complex Rd, Action Area III, H-Block, Newtown, Kolkata, West Bengal 700135","Action Area III, H-Block, Newtown",22.5660813,88.5163524,ChIJi1l2XawLAjoRy5hncbfRPQU,https://www.google.com/maps/place/?q=place_id:ChIJi1l2XawLAjoRy5hncbfRPQU,part_315,2026-09-20 20:23:01
Baker's Den,Bakery and Cake Shop,Cake shop,Cake shop,700135,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat SO, Akandakeshari BO, Bagu BO",N/A,N/A,5.0,,"Azura 702, SIDDHA GALAXIA, Rajarhat Main Rd, Majarhati, Kolkata, West Bengal 700135",Majarhati,22.632754499999997,88.47017009999999,ChIJYaNhqaSf-DkR3FWYqJKu_zs,https://www.google.com/maps/place/?q=place_id:ChIJYaNhqaSf-DkR3FWYqJKu_zs,part_315,2026-09-20 20:23:01
Suhana's World of Cake - ( Home Bakery | Custom Cakes & Desserts ),Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,700135,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat SO, Akandakeshari BO, Bagu BO",N/A,N/A,4.9,,"Bokul Bari, The Indiana by Realtech Nirman, Kalikapur Road, kashinathpur, Patharghata - Kalikapur Rd, Sapoorji, Newtown, ecospace, Kolkata, West Bengal 700135","Sapoorji, Newtown",22.5885119,88.5041854,ChIJOYHP6moLAjoRZggQt8rLXFc,https://www.google.com/maps/place/?q=place_id:ChIJOYHP6moLAjoRZggQt8rLXFc,part_315,2026-09-20 20:23:01
Sweet Treats by Pratima,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,700135,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat SO, Akandakeshari BO, Bagu BO",N/A,N/A,5.0,,"DLF NEW TOWN HEIGHTS, opposite Shapoorji Pallonji Sukhobrishti Complex Road, Action Area III, Newtown, Kolkata, West Bengal 700135","Action Area III, Newtown",22.5657574,88.51694479999999,ChIJA5Ug64YLAjoRdlazbXLmi7U,https://www.google.com/maps/place/?q=place_id:ChIJA5Ug64YLAjoRdlazbXLmi7U,part_315,2026-09-20 20:23:01
Thebakerlady,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,700135,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat SO, Akandakeshari BO, Bagu BO",+91 98742 30577,https://thebakerlady.in/,5.0,,"Siddha Happyville Mint, 403, Rajarhat Main Rd, Rajarhat, Kolkata, West Bengal 700135",Rajarhat,22.62688,88.49199999999999,ChIJrf3Or9Wf-DkRdxEvnfXlhpQ,https://www.google.com/maps/place/?q=place_id:ChIJrf3Or9Wf-DkRdxEvnfXlhpQ,part_315,2026-09-20 20:23:01
Milons Cakes,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,700135,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat SO, Akandakeshari BO, Bagu BO",+91 96743 42526,N/A,5.0,,"Rajarhat, Deara, Kolkata, West Bengal 700135",Rajarhat,22.640273699999998,88.4899693,ChIJJ06QOtKh-DkRdLj1XIt8ylU,https://www.google.com/maps/place/?q=place_id:ChIJJ06QOtKh-DkRdLj1XIt8ylU,part_315,2026-09-20 20:23:01
The Red Velvet Bakery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,700135,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat SO, Akandakeshari BO, Bagu BO",+91 88286 57432,https://theredvelvetbakery.in/,4.7,,"Mahammadpur, Shilpota, More, Newtown, Kadampukur, Mahammadpur, West Bengal 700135","More, Newtown",22.5875813,88.49643739999999,ChIJW9X91vgLAjoRk-OgCg3h9kM,https://www.google.com/maps/place/?q=place_id:ChIJW9X91vgLAjoRk-OgCg3h9kM,part_315,2026-09-20 20:23:01
