business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Puspa Bhandar,Provision Store,Grocery store,"Grocery store, General store",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98318 79739,N/A,3.0,,"Jhanpa, Bandel, West Bengal 712121",Jhanpa,22.9536482,88.36329289999999,ChIJaTmh9PeT-DkRzmEP0cG58pg,https://www.google.com/maps/place/?q=place_id:ChIJaTmh9PeT-DkRzmEP0cG58pg,part_317,2026-09-20 20:16:56,294
Janata Stores,Provision Store,General store,General store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,3.9,,"X9FW+5HR, Bansberia, Mithapukur More, West Bengal 712502",Bansberia,22.9729912,88.3964008,ChIJSbYCL1yT-DkRYgW0xYv53Lk,https://www.google.com/maps/place/?q=place_id:ChIJSbYCL1yT-DkRYgW0xYv53Lk,part_317,2026-09-20 20:16:56,295
Wellavia Healthcare - Bansberia- Medical Supply Store,Provision Store,Medical supply store,Medical supply store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 62903 10183,https://www.wellavia.in/,5.0,,"X93W+2X4, Bansberia, Mithapukur More, Chinsurah, West Bengal 712502",Bansberia,22.952517999999998,88.397483,ChIJP5TUUGzBByYRZdEKuuSvyp4,https://www.google.com/maps/place/?q=place_id:ChIJP5TUUGzBByYRZdEKuuSvyp4,part_317,2026-09-20 20:16:56,296
Samiji Mart,Provision Store,Supermarket,Supermarket,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,https://www.samiji.in/,3.9,11.0,"Grand Trunk Rd, Kalbazar, Mahadebpur, Pandua, West Bengal 712149",Kalbazar,23.083744,88.2674741,ChIJidLbrZzz-DkRTM9EJE3JrMc,https://www.google.com/maps/place/?q=place_id:ChIJidLbrZzz-DkRTM9EJE3JrMc,part_317,2026-09-20 20:16:57,297
RAJU KOSTA GROCERY STORE,Provision Store,Indian grocery store,Indian grocery store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,3.4,17.0,"Ashutosh, 40, Ashutosh Chaterjee Ln, Nehru Nagar Colony, Mahesh Bose Para, Serampore, Kolkata, West Bengal 712202","Nehru Nagar Colony, Mahesh Bose Para, Serampore",22.7402812,88.3522587,ChIJnaXWRiab-DkRUryNNKPtp-c,https://www.google.com/maps/place/?q=place_id:ChIJnaXWRiab-DkRUryNNKPtp-c,part_317,2026-09-20 20:16:57,298
LAXMI STORES,Provision Store,Grocery store,Grocery store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,4.1,19.0,"Unnamed Road, Rajbalhat, West Bengal 712408",712121,22.760598899999998,88.0079265,ChIJhVJ2IyBx-DkRLJs6MyDrgeQ,https://www.google.com/maps/place/?q=place_id:ChIJhVJ2IyBx-DkRLJs6MyDrgeQ,part_317,2026-09-20 20:16:57,299
SABITRI VARIETY STORES,Provision Store,General store,General store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 74781 24537,https://www.facebook.com/profile.php?id=100087957026846&mibextid=2JQ9oc,4.6,17.0,"Chinsurah Sta Rd, Leninnagar, Chinsurah R S, Chinsurah, West Bengal 712102","Leninnagar, Chinsurah R S",22.8913768,88.37204969999999,ChIJsaYeV3uR-DkRZ2qcZsGHloo,https://www.google.com/maps/place/?q=place_id:ChIJsaYeV3uR-DkRZ2qcZsGHloo,part_317,2026-09-20 20:16:57,300
Tulsi Bhandar,Provision Store,Grocery store,"Grocery store, General store",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98044 55402,N/A,5.0,1.0,"Rantanpur, Ratanpur, Singur, West Bengal 712409",Daluigacha,22.825953,88.2346512,ChIJoyMKl8eI-DkRAAAA0AUw4k8,https://www.google.com/maps/place/?q=place_id:ChIJoyMKl8eI-DkRAAAA0AUw4k8,part_317,2026-09-20 20:16:57,301
THE VICKY BHAI STORES,Provision Store,Indian grocery store,Indian grocery store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 62895 95945,N/A,4.6,20.0,"116/1criper, road, Mansa Tala, Konnagar, West Bengal 712235","Mansa Tala, Konnagar",22.701498299999997,88.3484654,ChIJS3iQRtid-DkRRHW7rG1tySU,https://www.google.com/maps/place/?q=place_id:ChIJS3iQRtid-DkRRHW7rG1tySU,part_317,2026-09-20 20:16:57,302
ANNAPURNA BHANDAR,Provision Store,Grocery store,"Grocery store, General store",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 62895 37785,N/A,4.3,10.0,"2 No, 251, Government Colony, Makhla, Uttarpara, West Bengal 712245","Government Colony, Olabibitala, Makhla",22.6723161,88.3386075,ChIJcYziR9Cc-DkRSSOHtz3eWnQ,https://www.google.com/maps/place/?q=place_id:ChIJcYziR9Cc-DkRSSOHtz3eWnQ,part_317,2026-09-20 20:16:57,303
Gita Variety Stores,Provision Store,General store,General store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 62963 74310,N/A,4.8,4.0,"Roy MC Lahiri St, Serampore, Kolkata, West Bengal 712201",Serampore,22.7558811,88.3379428,ChIJOSrnybmb-DkRc3Uz12ooxSk,https://www.google.com/maps/place/?q=place_id:ChIJOSrnybmb-DkRc3Uz12ooxSk,part_317,2026-09-20 20:16:57,304
AR Grocery Mart,Provision Store,Indian grocery store,Indian grocery store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 92390 54472,N/A,5.0,,"64 No, Pandua - Belmuri Rd, Pandua, Henopara, West Bengal 712149",712121,22.982949299999998,88.20386099999999,ChIJ0yYhfsqL-DkRNkzmhaELWLk,https://www.google.com/maps/place/?q=place_id:ChIJ0yYhfsqL-DkRNkzmhaELWLk,part_317,2026-09-20 20:16:57,305
Lakshmi Niva Super Market,Provision Store,Supermarket,Supermarket,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 99322 72258,N/A,4.5,,"2757+G3W, Nagarpara, Mahanad, West Bengal 712149",712121,23.00886,88.2627004,ChIJLfOA0Ebz-DkRExFUg2hbAwk,https://www.google.com/maps/place/?q=place_id:ChIJLfOA0Ebz-DkRExFUg2hbAwk,part_317,2026-09-20 20:16:57,306
MAA VARITYES STORE,Provision Store,Grocery store,Grocery store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 89180 44460,N/A,5.0,,"High School, NA Chohoka,Near Darbasini, Pandua, West Bengal 712149",712121,22.9839238,88.2274795,ChIJ3zidcOGL-DkRGtHMCeMFK2E,https://www.google.com/maps/place/?q=place_id:ChIJ3zidcOGL-DkRGtHMCeMFK2E,part_317,2026-09-20 20:16:57,307
ESSCO Authorised Dealer - Parul Enterprises,Provision Store,Bathroom supply store,"Bathroom supply store, Home improvement store, Kitchen supply store, Shower door shop",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 8071 820 228,https://dealers.esscobathware.com/essco-bathware/hooghly/Rabindranagar/essco-authorised-dealer-parul-enterprises-in-Rabindranagar-hooghly--6kvRgC/home,4.6,,"Krishnapur Bazar, 1, Rabindranagar, opposite Barman Jewelery Palace, Santipally, Krishnapur, Chinsurah R S, Chinsurah, Kodalia, West Bengal 712106","Santipally, Krishnapur, Chinsurah R S",22.9046073,88.3792079,ChIJNXqMzruT-DkRjIvaUB86kec,https://www.google.com/maps/place/?q=place_id:ChIJNXqMzruT-DkRjIvaUB86kec,part_317,2026-09-20 20:16:58,308
Knauf Authorised Dealer - Halder Interior,Provision Store,Dry wall supply store,Dry wall supply store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 80 6291 4951,https://knauf.com/en-IN,5.0,,"nearby HP Petrol Pump, Rabindranagar, Mogra, Chinsurah, Hosenabad, West Bengal 712103","Rabindranagar, Mogra",22.9687251,88.3678372,ChIJaZDvdwCT-DkRHAsBTZ6X0TE,https://www.google.com/maps/place/?q=place_id:ChIJaZDvdwCT-DkRHAsBTZ6X0TE,part_317,2026-09-20 20:16:58,309
MAHABIR STORES,Provision Store,General store,General store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98319 73607,N/A,5.0,,"Sayrar More, Near Health Centre P D Sen Road, PS, PO, Chinsurah R S, Chinsurah, West Bengal 712103","PO, Chinsurah R S",22.8968647,88.3958365,ChIJp1bbMmOT-DkRoz7DLJbnD7k,https://www.google.com/maps/place/?q=place_id:ChIJp1bbMmOT-DkRoz7DLJbnD7k,part_317,2026-09-20 20:16:58,310
Dutta Varieties,Provision Store,General store,General store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 80138 58260,N/A,4.3,,"near Panchanontola, Naruya, Chandannagar, West Bengal 712136",Naruya,22.873869799999998,88.3600132,ChIJxa6soFCR-DkRoQMV-A7ZXmI,https://www.google.com/maps/place/?q=place_id:ChIJxa6soFCR-DkRoQMV-A7ZXmI,part_317,2026-09-20 20:16:58,311
BHATTACHARYA ELECTRICALS,Provision Store,Electrical supply store,"Electrical supply store, Wholesaler",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 62912 86582,http://www.bhattacharyaelectricals.com/,4.7,,"Kazidanga, Bandel, West Bengal 712123",712121,22.9235591,88.37120379999999,ChIJYajEArST-DkRSMvJpxUY9cE,https://www.google.com/maps/place/?q=place_id:ChIJYajEArST-DkRSMvJpxUY9cE,part_317,2026-09-20 20:16:58,312
Kritika Variety Stores,Provision Store,General store,"General store, Baking supply store, Dry Fruit Store, Spice store",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 80130 65720,N/A,4.8,,"Barrackpore - Barasat Rd, Nona Chandanpukur, Anandapuri, Kolkata, Barrackpore, West Bengal 700122","Nona Chandanpukur, Anandapuri",22.7666655,88.3775184,ChIJya91BCyb-DkR8fjJnmVltBo,https://www.google.com/maps/place/?q=place_id:ChIJya91BCyb-DkR8fjJnmVltBo,part_317,2026-09-20 20:16:58,313
NEW MAHAPRABHU BASANALAYA,Provision Store,General store,General store,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",+91 85091 16200,N/A,,,"Badanganj-Kamarpukur Rd, near Bus Stop, Krishnaganj, Hooghly, West Bengal 712122",712122,22.885128299999998,87.5457685,ChIJAYzWHh4d-DkRZThhnrPkOvw,https://www.google.com/maps/place/?q=place_id:ChIJAYzWHh4d-DkRZThhnrPkOvw,part_317,2026-09-20 20:17:38,6300
HARE KRISHNA BHANDAR,Provision Store,General store,General store,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",+91 82506 63051,N/A,5.0,1.0,"Badanganj, Road, near Primary school, Mulluk, West Bengal 712612",712122,22.8850575,87.6125453,ChIJ46mjua4d-DkR5MzutpadS5Y,https://www.google.com/maps/place/?q=place_id:ChIJ46mjua4d-DkR5MzutpadS5Y,part_317,2026-09-20 20:17:38,6301
SRI BISHNU BHANDAR,Provision Store,General store,General store,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",N/A,N/A,1.0,1.0,"Gurulia Bhatsala, West Bengal 712122",712122,22.859375099999998,87.5933582,ChIJn08feAAd-DkRaW4g9OeiLwI,https://www.google.com/maps/place/?q=place_id:ChIJn08feAAd-DkRaW4g9OeiLwI,part_317,2026-09-20 20:17:38,6302
SHREE DURGA MISTANNA BHANDAR,Provision Store,General store,General store,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",+91 62962 03449,N/A,5.0,1.0,"Bus Stop, Na, Arambag Road, near Pandugram, Pandugram, West Bengal 712122",712122,22.8769058,87.5833682,ChIJbxw9KRwd-DkRTpzi4Hd-HM8,https://www.google.com/maps/place/?q=place_id:ChIJbxw9KRwd-DkRTpzi4Hd-HM8,part_317,2026-09-20 20:17:38,6303
Anukul Stores,Provision Store,General store,General store,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",+91 94335 02935,N/A,4.7,,"43, Kumir Jala Rd, Kuir Jala RD, Serampore, West Bengal 712203",Serampore,22.7543652,88.33641349999999,ChIJI1cagtia-DkR9dBqCuB4a4o,https://www.google.com/maps/place/?q=place_id:ChIJI1cagtia-DkR9dBqCuB4a4o,part_317,2026-09-20 20:17:39,6304
Shree Lakshmi Narayan Bhandar,Provision Store,Variety store,Variety store,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",+91 95936 71890,N/A,4.7,,"Bhastara, West Bengal 712303",712122,23.029785699999998,88.1560307,ChIJLaC9ovpf-DkRMjr79Ef5zC0,https://www.google.com/maps/place/?q=place_id:ChIJLaC9ovpf-DkRMjr79Ef5zC0,part_317,2026-09-20 20:17:39,6305
LAHA BHANDAR,Provision Store,Grocery store,Grocery store,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",+91 90641 24842,N/A,5.0,,"Laha Kuthir, Kamarpukur Ramakrishna Msn, near Ramkrishna Misson, Kamarpukur, Shripur, West Bengal 712612",712122,22.904660999999997,87.65680069999999,ChIJuZxTSOYZ-DkRYNQz8xVhlHs,https://www.google.com/maps/place/?q=place_id:ChIJuZxTSOYZ-DkRYNQz8xVhlHs,part_317,2026-09-20 20:17:39,6306
Padmavati Bhander,Provision Store,General store,General store,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",+91 98364 37574,N/A,3.0,,"Kalitala Basudebpur, Tribeni, Hooghly, West Bengal 712503",Tribeni,22.9844369,88.3887329,ChIJDWa6Xb2T-DkRqoXdzg931Kc,https://www.google.com/maps/place/?q=place_id:ChIJDWa6Xb2T-DkRqoXdzg931Kc,part_317,2026-09-20 20:17:39,6307
Mangal Deep General Stores,Provision Store,General store,General store,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",+91 89612 40092,N/A,3.8,17.0,"V9XM+C62, Chinsurah R S, Chinsurah, West Bengal 712103",Chinsurah R S,22.8985029,88.3830054,ChIJ6XKaEOCT-DkRMA2QzIcGStk,https://www.google.com/maps/place/?q=place_id:ChIJ6XKaEOCT-DkRMA2QzIcGStk,part_317,2026-09-20 20:17:40,6308
BHARAT BHANDAR,Provision Store,General store,General store,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",+91 86704 20582,N/A,4.5,2.0,"Tirol Rd, near Arambagh Station Road, Arambag, Daulatpur, West Bengal 712601",712122,22.8922359,87.7875684,ChIJHTJyq_oV-DkRFCaJDlkT6ms,https://www.google.com/maps/place/?q=place_id:ChIJHTJyq_oV-DkRFCaJDlkT6ms,part_317,2026-09-20 20:17:40,6309
