business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Career Comfort,B2B Appointment-Setting Agencies,Unemployment office,"Unemployment office, Employment consultant, Service establishment",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 74393 35353,https://careercomfort.co.in/,4.8,554.0,"Career Comfort, 712121, India",712121,20.8581652,80.6183267,ChIJFy64JwN7AjoR5snJH2qaoJI,https://www.google.com/maps/place/?q=place_id:ChIJFy64JwN7AjoR5snJH2qaoJI,part_317,2026-09-20 20:17:36
24/7 Work Online,B2B Appointment-Setting Agencies,Internet marketing service,"Internet marketing service, Service establishment",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 88208 87670,https://sites.google.com/view/247-work-online/home,5.0,2.0,"24/7 Work Online, 712121, India",712121,14.157641199999999,150.06225,ChIJnxwGcoCd-DkRnd4Vz8ys5kk,https://www.google.com/maps/place/?q=place_id:ChIJnxwGcoCd-DkRnd4Vz8ys5kk,part_317,2026-09-20 20:17:37
CONSULTCALM,B2B Appointment-Setting Agencies,Marketing agency,"Marketing agency, Accounting firm, Service establishment",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 62940 48210,N/A,,,"CONSULTCALM, 712121, India",712121,22.2476236,88.166967,ChIJFVZRDvRfAjoRcSuZncQjK-I,https://www.google.com/maps/place/?q=place_id:ChIJFVZRDvRfAjoRcSuZncQjK-I,part_317,2026-09-20 20:17:37
Quick Call Me Enterprise,B2B Appointment-Setting Agencies,Data Entry Service Provider,"Data Entry Service Provider, Service establishment",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,,,"Quick Call Me Enterprise, 712121, India",712121,22.5354274,88.3473528,ChIJcyW4A3NzAjoRg3iB1yrcebE,https://www.google.com/maps/place/?q=place_id:ChIJcyW4A3NzAjoRg3iB1yrcebE,part_317,2026-09-20 20:17:37
Truedeal Global OPC Pvt Ltd,B2B Appointment-Setting Agencies,E-commerce service,E-commerce service,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 80916 67890,https://www.truedealglobal.com/,,,"Ground, Truedeal, Global Office, Back side Rajhana, opposite Rajhana School, Shimla, Himachal Pradesh 171009",Vikasnagar,31.078628799999997,77.1743983,ChIJ3e05fMR5BTkRZ1foJjeOSy0,https://www.google.com/maps/place/?q=place_id:ChIJ3e05fMR5BTkRZ1foJjeOSy0,part_317,2026-09-20 20:17:37
Vishnu Solutions,B2B Appointment-Setting Agencies,BPO Company,"BPO Company, Call center, Telephone Marketing Agency",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98300 71123,https://www.vishnusolutions.com/,3.5,569.0,"First Floor, Nandi Commercial Building, 14B, Camac St, Elgin, Kolkata, West Bengal 700017",Elgin,22.54213,88.352144,ChIJ65ocT7t3AjoRrSf4lnuot1Y,https://www.google.com/maps/place/?q=place_id:ChIJ65ocT7t3AjoRrSf4lnuot1Y,part_317,2026-09-20 20:17:37
Maid Service Agency,B2B Appointment-Setting Agencies,BPO Placement Agency,"BPO Placement Agency, Service establishment",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98364 31178,N/A,2.5,11.0,"Maid Service Agency, 712121, India",712121,22.932219699999997,88.4230245,ChIJgb-qpmeX-DkRBrNo0QJC3IE,https://www.google.com/maps/place/?q=place_id:ChIJgb-qpmeX-DkRBrNo0QJC3IE,part_317,2026-09-20 20:17:37
Sales Design Institute | B2B Marketing & Lead Generation,B2B Appointment-Setting Agencies,Business to business service,"Business to business service, Service establishment",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98413 09379,https://www.salesdesign.co.in/,5.0,6.0,"Sales Design Institute | B2B Marketing & Lead Generation, 712121, India",712121,21.8140152,80.45728009999999,ChIJl3ZAXjQZDTkReMpQ9L_JAj8,https://www.google.com/maps/place/?q=place_id:ChIJl3ZAXjQZDTkReMpQ9L_JAj8,part_317,2026-09-20 20:17:37
Recruitment Mantra HR Consultancy & Recruitment Agency | Job Placement Consultancy in Kolkata,B2B Appointment-Setting Agencies,Consultant,"Consultant, Human resource consulting, Employment center, Employment consultant, Executive search firm, Recruiter, Talent agency, Unemployment office",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 1800 572 4510,https://recruitmentmantra.com/,4.4,683.0,"Gate No 3, 7th Floor, Room No B3, 18, Rabindra Sarani, Terita Bazar, Poddar Court, Tiretti, Kolkata, West Bengal 700012","Terita Bazar, Poddar Court, Tiretti",22.5735495,88.35416529999999,ChIJ7ea1-Rp3AjoRl3umsvjGUF4,https://www.google.com/maps/place/?q=place_id:ChIJ7ea1-Rp3AjoRl3umsvjGUF4,part_317,2026-09-20 20:17:37
DemandFluence,B2B Appointment-Setting Agencies,Marketing agency,"Marketing agency, Business development service, Business to business service",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 70490 00888,https://www.demandfluence.com/?utm_source=organic&utm_medium=seo&utm_campaign=gmb&utm_id=pune,4.6,45.0,"3rd Floor, C-Wing, KPCT, Office # 303, 304, 305 on, Fatima Nagar, Wanowrie, Pune, Maharashtra 411013","Fatima Nagar, Wanowrie",18.504248099999998,73.90090479999999,ChIJfQo_RHfqwjsR0c79QhHraEw,https://www.google.com/maps/place/?q=place_id:ChIJfQo_RHfqwjsR0c79QhHraEw,part_317,2026-09-20 20:17:37
Al-Hiraa Manpower Consultant - Elliot Road,B2B Appointment-Setting Agencies,Human resource consulting,"Human resource consulting, Employment consultant",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 90882 08208,https://alhiraa.in/,4.1,265.0,"85, Elliot Street, 3rd Floor, Kolkata, West Bengal 700016",Taltala,22.550974,88.3604903,ChIJKWAbJx13AjoRtZ5-kep9gIg,https://www.google.com/maps/place/?q=place_id:ChIJKWAbJx13AjoRtZ5-kep9gIg,part_317,2026-09-20 20:17:37
QLB Marketing Insights,B2B Appointment-Setting Agencies,Marketing agency,Marketing agency,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98338 91394,http://www.qlbmarketinginsights.com/,4.0,31.0,"120, 1st Floor, Apex Amanora, Magarpatta City, Road, Amanora Park Town, Hadapsar, Pune, Maharashtra 411028","Amanora Park Town, Hadapsar",18.517767199999998,73.9345866,ChIJj3hWJsbBwjsRHZmfzQJDpH0,https://www.google.com/maps/place/?q=place_id:ChIJj3hWJsbBwjsRHZmfzQJDpH0,part_317,2026-09-20 20:17:37
MOTM Technologies,B2B Appointment-Setting Agencies,Marketing consultant,Marketing consultant,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,http://www.motm.tech/,4.2,19.0,"GAT NO.-1337 first floor, Reality Warehousing Pvt Ltd, MOTM Technologies, 1, Pune - Nagar Rd, Wagholi, Pune, Maharashtra 412207",Wagholi,18.5742612,73.9659322,ChIJe_ZPas3DwjsRZdLXgXP7lFQ,https://www.google.com/maps/place/?q=place_id:ChIJe_ZPas3DwjsRZdLXgXP7lFQ,part_317,2026-09-20 20:17:37
Kestone,B2B Appointment-Setting Agencies,Marketing consultant,Marketing consultant,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 11 4050 8888,https://kestoneglobal.com/,4.2,52.0,"1st Floor, Pash Building, A45, Block B, Mohan Cooperative Industrial Estate, Badarpur, New Delhi, Delhi 110044","Block B, Mohan Cooperative Industrial Estate, Badarpur",28.520429999999998,77.29246599999999,ChIJq6qqqmHhDDkRqexJulfiLh8,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqmHhDDkRqexJulfiLh8,part_317,2026-09-20 20:17:37
Work from home online job,B2B Appointment-Setting Agencies,Satellite Communication Services Provider,"Satellite Communication Services Provider, Service establishment",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 94109 68221,https://surveyheart.com/form/642129c4d24ba707b981c2d4,3.7,3.0,"Work from home online job, 712121, India",712121,21.0680074,82.7525294,ChIJsXW6nJNoCYcRIONbTaM4LWM,https://www.google.com/maps/place/?q=place_id:ChIJsXW6nJNoCYcRIONbTaM4LWM,part_317,2026-09-20 20:17:37
Dial4Job.com – Online Job Portal in India,B2B Appointment-Setting Agencies,Employment consultant,"Employment consultant, Service establishment",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 93157 76132,https://dial4job.com/,,,"Dial4Job.com – Online Job Portal in India, 712121, India",712121,28.6440837,77.0932314,ChIJHdDA8UZcgAkRekHPPEQsp4k,https://www.google.com/maps/place/?q=place_id:ChIJHdDA8UZcgAkRekHPPEQsp4k,part_317,2026-09-20 20:17:37
