business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
RO Care India,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Sewage treatment plant, Water Filter Supplier, Water softening equipment supplier, Water treatment plant, Water treatment supplier",713357,West Bengal Circle,South Bengal Region,Asansol Division,Salanpur SO,+91 93115 87744,https://www.rocareindia.com/ro-service-serampore-kolkata,3.7,3.0,"32, Satish Chandra Ghosh Ln, Mahesh Colony, Serampore, Hooghly, West Bengal 712201","Mahesh Colony, Serampore",22.744004999999998,88.3485982,ChIJievGRtib-DkRFqTQFXf7fWE,https://www.google.com/maps/place/?q=place_id:ChIJievGRtib-DkRFqTQFXf7fWE,part_320,2026-09-20 20:26:17
Water purifier sales & services,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Service establishment",713357,West Bengal Circle,South Bengal Region,Asansol Division,Salanpur SO,+91 98675 59282,N/A,5.0,1.0,"Water purifier sales & services, 713357, India",713357,19.2154678,72.9947325,ChIJ2Q0FpJ295zsRYrkjeQ-uJes,https://www.google.com/maps/place/?q=place_id:ChIJ2Q0FpJ295zsRYrkjeQ-uJes,part_320,2026-09-20 20:26:17
Ro water purifier repair and sale,RO Water Purifier Sales and Service,Service establishment,Service establishment,713357,West Bengal Circle,South Bengal Region,Asansol Division,Salanpur SO,+91 81302 41065,N/A,,,"Ro water purifier repair and sale, 713357, India",713357,28.737152799999997,77.0842134,ChIJJ0RIuAYBDTkRZe4pRngC88I,https://www.google.com/maps/place/?q=place_id:ChIJJ0RIuAYBDTkRZe4pRngC88I,part_320,2026-09-20 20:26:17
ELIXA INDIA,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,713357,West Bengal Circle,South Bengal Region,Asansol Division,Salanpur SO,+91 78900 01091,http://elixagroup.in/,4.6,13.0,"17/10/1, Mall Rd, K.B.Sarani, Golpark, Dum Dum, Kolkata, North Dumdum, West Bengal 700080","K.B.Sarani, Golpark, Dum Dum",22.626439299999998,88.42265569999999,ChIJpW0n3-Sf-DkRaJpOVlbuPpg,https://www.google.com/maps/place/?q=place_id:ChIJpW0n3-Sf-DkRaJpOVlbuPpg,part_320,2026-09-20 20:26:18
Spring Water Hub,RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Repair service, Water purification company, Water Pump Supplier, Water treatment plant, Water treatment supplier",713357,West Bengal Circle,South Bengal Region,Asansol Division,Salanpur SO,+91 91638 11362,https://spring-water-hub.grexa.site/,4.9,187.0,"36/D, Bhagabati Chatterjee St, Beehive Garden, Belghoria, Kolkata, West Bengal 700056","Beehive Garden, Belghoria",22.6572919,88.3819183,ChIJwSwYiQGd-DkRIX6ZdLTavxA,https://www.google.com/maps/place/?q=place_id:ChIJwSwYiQGd-DkRIX6ZdLTavxA,part_320,2026-09-20 20:26:18
Aqua Techno,RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Chimney services, Water purification company, Water softening equipment supplier",713357,West Bengal Circle,South Bengal Region,Asansol Division,Salanpur SO,+91 79806 06978,N/A,4.8,66.0,"83/2 J, Topsia Rd S, Seal Lane, Topsia, Kolkata, West Bengal 700046","Seal Lane, Topsia",22.542140399999997,88.38433719999999,ChIJX7pynbt3AjoR6tnXyrnlakY,https://www.google.com/maps/place/?q=place_id:ChIJX7pynbt3AjoR6tnXyrnlakY,part_320,2026-09-20 20:26:18
Aquaguard/Kitchen Chimney (YES BOSS ENTERPRISE),RO Water Purifier Sales and Service,Water purification company,Water purification company,713357,West Bengal Circle,South Bengal Region,Asansol Division,Salanpur SO,+91 99323 81508,N/A,4.9,,"1st Floor, Panchubala Market, Kalna Rd, opposite S B I Bank, Bazer, Hatgobindapur, Bardhaman, West Bengal 713407",Bazer,23.2563933,87.98333269999999,ChIJJ87TGLhP-DkRoKSxnsQbcG0,https://www.google.com/maps/place/?q=place_id:ChIJJ87TGLhP-DkRoKSxnsQbcG0,part_320,2026-09-20 20:26:18
Fresh World Home Appliance,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,713357,West Bengal Circle,South Bengal Region,Asansol Division,Salanpur SO,+91 97345 44766,N/A,5.0,,"Busstand, Khargram, West Bengal 742147",Busstand,24.0324016,87.9770145,ChIJ-ycWyHiP-TkR_HXGvtTPXDg,https://www.google.com/maps/place/?q=place_id:ChIJ-ycWyHiP-TkR_HXGvtTPXDg,part_320,2026-09-20 20:26:18
Water solution,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,713357,West Bengal Circle,South Bengal Region,Asansol Division,Salanpur SO,N/A,N/A,4.7,,"Patharmahara, Block road, Manbazar, Patharmohra, West Bengal 723131",713357,23.053219499999997,86.65146519999999,ChIJNfBcyEpB9jkRlhoMXc0WO-k,https://www.google.com/maps/place/?q=place_id:ChIJNfBcyEpB9jkRlhoMXc0WO-k,part_320,2026-09-20 20:26:18
Ms Asian Ro Kent Authorised sale service,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,713357,West Bengal Circle,South Bengal Region,Asansol Division,Salanpur SO,+91 89867 84252,http://kent.co.in/,4.6,,"Rasikhpur Road, Dudhani, Dumka, Jharkhand 814101",Dudhani,24.2790389,87.24152289999999,ChIJ4xTgUMe38DkRnF0q2fZnyDY,https://www.google.com/maps/place/?q=place_id:ChIJ4xTgUMe38DkRnF0q2fZnyDY,part_320,2026-09-20 20:26:18
