business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
FANCY & FOOTWear,Footwear and Shoe Store,Shoe store,Shoe store,695547,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Valiamala SO,N/A,N/A,,,"ISRO Junction, Tholicode, Keralam 695541",ISRO Junction,8.635040499999999,77.0308333,ChIJRQxsJhXIBTsRCNgt8peI03U,https://www.google.com/maps/place/?q=place_id:ChIJRQxsJhXIBTsRCNgt8peI03U,part_311,2026-09-20 20:42:26
Trends Footwear,Footwear and Shoe Store,Shoe store,Shoe store,695547,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Valiamala SO,+91 97789 68526,https://stores.trends-footwear.com/trends-footwear-rrl-malapuram-hala-mall-shoe-shop-punnathala-puthanathani-477364/Home?utm_source=locator&utm_medium=googleplaces,4.8,61.0,"Shop No 22/1678/A1/2/3, GF, Hala Mall Puthanathani, Puramannur, Punnathala, Puthanathani, Keralam 676552",Punnathala,10.9344881,76.00410409999999,ChIJo2hkdtG1pzsRcPu5KoJW9sk,https://www.google.com/maps/place/?q=place_id:ChIJo2hkdtG1pzsRcPu5KoJW9sk,part_311,2026-09-20 20:42:27
Trends Footwear,Footwear and Shoe Store,Shoe store,Shoe store,695547,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Valiamala SO,+91 70440 72937,https://stores.trends-footwear.com/trends-footwear-rrl-footprint-banerjee-ghat-road-shoe-shop-shibpur-howrah-477485/Home?utm_source=locator&utm_medium=googleplaces,4.9,1592.0,"Shop No 15, 1st Floor, Avani Riverside 32, Jagat Banerjee Ghat Rd, Choura Bustee, Shibpur, Howrah, West Bengal 711102","Choura Bustee, Shibpur",22.5639137,88.3238049,ChIJ4btE3rt5AjoRtpblmj1NOGw,https://www.google.com/maps/place/?q=place_id:ChIJ4btE3rt5AjoRtpblmj1NOGw,part_311,2026-09-20 20:42:27
Leather Planet,Footwear and Shoe Store,Shoe store,Shoe store,695547,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Valiamala SO,+91 93882 02007,N/A,3.8,805.0,"SH 71, Choothupara, Kottakkal, Keralam 676503",Choothupara,11.0002648,76.0002332,ChIJRSnlTKW0pzsRNj3MyghA5tk,https://www.google.com/maps/place/?q=place_id:ChIJRSnlTKW0pzsRNj3MyghA5tk,part_311,2026-09-20 20:42:27
Offer Store,Footwear and Shoe Store,Shoe store,Shoe store,695547,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Valiamala SO,+91 3446 006 641,N/A,3.9,31.0,"opposite bpcl, metro pillar number 525, Palarivattom, Kochi, Keralam 682025",Palarivattom,10.003598,76.3046607,ChIJeYW2C2ANCDsRK_PrZoyoDcc,https://www.google.com/maps/place/?q=place_id:ChIJeYW2C2ANCDsRK_PrZoyoDcc,part_311,2026-09-20 20:42:27
Nexo Footwear,Footwear and Shoe Store,Shoe store,Shoe store,695547,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Valiamala SO,+91 94969 56589,https://www.instagram.com/nexo_footwears?igsh=d3ZuMzUxbGltdHNw,5.0,1.0,"Gandhi Park, Mysore Road, Mananthavady, Keralam 670645",695547,11.803493099999999,76.004873,ChIJo3StA1DfpTsRjtB2alYRpyE,https://www.google.com/maps/place/?q=place_id:ChIJo3StA1DfpTsRjtB2alYRpyE,part_311,2026-09-20 20:42:27
Manish SHOES,Footwear and Shoe Store,Shoe store,Shoe store,695547,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Valiamala SO,N/A,N/A,3.1,98.0,"Nahar Rd, near om medical stor, gdaipura, Gwalior, Madhya Pradesh 474003",gdaipura,26.239493399999997,78.1828336,ChIJGcsm4ozHdjkRQiYT8-1UkcU,https://www.google.com/maps/place/?q=place_id:ChIJGcsm4ozHdjkRQiYT8-1UkcU,part_311,2026-09-20 20:42:27
Show Club-The Ultimate Leather Shoppe,Footwear and Shoe Store,Shoe store,"Shoe store, Bag shop, Chapel, Shopping mall, Toy store",695547,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Valiamala SO,+91 73561 11333,N/A,3.9,198.0,"SH 72, Down Hill, Malappuram, Keralam 676519",Down Hill,11.045645,76.07537289999999,ChIJ4WVe9ZlKpjsR2ItlqP5HWBI,https://www.google.com/maps/place/?q=place_id:ChIJ4WVe9ZlKpjsR2ItlqP5HWBI,part_311,2026-09-20 20:42:27
Zeenath Leather Planet Tirur,Footwear and Shoe Store,Shoe store,Shoe store,695547,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Valiamala SO,+91 494 242 6786,N/A,3.6,713.0,"Madeena Tower, Poongottukulam, Tirur, Tirur, Keralam 676101",695547,10.9103409,75.9201025,ChIJ_YIynu2xpzsRePMvRR1-CSY,https://www.google.com/maps/place/?q=place_id:ChIJ_YIynu2xpzsRePMvRR1-CSY,part_311,2026-09-20 20:42:27
"Bata Shoe Store - Srinivasa Nagar, Bengaluru",Footwear and Shoe Store,Shoe store,"Shoe store, Bag shop, Belt shop, Boot store, Clothing store",695547,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Valiamala SO,+91 85536 09043,https://stores.bata.com/bata-shoes-sandals-store-in-srinivasa-nagar-bengaluru,4.1,1178.0,"2/1180, 80 Feet Rd, near Gym World, Srinivasnagar, Banashankari, Bengaluru, Karnataka 560050","Srinivasnagar, Banashankari",12.938014299999999,77.55689079999999,ChIJW4yOWiE-rjsRvIOchxnNDlY,https://www.google.com/maps/place/?q=place_id:ChIJW4yOWiE-rjsRvIOchxnNDlY,part_311,2026-09-20 20:42:27
