business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shibani Bhandar,Exporters,Garment Exporter,Garment Exporter,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,N/A,N/A,,,"132/1, Parmar Rd, Shantinagar, Uttarpara, West Bengal 712232",Shantinagar,22.6710818,88.34524499999999,ChIJN6CxGNed-DkRnairqOhAfK0,https://www.google.com/maps/place/?q=place_id:ChIJN6CxGNed-DkRnairqOhAfK0,part_317,2026-09-20 20:33:28
Pratima Fashion Garments,Exporters,Garment Exporter,Garment Exporter,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 62915 94210,N/A,,,"43/B G.T. Road (Bhadrakali, Hindmotor, West Bengal 712232",Hindmotor,22.680208399999998,88.3533341,ChIJyWpZM3yd-DkRMW44A-Un3No,https://www.google.com/maps/place/?q=place_id:ChIJyWpZM3yd-DkRMW44A-Un3No,part_317,2026-09-20 20:33:28
Pratima Fashion Garments,Exporters,Garment Exporter,Garment Exporter,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,N/A,N/A,,,"M9J2+574, Bireswar Banerjee St, Bhadrakali, Uttarpara, Debaipukur, West Bengal 712232",Bhadrakali,22.680389599999998,88.3506876,ChIJb_qaUQCd-DkRv2Ucs-v_4u0,https://www.google.com/maps/place/?q=place_id:ChIJb_qaUQCd-DkRv2Ucs-v_4u0,part_317,2026-09-20 20:33:28
Bhagyasree alta sindur,Exporters,Cosmetic Products Manufacturer,Cosmetic Products Manufacturer,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 98743 78114,http://www.bhagyasreealtaandsindur.com/,5.0,7.0,"140, BPMB Sarani, Shantinagar, Uttarpara, West Bengal 712232",Shantinagar,22.6747984,88.34193189999999,ChIJPYj9foud-DkRsxeVQor3K5I,https://www.google.com/maps/place/?q=place_id:ChIJPYj9foud-DkRsxeVQor3K5I,part_317,2026-09-20 20:33:28
Radhe Govinda Exports,Exporters,Garment Exporter,"Garment Exporter, Service establishment",712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,N/A,https://radhegovindaexports.com/,,,"Radhe Govinda Exports, 712232, India",712232,51.2072,-79.5417226,ChIJV4Sx0jfIXWARysmUZwvmXWE,https://www.google.com/maps/place/?q=place_id:ChIJV4Sx0jfIXWARysmUZwvmXWE,part_317,2026-09-20 20:33:28
Shivtara Enterprises,Exporters,Metal machinery supplier,Metal machinery supplier,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,N/A,N/A,,,"3\16, 144, Bireswar Banerjee St, Bhadrakali, Uttarpara, Debaipukur, West Bengal 712232",Bhadrakali,22.6807654,88.3488191,ChIJARZhQzqd-DkRuBDoOk1LyRY,https://www.google.com/maps/place/?q=place_id:ChIJARZhQzqd-DkRuBDoOk1LyRY,part_317,2026-09-20 20:33:28
Priti Hair Export,Exporters,Hair extensions supplier,Hair extensions supplier,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,N/A,N/A,,,"41, Nibaran Chandra Saha Rd, Bhadrakali, Uttarpara, West Bengal 712232",Bhadrakali,22.6736398,88.3438876,ChIJtSg0kwad-DkRfvp3MI1zq_0,https://www.google.com/maps/place/?q=place_id:ChIJtSg0kwad-DkRfvp3MI1zq_0,part_317,2026-09-20 20:33:28
Sreepriya Exports,Exporters,Exporter,"Exporter, Manufacturer",712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 33 2344 0031,https://www.sreepriyaexports.com/,4.8,,"31, Topsia Rd, Topsia Rd S, Kolkata, West Bengal 700046",Gobra,22.5386009,88.38219289999999,ChIJcdW62wV3AjoRwZgLMXfmp_E,https://www.google.com/maps/place/?q=place_id:ChIJcdW62wV3AjoRwZgLMXfmp_E,part_317,2026-09-20 20:33:28
Edcons Exports Pvt Ltd F7,Exporters,Exporter,Exporter,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,N/A,http://www.edconsexports.com/,4.3,,"plot 25 A udayan industrial estate, 7, Pagla Danga Road, Tangra, 7, Pagla Danga Rd, Tangra, Kolkata, West Bengal 700015",Tangra,22.5563987,88.39483849999999,ChIJ3V2kT4R2AjoRwjPTDSxWZRU,https://www.google.com/maps/place/?q=place_id:ChIJ3V2kT4R2AjoRwjPTDSxWZRU,part_317,2026-09-20 20:33:28
Lord Jagannath Natural Fiber Exports,Exporters,Jute exporter,Jute exporter,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,N/A,N/A,5.0,1.0,"26/1, Raj Kumar Chatterjee St, South Nowda Para, Ariadaha, Kolkata, West Bengal 700057","South Nowda Para, Ariadaha",22.6674772,88.36272749999999,ChIJC62Q-zid-DkReYMg0AW3U5s,https://www.google.com/maps/place/?q=place_id:ChIJC62Q-zid-DkReYMg0AW3U5s,part_317,2026-09-20 20:33:29
