business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Anugraha School of Classical Dance & Music,Music and Dance Academy,Dance school,Dance school,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 85901 52105,N/A,4.9,130.0,"Kariyam, Sreekaryam, Thiruvananthapuram, Keralam 695017","Kariyam, Sreekaryam",8.559646299999999,76.922664,ChIJfYaHsF-5BTsRD8Fu1FFgv2Q,https://www.google.com/maps/place/?q=place_id:ChIJfYaHsF-5BTsRD8Fu1FFgv2Q,part_312,2026-09-20 20:18:57
"Mayoora Dance and Music Academy, Anandeshwaram Branch",Music and Dance Academy,Education center,Education center,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 97449 18632,N/A,5.0,1.0,"HWH3+6QJ, Chempazhanthy, Thiruvananthapuram, Uliyazhathura, Keralam 695587",Chempazhanthy,8.5780625,76.9044375,ChIJq7M6GbK_BTsR4FoDwCC6fvc,https://www.google.com/maps/place/?q=place_id:ChIJq7M6GbK_BTsR4FoDwCC6fvc,part_312,2026-09-20 20:18:57
Sreesankaram school of dance & music,Music and Dance Academy,Arts organization,Arts organization,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 98470 37710,N/A,,,"Sree Neelakantapuram, Swamiyarmadom, Chenkottukonam, Thiruvananthapuram, Uliyazhathura, Keralam 695587","Sree Neelakantapuram, Swamiyarmadom, Chenkottukonam",8.5854038,76.907911,ChIJEROMUce_BTsRUdtxRK_0_tc,https://www.google.com/maps/place/?q=place_id:ChIJEROMUce_BTsRUdtxRK_0_tc,part_312,2026-09-20 20:18:57
Mudra school of dance and music,Music and Dance Academy,Dance school,"Dance school, Music school",695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 81378 73305,N/A,4.3,20.0,"Ambalamukku Rd, near iob bank, Devapalan Nagar, Peroorkada, Thiruvananthapuram, Kerala 695005","Devapalan Nagar, Peroorkada",8.533310799999999,76.9632038,ChIJmRYckni5BTsR-lsVXNDZxSE,https://www.google.com/maps/place/?q=place_id:ChIJmRYckni5BTsR-lsVXNDZxSE,part_312,2026-09-20 20:18:57
LA CONSERVATORY - Music Dance Theatre (Hall 2),Music and Dance Academy,Music conservatory,"Music conservatory, Dance school, Drama school, Drawing lessons, Music school, Painting Class",695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 98959 17214,https://www.laconservatoryonline.com/,4.8,13.0,"Chavadimukk (CET, College Rd, Thiruvananthapuram, Keralam 695017",Ambady Nagar,8.5494199,76.9085058,ChIJqbMV20G_BTsRQCxGVg1kJSs,https://www.google.com/maps/place/?q=place_id:ChIJqbMV20G_BTsRQCxGVg1kJSs,part_312,2026-09-20 20:18:57
Mudra School of Classical Dance and Music,Music and Dance Academy,Educational institution,Educational institution,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,N/A,N/A,4.0,1.0,"Pangappara, Thiruvananthapuram, Keralam 695581",Pangappara,8.559158499999999,76.9009569,ChIJDaZSh9u-BTsRuxMnE3t3djc,https://www.google.com/maps/place/?q=place_id:ChIJDaZSh9u-BTsRuxMnE3t3djc,part_312,2026-09-20 20:18:57
"Sree Mahadeva School Of Music, Chenkottukonam By Shyama G. S",Music and Dance Academy,Music school,Music school,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 70251 20417,N/A,5.0,2.0,"Sreekariyam - Pothencode Rd, opposite AJ Polyclinic, Chenkottukonam, Thiruvananthapuram, Keralam 695587",Chenkottukonam,8.5833429,76.90250309999999,ChIJxf3UTMW_BTsROlY4oS8BzHo,https://www.google.com/maps/place/?q=place_id:ChIJxf3UTMW_BTsROlY4oS8BzHo,part_312,2026-09-20 20:18:57
LA CONSERVATORY - Music Dance Theatre (Hall 1),Music and Dance Academy,Music conservatory,"Music conservatory, Art school, Dance school, Drama school, Drawing lessons, Music school",695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 98959 17214,https://www.laconservatoryonline.com/,4.2,5.0,"SRA 75-D, Sreekrishna Nagar, Chavadimukku, Thiruvananthapuram, Keralam 695016","Ambady Nagar, Chavadimukku, Amadi Nagar, Sreekaryam",8.5468341,76.90933629999999,ChIJ4fKTAme_BTsRQo6nJmZdZBk,https://www.google.com/maps/place/?q=place_id:ChIJ4fKTAme_BTsRQo6nJmZdZBk,part_312,2026-09-20 20:18:57
Chidambara Dance and Music Academy,Music and Dance Academy,Dance school,Dance school,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 95269 59585,N/A,5.0,38.0,"VNRA 102-A, near Karumom Sri Mahavishnu Kshethram, CHIDAMBARA KARUMOM, Punchakkari, Thiruvananthapuram, Keralam 695002","CHIDAMBARA KARUMOM, Punchakkari",8.4529321,76.975152,ChIJ6bU2n3u7BTsRo6MgF__SmFo,https://www.google.com/maps/place/?q=place_id:ChIJ6bU2n3u7BTsRo6MgF__SmFo,part_312,2026-09-20 20:18:57
Thiruvananthapuram dance Academy king of pop,Music and Dance Academy,Dance school,Dance school,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 99476 83698,https://www.instagram.com/reel/DVDAdrnk0S0/?igsh=MjUzaG5sYXFhdjI1,5.0,3.0,"Kudappanakunnu, Kudappanakkunnu, Peroorkada, Thiruvananthapuram, Keralam 695043","Kudappanakunnu, Kudappanakkunnu, Peroorkada",8.5518891,76.96066549999999,ChIJN96v3l65BTsRAOZcQ6tAQVE,https://www.google.com/maps/place/?q=place_id:ChIJN96v3l65BTsRAOZcQ6tAQVE,part_312,2026-09-20 20:18:57
