business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Adsomia India Pvt Ltd,Advertisement Agency,Advertising agency,"Advertising agency, Design agency, Graphic designer, Internet marketing service, Marketing agency, Media company, Photographer, Software company, Video editing service, Website designer",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 86956 26262,http://www.adsomia.com/,4.6,44.0,"Logtech Tower, Bypass Junction, Kazhakkoottam, Thiruvananthapuram, Keralam 695582",Technopark Campus,8.565147099999999,76.8755541,ChIJx5cPRoO7BTsRdLrl97uPEfQ,https://www.google.com/maps/place/?q=place_id:ChIJx5cPRoO7BTsRdLrl97uPEfQ,part_312,2026-09-20 20:17:37,5098
Chrysalis Communications Private Limited,Advertisement Agency,Advertising agency,Advertising agency,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 99958 09942,https://www.chrysalis.co.in/,5.0,1.0,"First floor, New Corporation Building, University of Kerala Senate House Campus, Palayam, Thiruvananthapuram, Keralam 695033","University of Kerala Senate House Campus, Palayam",8.5080217,76.9523093,ChIJsQxe0sm7BTsRTNuxQJCKbhs,https://www.google.com/maps/place/?q=place_id:ChIJsQxe0sm7BTsRTNuxQJCKbhs,part_312,2026-09-20 20:17:37,5099
MediaMate Advertising India (P) Ltd,Advertisement Agency,Advertising agency,Advertising agency,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 92484 50002,http://www.mediamate.in/,4.3,15.0,"2, MLR 106A, Mangalam Ln, behind Post Office, Sasthamangalam, Thiruvananthapuram, Keralam 695010","Jawahar Nagar, Sasthamangalam",8.5135524,76.97055069999999,ChIJGcRgb0S5BTsRfa34l5fXJf8,https://www.google.com/maps/place/?q=place_id:ChIJGcRgb0S5BTsRfa34l5fXJf8,part_312,2026-09-20 20:17:37,5100
Aj Digi World,Advertisement Agency,Advertising agency,"Advertising agency, Service establishment",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 90722 75447,N/A,,,"Aj Digi World, 695585, India",695585,8.5662641,76.874099,ChIJbQSpwyuMZ60RjcKRqXKx_8o,https://www.google.com/maps/place/?q=place_id:ChIJbQSpwyuMZ60RjcKRqXKx_8o,part_312,2026-09-20 20:17:37,5101
Webstrike Solutions,Advertisement Agency,Advertising agency,"Advertising agency, Service establishment",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 70121 50551,https://www.webstrike.in/,5.0,,"Webstrike Solutions, 695585, India",695585,8.4996555,76.9242809,ChIJg8tuqzcpsQQRGANzY0SYbpA,https://www.google.com/maps/place/?q=place_id:ChIJg8tuqzcpsQQRGANzY0SYbpA,part_312,2026-09-20 20:17:37,5102
Real Image Advertising & Marketing,Advertisement Agency,Advertising agency,Advertising agency,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 93499 88088,N/A,3.7,50.0,"Vattiyoorkavu, Thiruvananthapuram, Keralam 695013",Vattiyoorkavu,8.5265282,76.989457,ChIJXd5ltyS6BTsR0pMISV4aUlM,https://www.google.com/maps/place/?q=place_id:ChIJXd5ltyS6BTsR0pMISV4aUlM,part_312,2026-09-20 20:17:39,5103
Adverticement Company,Advertisement Agency,Advertising agency,Advertising agency,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",N/A,N/A,,,"Technopark Rd, Kazhakuttam, Kazhakkoottam, Thiruvananthapuram, Kerala 695582",Kazhakuttam,8.5685708,76.87313329999999,ChIJFfq6Jd6_BTsRK9WQ0fVpj18,https://www.google.com/maps/place/?q=place_id:ChIJFfq6Jd6_BTsRK9WQ0fVpj18,part_312,2026-09-20 20:18:24,7077
Cinema Theater advertising,Advertisement Agency,Advertising agency,Advertising agency,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 73565 56661,N/A,5.0,,"Kazhakuttam, Kazhakkoottam, Thiruvananthapuram, Keralam 695582",Kazhakuttam,8.5685708,76.87313329999999,ChIJ-5-Ejkq_BTsR48JTAgW9Xxg,https://www.google.com/maps/place/?q=place_id:ChIJ-5-Ejkq_BTsR48JTAgW9Xxg,part_312,2026-09-20 20:18:24,7078
LAYERS ADVERTISING,Advertisement Agency,Graphic designer,"Graphic designer, Digital printing service, Print shop",695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 88915 33577,N/A,5.0,,"ROAD, Attinkuzhi Rd, Pallinada, Kazhakkoottam, Thiruvananthapuram, Keralam 695582",Pallinada,8.5540588,76.8759372,ChIJdTj0k5K_BTsRAC29aiaYxds,https://www.google.com/maps/place/?q=place_id:ChIJdTj0k5K_BTsRAC29aiaYxds,part_312,2026-09-20 20:18:24,7079
Media Box Office Trivandrum,Advertisement Agency,Advertising agency,Advertising agency,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 62828 25657,https://www.globalmbo.com/,5.0,,"Asiatic Business Center, near Phase 3, Kazhakkoottam, Thiruvananthapuram, Keralam 695583",695586,8.5517644,76.87727149999999,ChIJFZl7Izk_bQkRoo8lBvHn17w,https://www.google.com/maps/place/?q=place_id:ChIJFZl7Izk_bQkRoo8lBvHn17w,part_312,2026-09-20 20:18:24,7080
Grand Ideas Communications Pvt Ltd,Advertisement Agency,Advertising agency,"Advertising agency, Marketing agency",695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 88911 97443,http://www.grandideas.in/,4.8,22.0,"VJRA A48, Second Floor, TC 23/3185(3 VJ Lane, PO, Jawahar Nagar, Vellayambalam, Thiruvananthapuram, Keralam 695010","Jawahar Nagar, Vellayambalam",8.5141479,76.9648528,ChIJ1x-DxKe7BTsRzjmk31FwMtY,https://www.google.com/maps/place/?q=place_id:ChIJ1x-DxKe7BTsRzjmk31FwMtY,part_312,2026-09-20 20:18:25,7081
