business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Nahum Technologies,POS and Billing Software Vendor,Software company,"Software company, POS terminal supplier",713145,West bengal circle,South Bengal Region,Burdwan Division,"Asanpur BO, Bhojpur BO, Denur BO",+91 80890 58131,http://www.nahumtechnologies.com/,4.7,,"P.O, VII/550A3C, 1ST FLOOR, CIVIL LANE ROAD, AMBADIMOOLA, 682021, Thrikkakara, Kakkanad, Kochi, Kerala 682021","Mythripuram, Thrikkakara, Vazhakkala",10.020306999999999,76.3328744,ChIJVQaLq18MCDsRQurWtOw8x3U,https://www.google.com/maps/place/?q=place_id:ChIJVQaLq18MCDsRQurWtOw8x3U,part_319,2026-09-20 20:19:17
Vyapar App - Billing Software,POS and Billing Software Vendor,Software company,Software company,713145,West bengal circle,South Bengal Region,Burdwan Division,"Asanpur BO, Bhojpur BO, Denur BO",+91 63668 27420,https://vyaparapp.in/,4.2,,"GGR Towers 3, No 18/2B, Ambalipura, Sarjapur Main Rd, Bellandur, Bengaluru, Karnataka 560103",Bellandur,12.9206525,77.6710981,ChIJX_VdAB8TrjsRXVQpwIZFWnM,https://www.google.com/maps/place/?q=place_id:ChIJX_VdAB8TrjsRXVQpwIZFWnM,part_319,2026-09-20 20:19:17
DIGIPOS BUSINESS SOLUTIONS PVT LTD,POS and Billing Software Vendor,Software company,Software company,713145,West bengal circle,South Bengal Region,Burdwan Division,"Asanpur BO, Bhojpur BO, Denur BO",+91 98957 95805,http://www.digiposindia.com/,4.7,,"Ambadimoola, 36/385 A1C, 2ND FLOOR, KIZHAKEKKARA BLDNG, CIVIL LANE ROAD, Thrikkakara, Kakkanad, Kochi, Kerala 682030","Thrikkakara, Vazhakkala",10.0210023,76.3389492,ChIJ1aZYmawNCDsRD91CQyKWpLo,https://www.google.com/maps/place/?q=place_id:ChIJ1aZYmawNCDsRD91CQyKWpLo,part_319,2026-09-20 20:19:17
New Way Traders Smart billing machines,POS and Billing Software Vendor,Software company,Software company,713145,West bengal circle,South Bengal Region,Burdwan Division,"Asanpur BO, Bhojpur BO, Denur BO",+91 98240 51360,https://newwaytraders.com/,4.9,,"Hare krishna Complex, 8-LL, opp. Kothawala Flats, Pritam Nagar, Paldi, Ahmedabad, Gujarat 380006","Pritam Nagar, Paldi",23.0185927,72.5675359,ChIJv779f1WEXjkR-YWE2jvv2VA,https://www.google.com/maps/place/?q=place_id:ChIJv779f1WEXjkR-YWE2jvv2VA,part_319,2026-09-20 20:19:17
DIGITAL DREAMS INFOTECH – Accounting Software company in SURAT,POS and Billing Software Vendor,Software company,Software company,713145,West bengal circle,South Bengal Region,Burdwan Division,"Asanpur BO, Bhojpur BO, Denur BO",+91 76220 16104,http://www.digitaldreamsinfotech.com/,4.8,64.0,"Rajhans Olympia, 340-341, Bhatar Rd, near Rupali Neher, Sanskar Nagar, Athwa, Surat, Gujarat 395007","Sanskar Nagar, Athwa",21.172026499999998,72.8165683,ChIJZSFP5mpO4DsRPhGpEBNIHeM,https://www.google.com/maps/place/?q=place_id:ChIJZSFP5mpO4DsRPhGpEBNIHeM,part_319,2026-09-20 20:19:17
Josisoft Technologies,POS and Billing Software Vendor,Software company,"Software company, Business development service, Website designer",713145,West bengal circle,South Bengal Region,Burdwan Division,"Asanpur BO, Bhojpur BO, Denur BO",+91 85976 17361,http://josisoft.com/,4.2,52.0,"10/25, Bengal Ambuja St, Bengal Ambuja Housing Complex, City Center, Durgapur, West Bengal 713216","Bengal Ambuja Housing Complex, City Center",23.5402925,87.3050863,ChIJ______LO-TkR7UIrUQFKDDg,https://www.google.com/maps/place/?q=place_id:ChIJ______LO-TkR7UIrUQFKDDg,part_319,2026-09-20 20:19:18
SP SOLUTIONZ,POS and Billing Software Vendor,Computer consultant,"Computer consultant, Computer service, Computer software store, Computer support and services",713145,West bengal circle,South Bengal Region,Burdwan Division,"Asanpur BO, Bhojpur BO, Denur BO",+91 98838 59021,N/A,5.0,143.0,"712223, Diara, West Bengal 712223",Diara,22.798787299999997,88.26834649999999,ChIJnzBAgTyF-DkR6fN7_mb6tG8,https://www.google.com/maps/place/?q=place_id:ChIJnzBAgTyF-DkR6fN7_mb6tG8,part_319,2026-09-20 20:19:18
PM Software Solutions,POS and Billing Software Vendor,Software company,"Software company, Computer support and services",713145,West bengal circle,South Bengal Region,Burdwan Division,"Asanpur BO, Bhojpur BO, Denur BO",+91 99339 99403,https://www.facebook.com/pmsoftwaresolution,5.0,2.0,"Bansberia, Hapina, West Bengal 742132",Bansberia,23.9234877,87.92079679999999,ChIJhTMt7xCS-TkRTxDLmjLZ2Y4,https://www.google.com/maps/place/?q=place_id:ChIJhTMt7xCS-TkRTxDLmjLZ2Y4,part_319,2026-09-20 20:19:18
IT SOLUTION PVT. LTD,POS and Billing Software Vendor,Software company,"Software company, Computer networking service, Computer support and services, Wholesaler",713145,West bengal circle,South Bengal Region,Burdwan Division,"Asanpur BO, Bhojpur BO, Denur BO",+91 80161 51316,https://it-solution-pvt-ltd.grexa.site/,4.0,2.0,"SUNKA, PAWNAN, Harit, West Bengal 712305",713145,22.9444698,88.2697008,ChIJ3zaxQQ6N-DkRas0TYpdCs6s,https://www.google.com/maps/place/?q=place_id:ChIJ3zaxQQ6N-DkRas0TYpdCs6s,part_319,2026-09-20 20:19:18
Rasacode Technologies Pvt. Ltd.,POS and Billing Software Vendor,Software company,Software company,713145,West bengal circle,South Bengal Region,Burdwan Division,"Asanpur BO, Bhojpur BO, Denur BO",+91 81004 71472,http://rasacode.in/,5.0,3.0,"119/2/2, BPMB Sarani, Bhadrakali, Uttarpara, West Bengal 712232",Bhadrakali,22.6725434,88.3501536,ChIJvY2_1lqd-DkRwH0bnU-0yho,https://www.google.com/maps/place/?q=place_id:ChIJvY2_1lqd-DkRwH0bnU-0yho,part_319,2026-09-20 20:19:18
