business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hotel Karthika Park,Resort,Hotel,Hotel,695316,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Pallipuram SO Thiruvananthapuram,N/A,https://hotelkarthikapark.com/,4.2,5062,"Police station, NH - 66 Road |, 22/4, Panvel - Kochi - Kanyakumari Hwy, near Kazhakkoottam, Kazhakuttam, Kulathoor, Thiruvananthapuram, Keralam 695582","Kazhakuttam, Kulathoor",8.5727849,76.8702945,ChIJL7UPLf6-BTsR-EtsxXtpzJ4,https://www.google.com/maps/place/?q=place_id:ChIJL7UPLf6-BTsR-EtsxXtpzJ4,part_311,2026-09-20 20:23:07
AL Saj Tulip,Resort,Hotel,"Hotel, Inn, Lodge, Motel, Home Stay, Villa",695316,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Pallipuram SO Thiruvananthapuram,N/A,N/A,3.8,156,"HVGC+94W Al Saj convention centre, Kazhakkoottam, Thiruvananthapuram, Keralam 695582",695316,8.575986,76.8703433,ChIJL8Fv17O_BTsR-p0miQCbhSI,https://www.google.com/maps/place/?q=place_id:ChIJL8Fv17O_BTsR-p0miQCbhSI,part_311,2026-09-20 20:23:07
Wild Palms on Sea,Resort,Resort hotel,Resort hotel,695316,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Pallipuram SO Thiruvananthapuram,+91 90728 45328,http://www.wildpalmsonsea.com/,4.2,303,"Beach road, Near St. Xaviers College,, Veli - Perumathura Road, Thiruvananthapuram, Keralam 695586",695316,8.5682408,76.8397793,ChIJhcpEuDW-BTsRhXFjz2wwcpY,https://www.google.com/maps/place/?q=place_id:ChIJhcpEuDW-BTsRhXFjz2wwcpY,part_311,2026-09-20 20:23:07
Hotel Al Saj OYO 15554,Resort,Hotel,Hotel,695316,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Pallipuram SO Thiruvananthapuram,+91 471 241 8420,N/A,3.8,10016,"NH 47 Bypass Road Near Juma Masjid, Kazhakkoottam, Keralam 695582",Kazhakuttam,8.5753905,76.8682558,ChIJQZ_7lqi_BTsRUFq8pjl9TcM,https://www.google.com/maps/place/?q=place_id:ChIJQZ_7lqi_BTsRUFq8pjl9TcM,part_311,2026-09-20 20:23:07
Floatels India Private Limited,Resort,Industrial design company,Industrial design company,695316,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Pallipuram SO Thiruvananthapuram,+91 471 221 2068,N/A,5.0,5,"FXV7+VFW, Jagathy, Thiruvananthapuram, Kerala 695014",Jagathy,8.4947263,76.9636907,ChIJzQ_BsLK7BTsRD1V1PYEVbNg,https://www.google.com/maps/place/?q=place_id:ChIJzQ_BsLK7BTsRD1V1PYEVbNg,part_311,2026-09-20 20:23:09
RF Fishing Equipments,Resort,Store,Store,695316,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Pallipuram SO Thiruvananthapuram,+91 73563 05958,N/A,5.0,3,"Vizhinjam, Thiruvananthapuram, Keralam 695521",Vizhinjam,8.3802408,76.9902577,ChIJfcD1YrilBTsRXznMu0KENOI,https://www.google.com/maps/place/?q=place_id:ChIJfcD1YrilBTsRXznMu0KENOI,part_311,2026-09-20 20:23:09
Citizen Fishing Materials,Resort,Fishing store,Fishing store,695316,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Pallipuram SO Thiruvananthapuram,+91 98950 73721,N/A,4.9,39,"KSRTC KSRTC, Vizhinjam, Keralam 695521",Vizhinjam,8.3807396,76.9921354,ChIJAXs1TMilBTsRDQq2fyZyj3k,https://www.google.com/maps/place/?q=place_id:ChIJAXs1TMilBTsRDQq2fyZyj3k,part_311,2026-09-20 20:23:09
ROYAL FISHING NETS,Resort,Fishing store,Fishing store,695316,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Pallipuram SO Thiruvananthapuram,+91 75618 20359,N/A,5.0,4,"MQ5J+88W, Junction, Pandakasala, Chirayinkeezhu, Keralam 695304",Pandakasala,8.6583617,76.7808281,ChIJ12AGS9LrBTsRf4dOoa0wPL8,https://www.google.com/maps/place/?q=place_id:ChIJ12AGS9LrBTsRf4dOoa0wPL8,part_311,2026-09-20 20:23:09
S. S. ENTERPRISES,Resort,Electrical supply store,Electrical supply store,695316,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Pallipuram SO Thiruvananthapuram,N/A,N/A,3.8,8,"junction, Mudavanmugal, Kesari Nagar, Poojapura, Thiruvananthapuram, Keralam 695012","Mudavanmugal, Kesari Nagar, Poojapura",8.486881,76.9832307,ChIJ5-Rg5l66BTsRIEwwXUiAWaE,https://www.google.com/maps/place/?q=place_id:ChIJ5-Rg5l66BTsRIEwwXUiAWaE,part_311,2026-09-20 20:23:09
Aldrin store fishing materials,Resort,Fishing store,Fishing store,695316,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Pallipuram SO Thiruvananthapuram,+91 99959 76533,N/A,4.0,8,"JQJQ+FP4, near perumathura bridge, Perumathura, Keralam 695303",695316,8.631155099999999,76.789316,ChIJ_256bmnrBTsR4SoRtZXmp6g,https://www.google.com/maps/place/?q=place_id:ChIJ_256bmnrBTsR4SoRtZXmp6g,part_311,2026-09-20 20:23:09
Group Centre CRPF Pallippuram,Resort,Civil defense,Civil defense,695316,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Pallipuram SO Thiruvananthapuram,+91 471 275 2617,N/A,4.5,102,"JV42+MVQ, CRPF Rd, Thiruvananthapuram, Pallippuram, Keralam 695316",695316,8.606707499999999,76.85224889999999,ChIJfcp2vnfABTsRYluk16wFIjw,https://www.google.com/maps/place/?q=place_id:ChIJfcp2vnfABTsRYluk16wFIjw,part_311,2026-09-20 20:23:09
