business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
New Cold Systems,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",+91 97461 46372,N/A,4.9,7.0,"C329+W5F, Athiyanoor Aralummodu, Kerala 695123",Arangamugal,8.4023142,77.06793069999999,ChIJM7vSPmevBTsRpSAssYZCPWg,https://www.google.com/maps/place/?q=place_id:ChIJM7vSPmevBTsRpSAssYZCPWg,part_311,2026-09-20 20:22:30
A.G. Cold Store,Warehouse and Cold Storage,Storage facility,Storage facility,695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",+91 93884 82888,N/A,5.0,1.0,"GW3R+JJP, Varambassery Rd, Barton Hill Colony, Kunnukuzhy, Thiruvananthapuram, Keralam 695035","Barton Hill Colony, Kunnukuzhy",8.5040839,76.941575,ChIJ839aAcC7BTsRp1nmw2pUqn0,https://www.google.com/maps/place/?q=place_id:ChIJ839aAcC7BTsRp1nmw2pUqn0,part_311,2026-09-20 20:22:30
Warehouse No 4,Warehouse and Cold Storage,Warehouse,Warehouse,695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",N/A,N/A,4.3,3.0,"Kinfra International, Pallithura, Thiruvananthapuram, Menamkulam, Keralam 695586",Pallithura,8.551852499999999,76.8619827,ChIJWYZAbgC_BTsRHbHddcgEle8,https://www.google.com/maps/place/?q=place_id:ChIJWYZAbgC_BTsRHbHddcgEle8,part_311,2026-09-20 20:22:30
MENATHOTTAM WAREHOUSE,Warehouse and Cold Storage,Warehouse,Warehouse,695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",N/A,N/A,5.0,1.0,"FWHH+HQX, Devi Nagar, Eanchakkal, Thiruvananthapuram, Keralam 695008","Devi Nagar, Eanchakkal",8.4789884,76.92949949999999,ChIJs1u0D-q7BTsRvxm6paXolWQ,https://www.google.com/maps/place/?q=place_id:ChIJs1u0D-q7BTsRvxm6paXolWQ,part_311,2026-09-20 20:22:30
Krishnan Nair & Sons Warehouse,Warehouse and Cold Storage,Warehouse,"Warehouse, Storage facility",695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",N/A,N/A,5.0,1.0,"CIT Rd, opp. Varma Homes Trident, Melarannoor, Karamana, Thiruvananthapuram, Keralam 695002","Melarannoor, Karamana",8.488963,76.9642842,ChIJxzGmn7e7BTsRsn3yZjPqtVQ,https://www.google.com/maps/place/?q=place_id:ChIJxzGmn7e7BTsRsn3yZjPqtVQ,part_311,2026-09-20 20:22:30
Manaswinis Favourites Warehouse,Warehouse and Cold Storage,Storage facility,Storage facility,695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",N/A,https://www.manaswinisfavourites.com/,,,"Manaswinis Enclave, Kalpada Junction, cdc, Road, Mukkolakkal, Between, Maruthoor, Thiruvananthapuram, Keralam 695015","Mukkolakkal, Between, Maruthoor",8.569997599999999,76.9489134,ChIJreLF5VG5BTsRyEw6EcOZji8,https://www.google.com/maps/place/?q=place_id:ChIJreLF5VG5BTsRyEw6EcOZji8,part_311,2026-09-20 20:22:30
"KMP TRADERS,Nestle-Britannia Distributor",Warehouse and Cold Storage,Warehouse,Warehouse,695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",N/A,N/A,4.5,11.0,"Thiruvananthapuram - Ponmudi Rd, Tholicode, Keralam 695541",695313,8.6383951,77.0314544,ChIJKWJlc-bJBTsRkBh3x4i1K1M,https://www.google.com/maps/place/?q=place_id:ChIJKWJlc-bJBTsRkBh3x4i1K1M,part_311,2026-09-20 20:22:30
Ayilliam Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",+91 98468 57118,N/A,,,"GWMX+PWG, TKD Road, Muttada, Thiruvananthapuram, Keralam 695025",Muttada,8.534316,76.9498213,ChIJt1zop2W5BTsRy0fwnsN5fAE,https://www.google.com/maps/place/?q=place_id:ChIJt1zop2W5BTsRy0fwnsN5fAE,part_311,2026-09-20 20:22:30
"KERALA STATE WAREHOUSING COORPORATION, STATE WARE HOUSE",Warehouse and Cold Storage,Warehouse,Warehouse,695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",+91 471 246 0138,https://kerwacor.com/,4.1,7.0,"FXM2+WCW, Chalai Bazaar, Chalai, Thiruvananthapuram, Keralam 695036","Chalai Bazaar, Chalai",8.4848733,76.9510648,ChIJJ9HCtqe7BTsRwRcbTT__V0s,https://www.google.com/maps/place/?q=place_id:ChIJJ9HCtqe7BTsRwRcbTT__V0s,part_311,2026-09-20 20:22:30
Blue Star Dealer - Emmar Appliances - Tamil Nadu,Warehouse and Cold Storage,Warehouse and Cold Storage,Warehouse and Cold Storage,695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",+91 94473 89619,https://emmarappliances.com/,4.5,,"56/1, North, Gomathy Nagar, Balabagya Nagar South, Thachanallur, Tirunelveli, Tamil Nadu 627001","Gomathy Nagar, Balabagya Nagar South, Thachanallur",8.7437971,77.7090989,ChIJ_TVmxigRBDsRBe84vEMDmYo,https://www.google.com/maps/place/?q=place_id:ChIJ_TVmxigRBDsRBe84vEMDmYo,part_311,2026-09-20 20:22:32
