business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Moner Swad (Ukhra) -Caketopia,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",N/A,https://www.monerswad.com/,4.9,32.0,"Bisweswari, Ukhra-Andal Road, near H.P. Petrol Pump, Anandpally, Ukhra, West Bengal 713363",Anandpally,23.651931299999998,87.2323474,ChIJV4yDUABr9zkRWfNMeES0gfo,https://www.google.com/maps/place/?q=place_id:ChIJV4yDUABr9zkRWfNMeES0gfo,part_320,2026-09-20 20:24:14
MAA KALI ROTI CENTRE,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",N/A,N/A,5.0,1.0,"P78C+J57, Pandaveswar, Baidyanathpur, West Bengal 713346",713346,23.7165422,87.2704091,ChIJVU3-DABr9zkR3wuWYzWl2J8,https://www.google.com/maps/place/?q=place_id:ChIJVU3-DABr9zkR3wuWYzWl2J8,part_320,2026-09-20 20:24:14
Cakes and Bakes,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",+91 86178 95306,N/A,4.2,61.0,"P78F+63M, N.S.B. Rd, Pandaveswar, Baidyanathpur, West Bengal 713346",713346,23.715555199999997,87.27264369999999,ChIJheqIXvtr9zkRNl9DpeXgBU0,https://www.google.com/maps/place/?q=place_id:ChIJheqIXvtr9zkRNl9DpeXgBU0,part_320,2026-09-20 20:24:14
ATHARVA CAKE WORLD,Patisserie,Cake shop,Cake shop,713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",+91 91232 99013,N/A,5.0,1.0,"chhatishgonda road, near hanuman mandir, Pandaveswar, Kendra, West Bengal 713346",713346,23.735398999999997,87.2414455,ChIJWwmk0hdr9zkRgXn32GoY0b0,https://www.google.com/maps/place/?q=place_id:ChIJWwmk0hdr9zkRgXn32GoY0b0,part_320,2026-09-20 20:24:14
Roshan Bakery,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",+91 90642 98663,N/A,5.0,9.0,"P78F+C4W, N.S.B. Rd, Pandaveswar, Baidyanathpur, West Bengal 713346",713346,23.7160864,87.2728331,ChIJSUlS2Rxr9zkRbKnrCZsWYHE,https://www.google.com/maps/place/?q=place_id:ChIJSUlS2Rxr9zkRbKnrCZsWYHE,part_320,2026-09-20 20:24:14
Priya's cake n bake,Patisserie,Bakery and Cake Shop,"Bakery and Cake Shop, Cake decorating equipment shop, Cake shop",713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",+91 70015 03817,N/A,4.7,92.0,"Station road, Anandpally, Ukhra, West Bengal 713363",Anandpally,23.6518484,87.23227279999999,ChIJLYvY4Mpr9zkRBmPxwEVFyM4,https://www.google.com/maps/place/?q=place_id:ChIJLYvY4Mpr9zkRBmPxwEVFyM4,part_320,2026-09-20 20:24:14
Divya's Cakes Bakery,Patisserie,Bakery and Cake Shop,"Bakery and Cake Shop, Chocolate cafe, Flower designer",713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",+91 86701 19387,https://www.youtube.com/@DivyasCakesBakery,4.9,21.0,"Kumar khala kali mandir, Haripur, Dahuka More, West Bengal 713378",713346,23.686862299999998,87.1950947,ChIJs72-KMQV9zkRWYe5zc6bK90,https://www.google.com/maps/place/?q=place_id:ChIJs72-KMQV9zkRWYe5zc6bK90,part_320,2026-09-20 20:24:14
Shristy's cake,Patisserie,Cake shop,Cake shop,713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",N/A,https://sites.google.com/d/1zoCOXEMaqQTIu3ZMHujlJht4d-AmGSFE/p/1b0NF22v5Xn3nEYJot_hVPcv8sKHOr9nN/edit,4.6,11.0,"Jhanjra Colony, Nakrakonda, West Bengal 713385",Jhanjra Colony,23.6752638,87.29199009999999,ChIJ0RBBlb5r9zkRHFTvY-KCCsw,https://www.google.com/maps/place/?q=place_id:ChIJ0RBBlb5r9zkRHFTvY-KCCsw,part_320,2026-09-20 20:24:14
London bakery,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",+91 96358 33795,N/A,4.7,20.0,"M73J+FPW Local Field, Jhanjra Rd, Tilaboni Colliery Area Colony, Chak Jharia, West Bengal 713363",Tilaboni Colliery Area Colony,23.6536938,87.2817772,ChIJGzTOQQBr9zkRvyd8QvAZoZw,https://www.google.com/maps/place/?q=place_id:ChIJGzTOQQBr9zkRvyd8QvAZoZw,part_320,2026-09-20 20:24:14
Cakes&bakes,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",+91 98916 47298,http://cakesbakes.in/,4.2,102.0,"Station Road, Anandpally, Rabindra Pally, Ukhra, West Bengal 713363","Anandpally, Rabindra Pally",23.6528478,87.23465759999999,ChIJkzJXeiJr9zkRFnfCtrc8A50,https://www.google.com/maps/place/?q=place_id:ChIJkzJXeiJr9zkRFnfCtrc8A50,part_320,2026-09-20 20:24:14
