business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
GOBINDA OIL AND WHEAT MILL,Edible Oil Wholesaler,Manufacturer,"Manufacturer, Flour mill, Food & Beverage Exporter, Food manufacturer, Food Processing Company, Food products supplier, Indian grocery store, Mechanical plant, Wholesale Food Store, Wholesaler",712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",+91 62975 82587,N/A,5.0,35.0,"Bus Stop, Post Office, or, Khanpur-Kananadi Rd, near, Khanpur, West Bengal 712308",near,23.005120899999998,88.04539989999999,ChIJY-m26Phd-DkRgzbYNYhPLv4,https://www.google.com/maps/place/?q=place_id:ChIJY-m26Phd-DkRgzbYNYhPLv4,part_318,2026-09-20 20:17:44
Mahadeb Bhandar- Wholesale Oil Seller,Edible Oil Wholesaler,Food products supplier,Food products supplier,712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",N/A,N/A,,,"P3P4+6HV, Borhal More, Jangipara, Krishnanagar, West Bengal 712404",Borhal More,22.735602699999998,88.0564234,ChIJmb0LKwB7-DkRSYcyLEhSNjU,https://www.google.com/maps/place/?q=place_id:ChIJmb0LKwB7-DkRSYcyLEhSNjU,part_318,2026-09-20 20:17:44
AB Udyog Pvt. Ltd. - Rice Bran Oil Manufacturer,Edible Oil Wholesaler,Oil refinery,Oil refinery,712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",+91 74392 89709,http://www.abudyog.in/,4.6,35.0,"Dighirkon, Bamunia, Road, Uchalan, West Bengal 713427",712408,23.0412316,87.78041309999999,ChIJA0asloM--DkRzxazm4x7HTI,https://www.google.com/maps/place/?q=place_id:ChIJA0asloM--DkRzxazm4x7HTI,part_318,2026-09-20 20:17:44
Food Oil,Edible Oil Wholesaler,Grocery store,Grocery store,712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",+91 70471 21595,N/A,5.0,1.0,"Dear Lottery, Deriachak - Chaipur Rd, Bhogpur, West Bengal 721151",712408,22.390544,87.8076079,ChIJ28zUrJa9AjoRihqUT1RcOL4,https://www.google.com/maps/place/?q=place_id:ChIJ28zUrJa9AjoRihqUT1RcOL4,part_318,2026-09-20 20:17:44
MUSTARD OIL FACTORY,Edible Oil Wholesaler,Corporate office,Corporate office,712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",N/A,N/A,5.0,2.0,"Krishnanagar - Karimpur Rd, Paninala, West Bengal 741103",712408,23.4335211,88.5132575,ChIJ2TBU5Kch-TkRuBCDh0eCbuM,https://www.google.com/maps/place/?q=place_id:ChIJ2TBU5Kch-TkRuBCDh0eCbuM,part_318,2026-09-20 20:17:44
Baba Taraknatn Oil & Flour Mill,Edible Oil Wholesaler,Store,Store,712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",+91 70036 56905,N/A,3.5,2.0,"NH 12, Gopinathpur, West Bengal 742134",712408,24.007139499999997,88.24547869999999,ChIJk1x7bmJ5-TkRQ51Gvs3Yd6Q,https://www.google.com/maps/place/?q=place_id:ChIJk1x7bmJ5-TkRQ51Gvs3Yd6Q,part_318,2026-09-20 20:17:44
Goel Udyog Agencies,Edible Oil Wholesaler,Store,Store,712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",+91 94340 12435,N/A,4.3,54.0,"Gandhi Market, 24, M.R. Road, Ward 8, Khalpara, Siliguri, West Bengal 734005","Ward 8, Khalpara",26.707956199999998,88.4237445,ChIJj48r-mhB5DkRWBVDNom6vg4,https://www.google.com/maps/place/?q=place_id:ChIJj48r-mhB5DkRWBVDNom6vg4,part_318,2026-09-20 20:17:44
Shree Gouranga Oil Mill,Edible Oil Wholesaler,Store,"Store, Grocery store",712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",N/A,N/A,4.1,8.0,"Jp4c+44g, Daspur, Nunyagoda, West Bengal 721211",712408,22.605179699999997,87.72031009999999,ChIJ-UhzhJ0J-DkRNAvsxKjwNME,https://www.google.com/maps/place/?q=place_id:ChIJ-UhzhJ0J-DkRNAvsxKjwNME,part_318,2026-09-20 20:17:44
Sreedhar Oil Mill,Edible Oil Wholesaler,Store,Store,712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",+91 74791 92905,N/A,4.7,23.0,"M2G2+288, Gourangachak, West Bengal 711410",712408,22.6750345,88.0008366,ChIJbU4rk2h3-DkRljNBRM86Ec0,https://www.google.com/maps/place/?q=place_id:ChIJbU4rk2h3-DkRljNBRM86Ec0,part_318,2026-09-20 20:17:45
Jovial Mustard Oil,Edible Oil Wholesaler,Wholesaler,"Wholesaler, Household goods wholesaler, Manufacturer, Mill, Oil refinery, Oilfield, Store",712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",+91 98362 23034,https://sites.google.com/view/jovialmustardoil/home,5.0,7.0,"Vill- Kirtankhola, P.O-Bakhrahat, P.S, Bishnupur, kolkata, West Bengal 722122",P.S,23.067184299999997,87.3214024,ChIJ8Q2hL-qT9zkRg-PGuG82RuM,https://www.google.com/maps/place/?q=place_id:ChIJ8Q2hL-qT9zkRg-PGuG82RuM,part_318,2026-09-20 20:17:45
Jai Bharat Oil Industry,Edible Oil Wholesaler,Store,Store,712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",N/A,N/A,4.3,14.0,"WMV9+JC8, Sainthia, West Bengal 731234",712408,23.944037599999998,87.6685806,ChIJb2lcO876-TkRLAY38cZhAF0,https://www.google.com/maps/place/?q=place_id:ChIJb2lcO876-TkRLAY38cZhAF0,part_318,2026-09-20 20:17:45
Rai Mustard Oil,Edible Oil Wholesaler,Store,Store,712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",+91 87596 11747,N/A,5.0,2.0,"Majhdia Rd, Kulgachhi, Krishnanagar, West Bengal 741161",712408,23.4230268,88.5668778,ChIJaf3gPWkn-TkRMIWx-3nu2CY,https://www.google.com/maps/place/?q=place_id:ChIJaf3gPWkn-TkRMIWx-3nu2CY,part_318,2026-09-20 20:17:45
