business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Nigam Solution CCTV,CCTV Installation and Security System,Security system supplier,Security system supplier,700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",+91 80172 44936,N/A,4.8,37.0,"250, Sonarpur, Vivekananda Bye Lane, 2, Sonarpur, West Bengal 700150",Sonarpur,22.434081199999998,88.4325733,ChIJL0TMcLVzAjoRxFo6FmflkRU,https://www.google.com/maps/place/?q=place_id:ChIJL0TMcLVzAjoRxFo6FmflkRU,part_315,2026-09-20 20:31:14
"R Security System (CCTV CAMERA, VIDEO DOOR PHONE, BIOMETRIC, LAN NETWORKING SELL, INSTALLATION & SERVICE KOLKATA)",CCTV Installation and Security System,Security system installation service,"Security system installation service, Business networking company, Computer networking service, Computer security service, Computer service, Computer support and services, Computer Wholesaler, Security system supplier",700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",+91 89616 76374,https://sites.google.com/view/rsecurit/home,4.9,203.0,"Shop No- 10, C9QP+W4F, Ramchandrapur, Narendrapur, Kolkata, West Bengal 700103","Ramchandrapur, Narendrapur",22.4398125,88.3853125,ChIJ_yc0eSJyAjoRAAAA0K65eQM,https://www.google.com/maps/place/?q=place_id:ChIJ_yc0eSJyAjoRAAAA0K65eQM,part_315,2026-09-20 20:31:14
SM security solution,CCTV Installation and Security System,Security system installation service,"Security system installation service, Electrical installation service",700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",+91 91236 14875,https://sm-security-solution.grexa.site/,5.0,6.0,"Gariya, Narendrapur, Kolkata, West Bengal 700103","Gariya, Narendrapur",22.4361569,88.38085749999999,ChIJj77PfoNxAjoRdWd-hRBSTk0,https://www.google.com/maps/place/?q=place_id:ChIJj77PfoNxAjoRdWd-hRBSTk0,part_315,2026-09-20 20:31:14
CCTV Camera MD C.A.V SYSTEM,CCTV Installation and Security System,Camera repair shop,Camera repair shop,700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",+91 87776 55224,N/A,4.8,40.0,"Rathtala, Netaji Subhas Chandra Bose Rd, Narendrapur, Kolkata, Rajpur Sonarpur, West Bengal 700103",Narendrapur,22.430923099999998,88.4038176,ChIJIVXDy01xAjoRcEGHbJJgaJw,https://www.google.com/maps/place/?q=place_id:ChIJIVXDy01xAjoRcEGHbJJgaJw,part_315,2026-09-20 20:31:14
CR7S cctv camera,CCTV Installation and Security System,Security system installation service,Security system installation service,700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",N/A,https://sites.google.com/view/cr7s-cctv-camera/home,5.0,2.0,"Saleha masjid, Mallikpur Station Rd, Malancha Mahi Nagar, Kolkata, Rajpur Sonarpur, West Bengal 700039",Malancha Mahi Nagar,22.3997709,88.4269733,ChIJKZgXUx1tAjoRjvPXL9VPnZw,https://www.google.com/maps/place/?q=place_id:ChIJKZgXUx1tAjoRjvPXL9VPnZw,part_315,2026-09-20 20:31:14
ADVANCE SECURITY SYSTERM,CCTV Installation and Security System,Computer security service,Computer security service,700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",+91 72781 63533,N/A,5.0,8.0,"Baruipur - Champahati - Ghatakpukur Rd, Begampur, West Bengal 743387",700145,22.3715627,88.4733119,ChIJJyYaZQBtAjoRMBWg8tIuvvQ,https://www.google.com/maps/place/?q=place_id:ChIJJyYaZQBtAjoRMBWg8tIuvvQ,part_315,2026-09-20 20:31:14
SK SECURITY SYSTEM,CCTV Installation and Security System,Computer security service,Computer security service,700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",+91 89614 88692,N/A,5.0,2.0,"Sitakundu, BARUIPUR, West Bengal 743387",700145,22.3601401,88.4666197,ChIJDw6DqgFtAjoRZL2Eq3AzoW0,https://www.google.com/maps/place/?q=place_id:ChIJDw6DqgFtAjoRZL2Eq3AzoW0,part_315,2026-09-20 20:31:14
Roy Security System,CCTV Installation and Security System,Security system installation service,"Security system installation service, Automation company, Fingerprinting Service Provider, Home automation company, Security service, Camera store, Security system supplier, Video camera repair service, Water Pump Supplier",700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",+91 97351 60231,https://roysecurity.in/,4.9,18.0,"Piali Kholaghata, near by D M ENTERPRISE, West Bengal 743363",700145,22.3911016,88.5091988,ChIJlRg7ILgTAjoR1Gfv2Oc7s_E,https://www.google.com/maps/place/?q=place_id:ChIJlRg7ILgTAjoR1Gfv2Oc7s_E,part_315,2026-09-20 20:31:14
BABA LOKENATH ENTERPRISES,CCTV Installation and Security System,Security system installation service,Security system installation service,700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",+91 82408 69677,http://www.babalokenathenterprises.in/,5.0,1.0,"Amtala - Baruipur Rd, Pirkhali, Andharmanik, West Bengal 743503",700145,22.365214899999998,88.3726508,ChIJDV0lg8ZvAjoRrAjQrRjnk_0,https://www.google.com/maps/place/?q=place_id:ChIJDV0lg8ZvAjoRrAjQrRjnk_0,part_315,2026-09-20 20:31:14
Core - Tech,CCTV Installation and Security System,Security system installation service,"Security system installation service, Computer repair service, Computer store, Electronics store, Closed circuit television",700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",+91 62916 49100,N/A,5.0,13.0,"189, RNT Rd, opposite Rajmahal Banquet Hall, Harinavi, Rajpur Sonarpur, West Bengal 700148",Harinavi,22.415350099999998,88.4180382,ChIJLTrL1cltAjoRYylcevbL0s4,https://www.google.com/maps/place/?q=place_id:ChIJLTrL1cltAjoRYylcevbL0s4,part_315,2026-09-20 20:31:15
ডিবি ইনফোটেক DB INFOTECH,CCTV Installation and Security System,Computer security service,"Computer security service, Computer store",700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",+91 83730 73205,http://dbinfotech.in/,5.0,80.0,"Champahati Rd, Champahati, West Bengal 743330",Champahati,22.3997408,88.4894638,ChIJWzzvmeoTAjoRVCS_EgQex1Q,https://www.google.com/maps/place/?q=place_id:ChIJWzzvmeoTAjoRVCS_EgQex1Q,part_315,2026-09-20 20:31:15
BlueCoree Technologies,CCTV Installation and Security System,Computer support and services,"Computer support and services, Computer accessories store, Computer Hardware Company, Computer repair service, Computer security service, Computer service, Computer software store, Computer store, Security system installation service, Used computer store",700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",+91 70039 04693,http://www.bluecoree.com/,5.0,,"Mondal Para Rd, Dakshin Jagaddal, Goteberia, Kolkata, Rajpur Sonarpur, West Bengal 700151","Dakshin Jagaddal, Goteberia",22.4263145,88.39499939999999,ChIJoy9G3m5xAjoRimfySSsLu_Y,https://www.google.com/maps/place/?q=place_id:ChIJoy9G3m5xAjoRimfySSsLu_Y,part_315,2026-09-20 20:31:16
