business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BISWAS CHICKEN CENTER,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",N/A,N/A,5.0,1.0,"535M+M3X, SH15, Kailashpur, West Bengal 713151",713146,23.1592423,88.08274329999999,ChIJGTqcRABb-DkRZr4ynOsKk78,https://www.google.com/maps/place/?q=place_id:ChIJGTqcRABb-DkRZr4ynOsKk78,part_319,2026-09-20 20:19:30
Sultana Chicken Shop,Meat and Poultry Shop,Chicken & Mutton Shop,"Chicken & Mutton Shop, Grocery store",713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",N/A,N/A,5.0,5.0,"Mira Para, Ilsara, Mirapara, West Bengal 713166",Mira Para,23.1270219,88.0724694,ChIJ57IELgBb-DkRHzMreY4MRoM,https://www.google.com/maps/place/?q=place_id:ChIJ57IELgBb-DkRHzMreY4MRoM,part_319,2026-09-20 20:19:30
Khanyan Meat Shop,Meat and Poultry Shop,Meat processor,Meat processor,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",+91 94750 42315,N/A,4.9,9.0,"Station Road, District:, Khanyan, West Bengal 712147",713146,23.0471875,88.3144375,ChIJqb-nS3vy-DkR1W_2ovroJOM,https://www.google.com/maps/place/?q=place_id:ChIJqb-nS3vy-DkR1W_2ovroJOM,part_319,2026-09-20 20:19:30
Mondlai Meat Shop,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",+91 81169 86612,N/A,4.5,13.0,"DVC Bridge, Kalna - Pandua Rd, Pandua, West Bengal 712149",713146,23.077890699999998,88.2852846,ChIJQ7KeNrvz-DkRC9mRjG-AaK0,https://www.google.com/maps/place/?q=place_id:ChIJQ7KeNrvz-DkRC9mRjG-AaK0,part_319,2026-09-20 20:19:30
"Abujhati Hatchery ,Shalimar",Meat and Poultry Shop,Poultry farm,Poultry farm,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",N/A,N/A,4.2,39.0,"3476+QRF, Abujhati, West Bengal 712303",713146,23.0644431,88.1120531,ChIJ_____8Be-DkRvlkrQTpVaxI,https://www.google.com/maps/place/?q=place_id:ChIJ_____8Be-DkRvlkrQTpVaxI,part_319,2026-09-20 20:19:30
RAJU MEET SHOP,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",+91 89678 97002,N/A,4.0,3.0,"Barasarsa Primary School, Na, Barasarsa, Khanyan, West Bengal 712147",713146,23.014199899999998,88.30357149999999,ChIJXYgPDZbz-DkRZAD3cCdQniA,https://www.google.com/maps/place/?q=place_id:ChIJXYgPDZbz-DkRZAD3cCdQniA,part_319,2026-09-20 20:19:30
BENGAL TRADERS AND FARMS,Meat and Poultry Shop,Livestock dealer,"Livestock dealer, Veterinarian, Veterinary pharmacy",713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",+91 98314 06411,N/A,5.0,1.0,"NA PANDUA,KOTALPUKUR,NEAR Pandua Railgate, West Bengal 712149",713146,23.0649618,88.2758868,ChIJxx2I9hbz-DkRZfwEn9QoRBU,https://www.google.com/maps/place/?q=place_id:ChIJxx2I9hbz-DkRZfwEn9QoRBU,part_319,2026-09-20 20:19:30
HFC,Meat and Poultry Shop,Chicken restaurant,Chicken restaurant,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",N/A,http://www.hfcfood.co.in/,3.8,243.0,"539W+GJF, Memari,Chakdighi Road DVC Para Ln, P:O, near Anandamela Electronics, Memari, West Bengal 713146",713146,23.168806099999998,88.09654719999999,ChIJr0Mli9xZ-DkRdE_EJO9fzRM,https://www.google.com/maps/place/?q=place_id:ChIJr0Mli9xZ-DkRdE_EJO9fzRM,part_319,2026-09-20 20:19:30
Sanjit chicken shop,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",N/A,N/A,5.0,,"Pontba, West Bengal 712149",713146,23.068977099999998,88.22186169999999,ChIJp6IYaAD1-DkRdy9lQ0vwiGM,https://www.google.com/maps/place/?q=place_id:ChIJp6IYaAD1-DkRdy9lQ0vwiGM,part_319,2026-09-20 20:19:31
Sadek Ali Chicken Center,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",+91 89726 47658,N/A,,,"23 No Road, opp. Sweet Shop Kamalasagar, Kamalasagar, Bhastara, West Bengal 712303",Kamalasagar,23.0309501,88.1499649,ChIJaQu2cTVf-DkRX3AJplggWuQ,https://www.google.com/maps/place/?q=place_id:ChIJaQu2cTVf-DkRX3AJplggWuQ,part_319,2026-09-20 20:19:31
