business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Abidi's Virsa-e-Deccan,Non-Veg Biryani Restaurant,Hyderabadi restaurant,"Hyderabadi restaurant, Arab restaurant, Biryani restaurant, Brunch restaurant, Kebab shop, Lunch restaurant, Restaurant",713209,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur Re College SO, Durgapur Mg Avenue SO",+91 98493 33821,https://abidis.co.in/,4.1,586,"hospital, Road No. 2, beside LV Prasad Marg, Sri Nagar Colony, Kamalapuri Colony, Jubilee Hills, Hyderabad, Telangana 500034","Sri Nagar Colony, Kamalapuri Colony, Jubilee Hills",17.4240957,78.4286182,ChIJz1fNL6WXyzsRywE-O0K-ai4,https://www.google.com/maps/place/?q=place_id:ChIJz1fNL6WXyzsRywE-O0K-ai4,part_319,2026-09-20 20:31:05
United Kitchens of India,Non-Veg Biryani Restaurant,Indian restaurant,"Indian restaurant, Bengali restaurant, Chinese restaurant, Continental restaurant, Kerala restaurant, North Indian restaurant, Punjabi restaurant, Rajasthani Restaurant, South Indian restaurant",713209,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur Re College SO, Durgapur Mg Avenue SO",+91 77024 46611,http://unitedkitchensofindia.com/,4.5,10888,"State Highway 1 The Purple Leaf Hotel Main, Shamirpet Rd, Karkhana, Secunderabad, Telangana 500009","R & D Colony, Karkhana",17.4589857,78.5004573,ChIJ0XnENUKayzsRkv3EYTEFRxM,https://www.google.com/maps/place/?q=place_id:ChIJ0XnENUKayzsRkv3EYTEFRxM,part_319,2026-09-20 20:31:05
Bangalir adda,Non-Veg Biryani Restaurant,Hamburger restaurant,Hamburger restaurant,713209,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur Re College SO, Durgapur Mg Avenue SO",+91 89720 90886,https://restaurant.demoody.com/bangalier-adda,3.9,525,"Mankur More- Nabasan Rd, Bagnan, West Bengal 711303",713209,22.4657008,87.9582033,ChIJdT4oO2GbAjoRd-M_sK2Khzc,https://www.google.com/maps/place/?q=place_id:ChIJdT4oO2GbAjoRd-M_sK2Khzc,part_319,2026-09-20 20:31:05
Rajpath Family Dhaba cum Resturant,Non-Veg Biryani Restaurant,Dhaba,Dhaba,713209,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur Re College SO, Durgapur Mg Avenue SO",+91 97326 79027,N/A,3.9,200,"F4R8+C5J before Bikaram, NH 16, Jagatpur E Rd, Uluberia, Howrah, West Bengal 711316",Uluberia,22.491080399999998,88.1154035,ChIJo1c99BCFAjoRKSO9bKFgpj4,https://www.google.com/maps/place/?q=place_id:ChIJo1c99BCFAjoRKSO9bKFgpj4,part_319,2026-09-20 20:31:05
Aahar-e-Darbar,Non-Veg Biryani Restaurant,Restaurant,"Restaurant, North Indian restaurant",713209,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur Re College SO, Durgapur Mg Avenue SO",+91 85840 79079,https://aaharedarbar.in/,4.0,2281,"OT Road,Bazarpara,Uluberia,Howrah, Uluberia, West Bengal 711315","Bazarpara, Uluberia",22.468327,88.0964881,ChIJVVVVFYGGAjoRH2Gg16KrdoA,https://www.google.com/maps/place/?q=place_id:ChIJVVVVFYGGAjoRH2Gg16KrdoA,part_319,2026-09-20 20:31:05
New Delicious Aahar Cafe & Family Restaurant,Non-Veg Biryani Restaurant,Restaurant,Restaurant,713209,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur Re College SO, Durgapur Mg Avenue SO",+91 75019 03214,N/A,4.2,136,"BAGNAN Library More Beside Service Road NH 16 Kolaghat, towards, Kolkata Service Road, beside Hundai Showroom, Bagnan, West Bengal 711303",713209,22.469340499999998,87.9746184,ChIJJSy_N9CbAjoRgDDR5cGyOog,https://www.google.com/maps/place/?q=place_id:ChIJJSy_N9CbAjoRgDDR5cGyOog,part_319,2026-09-20 20:31:05
Hyderabad Hosts,Non-Veg Biryani Restaurant,Hyderabadi restaurant,"Hyderabadi restaurant, Caterer, Fine dining restaurant, Takeout restaurant, Restaurant",713209,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur Re College SO, Durgapur Mg Avenue SO",+91 98499 91664,N/A,3.8,3212,"1-98/90/22, Ground Floor, Madhapur Main Road, Hitech City Road, Hyderabad, Telangana 500081","Megha Hills, Sri Sai Nagar, Madhapur",17.4415658,78.3904171,ChIJ8S01SV6RyzsRPmL4wXjD4bo,https://www.google.com/maps/place/?q=place_id:ChIJ8S01SV6RyzsRPmL4wXjD4bo,part_319,2026-09-20 20:31:05
Baba Home Made Biryanis,Non-Veg Biryani Restaurant,Food court,Food court,713209,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur Re College SO, Durgapur Mg Avenue SO",+91 70956 94950,N/A,4.1,366,"Manikonda quarters, opposite srija curry, Manikonda, Telangana 500089",Shirdi Sai Nagar,17.402938,78.38695489999999,ChIJ1bLY7neXyzsRrWwRNdrZI3w,https://www.google.com/maps/place/?q=place_id:ChIJ1bLY7neXyzsRrWwRNdrZI3w,part_319,2026-09-20 20:31:05
Grill-9 Restaurant,Non-Veg Biryani Restaurant,Indian restaurant,"Indian restaurant, Chinese restaurant, Fine dining restaurant, Grill, Middle Eastern restaurant, Restaurant",713209,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur Re College SO, Durgapur Mg Avenue SO",+91 97003 59786,N/A,3.7,14381,"1st Floor, Siva Towers, Bazar, Vikrampuri Colony, opposite Pulla Reddy Sweets, Janakapuri, Vikrampuri Colony, Karkhana, Secunderabad, Telangana 500009","Janakapuri, Vikrampuri Colony, Karkhana",17.4588947,78.4998483,ChIJ6xAuO0KayzsRBZbhSJCx4TM,https://www.google.com/maps/place/?q=place_id:ChIJ6xAuO0KayzsRBZbhSJCx4TM,part_319,2026-09-20 20:31:05
Master Chef Restaurant,Non-Veg Biryani Restaurant,Non Vegetarian Restaurant,"Non Vegetarian Restaurant, Chinese restaurant, Restaurant, North Indian restaurant, Tea house",713209,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur Re College SO, Durgapur Mg Avenue SO",+91 70936 73556,N/A,3.5,8352,"Venkateswara Colony, Brundavanam, Uppal, Hyderabad, Telangana 500039","Venkateswara Colony, Brundavanam, Uppal",17.398759899999998,78.56048109999999,ChIJWX2GHzKZyzsRGp821WfpGi8,https://www.google.com/maps/place/?q=place_id:ChIJWX2GHzKZyzsRGp821WfpGi8,part_319,2026-09-20 20:31:05
Tara - South Indian kitchen,Non-Veg Biryani Restaurant,South Indian restaurant,South Indian restaurant,713209,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur Re College SO, Durgapur Mg Avenue SO",+91 95153 68866,N/A,4.4,3068,"5th floor, F94C+XWR Glacier building Circle, no: 20, premises, opposite google office, Kondapur, Whitefields, Gachibowli, Hyderabad, Telangana 500084","Kondapur, Whitefields, Gachibowli",17.457414999999997,78.3720649,ChIJD3tRNjqTyzsRbBe3cssgnI0,https://www.google.com/maps/place/?q=place_id:ChIJD3tRNjqTyzsRbBe3cssgnI0,part_319,2026-09-20 20:31:05
Veg Shanti Family Dhaba (Restaurant),Non-Veg Biryani Restaurant,Biryani restaurant,"Biryani restaurant, North Indian restaurant, Punjabi restaurant, Restaurant, Vegetarian restaurant",713209,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur Re College SO, Durgapur Mg Avenue SO",+91 96760 03761,N/A,4.2,2479,"1st Floor, Bus Stop, Plot Number 47-11, near Ganesh Nagar, Sri Sai Colony, IDPL, Chinthal, Balanagar, Hyderabad, Telangana 500054","Sri Sai Colony, IDPL, Chinthal, Balanagar",17.4909852,78.45108929999999,ChIJlY8Ck0GQyzsRRuiMlXnnv4A,https://www.google.com/maps/place/?q=place_id:ChIJlY8Ck0GQyzsRRuiMlXnnv4A,part_319,2026-09-20 20:31:05
Biryanis And More,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,713209,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur Re College SO, Durgapur Mg Avenue SO",+91 93474 42222,http://www.biryanis.com/,3.8,6199,"1st Floor, Fantasy Square Building, Gachibowli Rd, near Biodiversity Junction, opposite Nissan Showroom, Jayabheri Pine Valley, Gachibowli, Hyderabad, Telangana 500032","Jayabheri Pine Valley, Gachibowli",17.4289848,78.3739715,ChIJLYzka_qTyzsR3vgPEZCJNcE,https://www.google.com/maps/place/?q=place_id:ChIJLYzka_qTyzsR3vgPEZCJNcE,part_319,2026-09-20 20:31:05
