business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
JS HOMOEO CLINIC,Homeopathic Clinic,Homeopath,"Homeopath, Holistic medicine practitioner",700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",N/A,N/A,5.0,,"opposite of axis Bank, railgate, Subhasgram, Kolkata, Rajpur Sonarpur, West Bengal 700147","railgate, Subhasgram",22.4167635,88.4347887,ChIJ2fB6EABtAjoROcnoxlrofJk,https://www.google.com/maps/place/?q=place_id:ChIJ2fB6EABtAjoROcnoxlrofJk,part_315,2026-09-20 20:30:52
Homeopathy clinic,Homeopathic Clinic,Homeopath,Homeopath,700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",N/A,N/A,4.0,,"CCMF+XXX, Paschatya Para, Harinavi, Rajpur Sonarpur, West Bengal 700149","Paschatya Para, Harinavi",22.4349775,88.4249919,ChIJx7DK3wNzAjoRx-_xpuCUmIY,https://www.google.com/maps/place/?q=place_id:ChIJx7DK3wNzAjoRx-_xpuCUmIY,part_315,2026-09-20 20:30:52
Hahnemann World Homeopathy,Homeopathic Clinic,Homeopath,Homeopath,700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",+91 72780 69278,N/A,3.7,,"178, RNT Rd, beltala, Harinavi, Rajpur Sonarpur, West Bengal 700148","beltala, Harinavi",22.415843,88.4168195,ChIJ7WdE0DVtAjoRyv0l88Il1ME,https://www.google.com/maps/place/?q=place_id:ChIJ7WdE0DVtAjoRyv0l88Il1ME,part_315,2026-09-20 20:30:52
"Sunshine Homeo Clinic, Dr Tahira sultana BHMS(kol) WBUSH",Homeopathic Clinic,Homeopath,Homeopath,700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",+91 62900 11946,N/A,5.0,,"9CX9+PQ Matri Medical Hub and Matri Child Care, Harinavi, Kolkata, Rajpur Sonarpur, West Bengal 700145",Harinavi,22.3993163,88.4194134,ChIJr6B40B9tAjoRvk7hHXOm9MM,https://www.google.com/maps/place/?q=place_id:ChIJr6B40B9tAjoRvk7hHXOm9MM,part_315,2026-09-20 20:30:52
Thyro-cure(Multi speciality Homoeopathic clinic)W.B.,Homeopathic Clinic,Medical clinic,Medical clinic,700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",+91 98317 18941,N/A,5.0,,"South Noapara(Near Sonarpur Station , Platform No 1, Sonarpur, West Bengal 700150","Kamrabad, Sonarpur",22.443578499999997,88.42853199999999,ChIJsUfQzyVzAjoRCgTRRhPo6bk,https://www.google.com/maps/place/?q=place_id:ChIJsUfQzyVzAjoRCgTRRhPo6bk,part_315,2026-09-20 20:30:52
Matri Clinic,Homeopathic Clinic,Homeopath,Homeopath,700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",N/A,N/A,5.0,,"172, Haridhan Chakraborty Sarani, South, Paschatya Para, Barendrapara, Rajpur Sonarpur, West Bengal 700149","South, Paschatya Para, Barendrapara",22.4356497,88.4237641,ChIJr0e7wpdzAjoRuemS2uOYVsY,https://www.google.com/maps/place/?q=place_id:ChIJr0e7wpdzAjoRuemS2uOYVsY,part_315,2026-09-20 20:30:52
AB cure homoeo clinic,Homeopathic Clinic,Doctor,"Doctor, Homeopath",700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",N/A,N/A,5.0,,"md ali road, Mallickpur Rd, Malancha Mahi Nagar, West Bengal 700145","Mallickpur Road, Malancha Mahi Nagar",22.399811699999997,88.43703699999999,ChIJFUvsJLJtAjoRJjzqC2CdHCQ,https://www.google.com/maps/place/?q=place_id:ChIJFUvsJLJtAjoRJjzqC2CdHCQ,part_315,2026-09-20 20:30:52
Healing Homeo Clinic & Naturopathy Centre,Homeopathic Clinic,Homeopath,Homeopath,700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",+91 82409 44124,https://health.org.in/,,,"268, near NETAJI SANGHA, SAHEBPARA, Sonarpur, Kolkata, Rajpur Sonarpur, West Bengal 700150","SAHEBPARA, Sonarpur",22.440874299999997,88.4246364,ChIJ6xuWIkFzAjoRFCFb5dTUaZQ,https://www.google.com/maps/place/?q=place_id:ChIJ6xuWIkFzAjoRFCFb5dTUaZQ,part_315,2026-09-20 20:30:52
Dr Juna Roy//Best Homeopathy doctor in south kolkata,Homeopathic Clinic,Doctor,Doctor,700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",N/A,http://www.drjunaroy.com/,5.0,,"Ghosh para, Mallickpur Rd, near hariharpur gram panchayat, Kolkata, West Bengal 700145",Malancha Mahi Nagar,22.3997071,88.4274701,ChIJBSWmS9BtAjoRVTcP1APEQ4M,https://www.google.com/maps/place/?q=place_id:ChIJBSWmS9BtAjoRVTcP1APEQ4M,part_315,2026-09-20 20:30:52
DR.JITENDRA NATH MANDAL (B.H.M.S)(C.U). (CONSULTANT HOMOEOPATHY PHYSICIAN).,Homeopathic Clinic,Homeopathic pharmacy,Homeopathic pharmacy,700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO",N/A,N/A,5.0,,"JN Bose Rd, EAST, Subhasgram, KOLKATA, Panchghara, West Bengal 700147","EAST, Subhasgram",22.407321,88.440871,ChIJWfFX7uptAjoRkLnK__iZu3w,https://www.google.com/maps/place/?q=place_id:ChIJWfFX7uptAjoRkLnK__iZu3w,part_315,2026-09-20 20:30:52
