business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shree Krishna Plywood,Plywood and Timber Merchant,Lumber store,Lumber store,700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 98305 55860,N/A,5.0,10.0,"231, Roy Bahadur Rd, Ajoy Nagar, Tara Park, New Alipore, Kolkata, West Bengal 700038","Ajoy Nagar, Tara Park, New Alipore",22.5001475,88.3303396,ChIJGZW0Pa5wAjoRNm5jOKQdF2Y,https://www.google.com/maps/place/?q=place_id:ChIJGZW0Pa5wAjoRNm5jOKQdF2Y,part_312,2026-09-20 20:38:49
Shamjee Arjan Patel Co.,Plywood and Timber Merchant,Lumber store,"Lumber store, Company",700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 94335 83692,N/A,4.7,13.0,"F8G5+4WM, Diamond Harbour Rd, Udayan Pally, Paschim Barisha, Kolkata, West Bengal 700008","Udayan Pally, Paschim Barisha",22.4753302,88.3097906,ChIJzxj2I2R6AjoR_f7Uv_DPIso,https://www.google.com/maps/place/?q=place_id:ChIJzxj2I2R6AjoR_f7Uv_DPIso,part_312,2026-09-20 20:38:49
Adarsh Timber Traders,Plywood and Timber Merchant,Lumber store,Lumber store,700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 93310 79598,N/A,3.8,10.0,"616/2, D.H. Road, Behala Industrial Estate, Behala, Kolkata, West Bengal 700034","Shimultala, Behala Industrial Estate, Behala",22.491176,88.3147924,ChIJ30S3NQx6AjoRG3E5me8sqpY,https://www.google.com/maps/place/?q=place_id:ChIJ30S3NQx6AjoRG3E5me8sqpY,part_312,2026-09-20 20:38:49
R.K. Timber Works,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Lumber store, Wood supplier",700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 93393 65304,N/A,5.0,4.0,"476, Parui Kancha Rd, Ramkrishna Nagar, Ramakrishna Palli, Behala, Kolkata, West Bengal 700061","Ramkrishna Nagar, Ramakrishna Palli, Behala",22.494135699999998,88.29662259999999,ChIJ7UxTHFt3AjoRtI7-vsT0N-k,https://www.google.com/maps/place/?q=place_id:ChIJ7UxTHFt3AjoRtI7-vsT0N-k,part_312,2026-09-20 20:38:49
NISANT ENTERPRISE | Plywood Shop | Laminates and Louvers .,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Building materials supplier, Construction Material Wholesaler, Finishing materials supplier, Home improvement store, Lumber store, Wood supplier, Woodworking supply store",700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 89106 29974,https://nisant-enterprise.grexa.site/,5.0,98.0,"Biren Roy Road W, Diamond City West, Sarsuna, Kolkata, Maheshtala, West Bengal 700061","Diamond City West, Sarsuna",22.4842403,88.30174699999999,ChIJmx9UuEN6AjoRE_AqmoGoCmw,https://www.google.com/maps/place/?q=place_id:ChIJmx9UuEN6AjoRE_AqmoGoCmw,part_312,2026-09-20 20:38:49
Maruti Plywood.,Plywood and Timber Merchant,Lumber store,Lumber store,700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 79807 20134,N/A,5.0,7.0,"178, 3A, Roy Bahadur Rd, Senhati Colony, Behala, Kolkata, West Bengal 700038","Senhati Colony, Behala",22.4997749,88.32816559999999,ChIJR1ZPmaZwAjoRor8pZkKKkQc,https://www.google.com/maps/place/?q=place_id:ChIJR1ZPmaZwAjoRor8pZkKKkQc,part_312,2026-09-20 20:38:49
R.S.TIMBER WORKS,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Adhesives & Glue Supplier, Door shop, Firewood supplier, Interior construction contractor, Interior Decorator, Wood and laminate flooring supplier, Wood frame supplier, Wood supplier, Woodworking supply store",700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 93393 65304,https://avishekenterprise.in/,5.0,8.0,"23, Joyrampur Jala Rd, B G Press Colony, Behala, Kolkata, West Bengal 700060","B G Press Colony, Behala",22.497446699999998,88.2991529,ChIJs0rsknl7AjoRRcrGEPMRKxs,https://www.google.com/maps/place/?q=place_id:ChIJs0rsknl7AjoRRcrGEPMRKxs,part_312,2026-09-20 20:38:49
Guru Nanak Plywood,Plywood and Timber Merchant,Lumber store,Lumber store,700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 98312 50204,N/A,3.3,7.0,"69,, Mahatma Gandhi Rd, Behala, Kolkata, West Bengal 700063","Mukunda Das Pally, Daspara, Behala",22.457798999999998,88.309238,ChIJdVUP3416AjoRy9DluIKt_2c,https://www.google.com/maps/place/?q=place_id:ChIJdVUP3416AjoRy9DluIKt_2c,part_312,2026-09-20 20:38:49
Nikhar Timber & Plywood (Top Timber and Plywood Dealers In Kolkata),Plywood and Timber Merchant,Plywood supplier,Plywood supplier,700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,N/A,N/A,4.0,4.0,"Bus Stop, 21, Harish Mukherjee Rd, near Police Hospital, Bhowanipore, Kolkata, West Bengal 700025",Bhowanipore,22.5364592,88.3442924,ChIJ96s2cD93AjoRIWkdtUmqY1k,https://www.google.com/maps/place/?q=place_id:ChIJ96s2cD93AjoRIWkdtUmqY1k,part_312,2026-09-20 20:38:49
Sadashiv Ply Sales Pvt. LTd.,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,N/A,N/A,4.6,,"6, Canal Rd, Kalabagan, Tollygunge, Kolkata, West Bengal 700053","Kalabagan, Tollygunge",22.5012185,88.3417772,ChIJlZcLzshxAjoRcQiTS5lxzT8,https://www.google.com/maps/place/?q=place_id:ChIJlZcLzshxAjoRcQiTS5lxzT8,part_312,2026-09-20 20:38:51
