business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Organic India Store,Organic Food Store,Organic food store,"Organic food store, Organic shop, Wellness center",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 80 3776 2765,https://store.organicindia.com/organic-india/thiruvananthapuram/kowdiar/organic-india-store-in-kowdiar-thiruvananthapuram--98ff5e6d-fcf4-43ca-91e6-3974ba31aa82/home,4.8,,"Vasantham, Pattom - Kowdiar Rd, opposite Azad Bread Factory, Pandits Colony Extension, Kowdiar, Thiruvananthapuram, Keralam 695003","Pandits Colony Extension, Kowdiar",8.522837299999999,76.9579273,ChIJobQGcne7BTsRwGBZ0jFKF-8,https://www.google.com/maps/place/?q=place_id:ChIJobQGcne7BTsRwGBZ0jFKF-8,part_311,2026-09-20 20:16:53,100
Thanal Organic Bazaar,Organic Food Store,Organic shop,Organic shop,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 471 272 7155,http://www.thanaltrust.org/,4.5,,"TC-9/509, Annapoorna, A 12, near Grandeur by Shruthi, Jawahar Nagar, Kowdiar, Keralam 695003","Jawahar Nagar, Kowdiar",8.5164811,76.9671493,ChIJuXg12jK6BTsRxlJ8QjhNE64,https://www.google.com/maps/place/?q=place_id:ChIJuXg12jK6BTsRxlJ8QjhNE64,part_311,2026-09-20 20:16:53,101
Kalappa Farmers Market,Organic Food Store,Organic shop,Organic shop,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 91887 99111,https://kalappa.in/,4.7,,"TC 6/4529, Sydney Lane, Kesavadasapuram, Thiruvananthapuram, Keralam 695004",Kesavadasapuram,8.529834899999999,76.935862,ChIJAWjn7f-5BTsR4QLZTqrj86Y,https://www.google.com/maps/place/?q=place_id:ChIJAWjn7f-5BTsR4QLZTqrj86Y,part_311,2026-09-20 20:16:53,102
Welgate Lifestyle,Organic Food Store,Organic shop,"Organic shop, Dairy store, Produce market",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 95392 25555,https://welgatelifestyle.com/,4.3,,"Pattom - Kowdiar Rd, Kuravankonam, Thiruvananthapuram, Keralam 695003",Kuravankonam,8.522985199999999,76.9511272,ChIJB6icstm7BTsRFMxa_-xMHjA,https://www.google.com/maps/place/?q=place_id:ChIJB6icstm7BTsRFMxa_-xMHjA,part_311,2026-09-20 20:16:53,103
Krishipura,Organic Food Store,Organic shop,"Organic shop, Cell phone store",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 70345 19365,http://krishipura.com/,4.3,,"Pangappara, Thiruvananthapuram, Keralam 695581",Pangappara,8.562047,76.8946461,ChIJT11xqeC-BTsRX_4DRA1wHic,https://www.google.com/maps/place/?q=place_id:ChIJT11xqeC-BTsRX_4DRA1wHic,part_311,2026-09-20 20:16:53,104
Pathayam.in,Organic Food Store,Grocery delivery service,"Grocery delivery service, Fruits & Vegetable Wholesaler",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 62382 26077,http://www.pathayam.in/,4.7,,"Sree Devi Nagar, Karamana, Thiruvananthapuram, Keralam 695002",Karamana,8.479250799999999,76.9663188,ChIJA2KRIQa7BTsRLh3IGSGZ5i8,https://www.google.com/maps/place/?q=place_id:ChIJA2KRIQa7BTsRLh3IGSGZ5i8,part_311,2026-09-20 20:16:53,105
Zero Artificial Organic Supermarket,Organic Food Store,Organic shop,Organic shop,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 86107 60409,https://www.zeroartificial.net/,5.0,,"YMR Jct, opp. PPD Seasons, Vickramapuram, Kuravankonam, Thiruvananthapuram, Keralam 695003","Vickramapuram, Kuravankonam",8.5229412,76.95231079999999,ChIJQX12tIe7BTsRuBz7UrX4s8I,https://www.google.com/maps/place/?q=place_id:ChIJQX12tIe7BTsRuBz7UrX4s8I,part_311,2026-09-20 20:16:53,106
Kairali Fresh,Organic Food Store,Organic shop,Organic shop,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 85938 00099,N/A,4.6,,"A 26, opp. Alive, Pandits Colony Extension, Kowdiar, Thiruvananthapuram, Keralam 695003","Pandits Colony Extension, Kowdiar",8.5210134,76.9589897,ChIJx99gEfK7BTsRZGwz5F3moqo,https://www.google.com/maps/place/?q=place_id:ChIJx99gEfK7BTsRZGwz5F3moqo,part_311,2026-09-20 20:16:53,107
Aadis Pathayapura,Organic Food Store,Organic shop,Organic shop,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 98950 10401,N/A,4.2,,"Chirayinkeezhu - Attingal Rd, Seemavilla, Attingal, Keralam 695101",Seemavilla,8.6895793,76.80949939999999,ChIJCUW8MRzqBTsREFr5cAAwHqM,https://www.google.com/maps/place/?q=place_id:ChIJCUW8MRzqBTsREFr5cAAwHqM,part_311,2026-09-20 20:16:53,108
Susan's Signature,Organic Food Store,Food products supplier,"Food products supplier, Organic shop",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 94000 91551,N/A,5.0,,"Shop no. 40, Kedaram shopping complex, Susan's Signature, Kesavadasapuram, Thiruvananthapuram, Keralam 695004","Vivekananda Nagar, Kesavadasapuram",8.529223199999999,76.9378681,ChIJn_QivVu5BTsRucd-wybLyAY,https://www.google.com/maps/place/?q=place_id:ChIJn_QivVu5BTsRucd-wybLyAY,part_311,2026-09-20 20:16:53,109
