business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Starmilk Products Private Limited,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,4.2,,"RWRX+GRF, Akambari Khal, Jangalpara, West Bengal 712401",712407,22.8413237,87.9495393,ChIJVQV-DWFu-DkRDPgXcwVb5r4,https://www.google.com/maps/place/?q=place_id:ChIJVQV-DWFu-DkRDPgXcwVb5r4,part_318,2026-09-20 20:16:54
AMUL MILK POINT,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,4.2,,"V5Q5+69P, Hetampur, Nalitajol, West Bengal 712405",712407,22.8880975,88.1584486,ChIJ9W3ItARi-DkRkEBcXr0kykk,https://www.google.com/maps/place/?q=place_id:ChIJ9W3ItARi-DkRkEBcXr0kykk,part_318,2026-09-20 20:16:54
India Dairy Products Ltd. (Amul),Dairy and Milk Parlour,Dairy,"Dairy, Food Processing Company",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 3212 263 135,http://amul.com/,4.0,,"Ahilyabai Holkar Rd, Janai, West Bengal 712702",712407,22.7053494,88.2358404,ChIJr7pYUk2B-DkR1y3ddKKj5rY,https://www.google.com/maps/place/?q=place_id:ChIJr7pYUk2B-DkR1y3ddKKj5rY,part_318,2026-09-20 20:16:54
DOLLONS FOOD PRODUCTS,Dairy and Milk Parlour,Dairy,Dairy,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 74395 97764,http://dollons.com/,4.2,,"Village, Dhalarbagan, P.O, Makhalpur, Dhaniakhali, West Bengal 712302",P.O,22.9270186,88.1711626,ChIJ3XU7Bp9h-DkR2iQD0oc32U4,https://www.google.com/maps/place/?q=place_id:ChIJ3XU7Bp9h-DkR2iQD0oc32U4,part_318,2026-09-20 20:16:54
Bangla dairy,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,5.0,,"Q83V+XG8, Tin Bazar, Serampore, West Bengal 712201","Tin Bazar, Serampore",22.7549013,88.3438176,ChIJz6z7HgCb-DkRyGBRDQoAnuw,https://www.google.com/maps/place/?q=place_id:ChIJz6z7HgCb-DkRyGBRDQoAnuw,part_318,2026-09-20 20:16:54
Copila Milk & Sweets,Dairy and Milk Parlour,Sweet shop,Sweet shop,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,2.3,,"X38W+X4W, Tarakeswar - Dhaniakhali Rd, Inathnagar, Dhaniakhali, West Bengal 712302",Inathnagar,22.967482699999998,88.0953237,ChIJVbVgarZg-DkRVF1l_6yw9J8,https://www.google.com/maps/place/?q=place_id:ChIJVbVgarZg-DkRVF1l_6yw9J8,part_318,2026-09-20 20:16:54
Metro Dairy Milk & Ice Cream Distributor,Dairy and Milk Parlour,Dairy store,"Dairy store, Ice cream shop",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,4.6,,"M9R3+RR3, Arabinda Pally, Konnagar, Debaipukur, Uttarpara, West Bengal 712233","Arabinda Pally, Konnagar",22.692005599999998,88.3545566,ChIJtaSIkJ6d-DkRdL69E3mV9lM,https://www.google.com/maps/place/?q=place_id:ChIJtaSIkJ6d-DkRdL69E3mV9lM,part_318,2026-09-20 20:16:54
Copila Food Corner (CFC),Dairy and Milk Parlour,Restaurant,Restaurant,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,4.1,,"239R+6W9, Chak Bibi, Gurap, West Bengal 713166",712407,23.0180397,88.0923684,ChIJs3bneMlf-DkRACqvruizyi8,https://www.google.com/maps/place/?q=place_id:ChIJs3bneMlf-DkRACqvruizyi8,part_318,2026-09-20 20:16:54
Dollons Food Products (P) Ltd,Dairy and Milk Parlour,Food Processing Company,"Food Processing Company, Food manufacturer",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 33 2367 4543,http://www.dollons.com/,4.8,,"Office No. 3, 10th, Ecostation Business Tower, BP Block, Sector V, Salt Lake, Kolkata, West Bengal 700091","BP Block, Sector V, Salt Lake",22.5779414,88.4366781,ChIJVVVVZft1AjoRdkRP_lcPkjw,https://www.google.com/maps/place/?q=place_id:ChIJVVVVZft1AjoRdkRP_lcPkjw,part_318,2026-09-20 20:16:54
Amul Exclusive,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,5.0,,"V9PR+M3W, Chinsurah R S, Chinsurah, West Bengal 712101",Chinsurah R S,22.8867384,88.3902159,ChIJibL84t6R-DkR_Cl7LO2YECI,https://www.google.com/maps/place/?q=place_id:ChIJibL84t6R-DkR_Cl7LO2YECI,part_318,2026-09-20 20:16:54
