business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Biswakarma Machinery Private Limited,Industrial Equipment Suppliers,Machining manufacturer,Machining manufacturer,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 82500 47956,https://biswakarma.in/,5.0,,"Bardhaman - Bankura Rd, Purba, Daichanda, Huria, Bankura, Bardhaman, Kamalpur, West Bengal 713103","Purba, Daichanda, Huria, Bankura",23.191746199999997,87.8237249,ChIJyWRWXJo3-DkRNR-Qw-9iL1A,https://www.google.com/maps/place/?q=place_id:ChIJyWRWXJo3-DkRNR-Qw-9iL1A,part_319,2026-09-20 20:17:25,5179
BISWAS ENTERPRISE,Industrial Equipment Suppliers,Construction equipment supplier,Construction equipment supplier,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",N/A,N/A,4.5,,"Sadarghat Bongpur Mana, Sadarghat Rd, Mondal para, Bardhaman, West Bengal 713103",Mondal para,23.2164952,87.8492347,ChIJkR7qEpU3-DkRZAkPykIJnhk,https://www.google.com/maps/place/?q=place_id:ChIJkR7qEpU3-DkRZAkPykIJnhk,part_319,2026-09-20 20:17:25,5180
Barddhaman Agro,Industrial Equipment Suppliers,Machinery parts manufacturer,Machinery parts manufacturer,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 94755 46306,N/A,5.0,,"7QPP+C22, Nala, West Bengal 713141",713142,23.286019,87.7850235,ChIJL1lTClg1-DkR59uHR0dKWwU,https://www.google.com/maps/place/?q=place_id:ChIJL1lTClg1-DkR59uHR0dKWwU,part_319,2026-09-20 20:17:25,5181
Mill Master Machinery Pvt. Ltd. (Sales Service Spares),Industrial Equipment Suppliers,Food machinery supplier,"Food machinery supplier, Machine repair service, Machinery parts manufacturer",713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",N/A,http://millmasterindia.com/,5.0,,"Grand Trunk Rd, behind city tower, Laskardighi, East, Bardhaman, West Bengal 713101","Laskardighi, East",23.2421959,87.86756969999999,ChIJues4QWRJ-DkRaGSgvBJcZ8A,https://www.google.com/maps/place/?q=place_id:ChIJues4QWRJ-DkRaGSgvBJcZ8A,part_319,2026-09-20 20:17:25,5182
SARBAMANGALA ENGINEERING WORKS,Industrial Equipment Suppliers,Machinery parts manufacturer,"Machinery parts manufacturer, Manufacturer",713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",N/A,N/A,4.7,,"Nirmal Bagan, Notunganj, Anjir Bagan, Bardhaman, West Bengal 713103","Notunganj, Anjir Bagan",23.230387999999998,87.84832449999999,ChIJl0nmdwA3-DkRiEDWxIL3gBo,https://www.google.com/maps/place/?q=place_id:ChIJl0nmdwA3-DkRiEDWxIL3gBo,part_319,2026-09-20 20:17:25,5183
Torqmotion Global Pvt Ltd ( Burdwan ),Industrial Equipment Suppliers,Industrial equipment supplier,Industrial equipment supplier,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",N/A,https://www.torqmotionglobal.com/,,,"290/6, Goda, Dangapara, Bardhaman, West Bengal 713102",Goda,23.2537338,87.8347142,ChIJmTmGlCc3-DkRTswm9Yta4CE,https://www.google.com/maps/place/?q=place_id:ChIJmTmGlCc3-DkRTswm9Yta4CE,part_319,2026-09-20 20:17:25,5184
Shankar Engineering Corporation,Industrial Equipment Suppliers,Food machinery supplier,"Food machinery supplier, Agricultural machinery manufacturer, Industrial consultant, Machine shop, Metal machinery supplier",713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 80017 71047,https://shankarengineeringcorporation.in/,2.3,,"110,G.T.ROAD, Burdwan-713101 Opposite Tinkonia Gurudwara, near Burdwan Railway Station, near Burdwan Municipality, West Bengal 713103",Khosbagan,23.246834999999997,87.86865379999999,ChIJr8dhsT1J-DkRWVVgG47Rd_I,https://www.google.com/maps/place/?q=place_id:ChIJr8dhsT1J-DkRWVVgG47Rd_I,part_319,2026-09-20 20:17:25,5185
Robi Engineering.Works/&/Industrial Oxygan Service...,Industrial Equipment Suppliers,Oxygen equipment supplier,Oxygen equipment supplier,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",N/A,N/A,,,"5RRM+397 WBSEDCL OFFICE, RAINA CUSTOMER CARE CENTRE, Bankura, Chak Purohit, West Bengal 713103",Bankura,23.1901574,87.83340849999999,ChIJG6uIcZs3-DkR0EEk_U22mac,https://www.google.com/maps/place/?q=place_id:ChIJG6uIcZs3-DkR0EEk_U22mac,part_319,2026-09-20 20:17:25,5186
DUTTA ENTERPRISES AND DRY SAND,Industrial Equipment Suppliers,Sand & gravel supplier,Sand & gravel supplier,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 70019 41901,N/A,5.0,,"Alamganj Matibag, Alamganj, Anjir Bagan, Bardhaman, West Bengal 713102","Alamganj, Anjir Bagan",23.232713,87.8467392,ChIJf697wuY3-DkRm0v1LWin4LA,https://www.google.com/maps/place/?q=place_id:ChIJf697wuY3-DkRm0v1LWin4LA,part_319,2026-09-20 20:17:25,5187
NEW FIRE AND SAFETY DEPT,Industrial Equipment Suppliers,Fire protection service,"Fire protection service, Fire alarm supplier, Fire department equipment supplier, Fire protection consultant, Fire protection equipment supplier, Fire protection system supplier",713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 95470 67407,http://newfireandsafety.com/,5.0,,"524, Kanchan Nagar, Bardhaman, West Bengal 713103",713142,23.235061299999998,87.823889,ChIJl8sDrFo2-DkRwcjn26mxtvk,https://www.google.com/maps/place/?q=place_id:ChIJl8sDrFo2-DkRwcjn26mxtvk,part_319,2026-09-20 20:17:25,5188
