business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Abhirampur Bajar,Malls,Market,Market,713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",N/A,N/A,3.8,4.0,"CJQR+G7X, SH 14, Abhirampur, West Bengal 713144",713144,23.4385548,87.6408909,ChIJZ8JDGwDT-TkRamIrOnDOMT4,https://www.google.com/maps/place/?q=place_id:ChIJZ8JDGwDT-TkRamIrOnDOMT4,part_319,2026-09-20 20:18:47
Durga Mata Stores,Malls,Shopping mall,"Shopping mall, General store",713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",+91 87685 76200,N/A,,,"Mankar, Road, Guskhara, Abhirampur, West Bengal 713144",713144,23.4388339,87.64057559999999,ChIJGfbYVMDT-TkRmJns5tKl3kk,https://www.google.com/maps/place/?q=place_id:ChIJGfbYVMDT-TkRmJns5tKl3kk,part_319,2026-09-20 20:18:47
MANDAL & SONS,Malls,Shopping mall,Shopping mall,713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",N/A,N/A,3.7,25.0,"CJQR+MVJ, Abhirampur - Gushkara Rd, Abhirampur, West Bengal 713144",713144,23.439217,87.6421345,ChIJZ0ssIMHT-TkRWcemh3ecnNk,https://www.google.com/maps/place/?q=place_id:ChIJZ0ssIMHT-TkRWcemh3ecnNk,part_319,2026-09-20 20:18:47
রাধা কৃষ্ণ মুড়ি মিল,Malls,Shopping mall,Shopping mall,713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",N/A,N/A,2.3,4.0,"CMRC+34G, Anandabazar Rd, Purba, Burdwan, West Bengal 713144",Purba,23.440182699999998,87.67033649999999,ChIJD7VxqDnS-TkRz2-ELg_zFUE,https://www.google.com/maps/place/?q=place_id:ChIJD7VxqDnS-TkRz2-ELg_zFUE,part_319,2026-09-20 20:18:47
Pranballav Saha,Malls,Shopping mall,Shopping mall,713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",N/A,N/A,3.8,4.0,"CJ9H+CVV, South-, Eral, West Bengal 713144",713144,23.4186235,87.62966349999999,ChIJ20QLXZvT-TkR7eGWdLGVzuA,https://www.google.com/maps/place/?q=place_id:ChIJ20QLXZvT-TkR7eGWdLGVzuA,part_319,2026-09-20 20:18:47
CSD Canteen Panagarh,Malls,Shopping mall,Shopping mall,713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",N/A,N/A,4.2,,"CG63+432, Panagarh, Hansoa, West Bengal 713420",713144,23.4102589,87.5026398,ChIJWYGECgB_9zkRN_CV2F_hMd8,https://www.google.com/maps/place/?q=place_id:ChIJWYGECgB_9zkRN_CV2F_hMd8,part_319,2026-09-20 20:18:49
Ananya,Malls,Shopping mall,Shopping mall,713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",+91 94343 58122,N/A,3.7,,"FPRM+XG3, Guskhara, West Bengal 713128",713144,23.4923969,87.7337967,ChIJU8YYPVnO-TkRIAv--QaKajk,https://www.google.com/maps/place/?q=place_id:ChIJU8YYPVnO-TkRIAv--QaKajk,part_319,2026-09-20 20:18:49
Janata Cycel Store,Malls,Shopping mall,Shopping mall,713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",+91 98322 08288,N/A,4.5,,"Galsi Bazar to Chow Matha Rd, Galsi Bazar, Galsi, West Bengal 713406",Galsi Bazar,23.3409154,87.6888043,ChIJ_5C98mct-DkR1tkShqmMvxI,https://www.google.com/maps/place/?q=place_id:ChIJ_5C98mct-DkR1tkShqmMvxI,part_319,2026-09-20 20:18:49
Astha,Malls,Shopping mall,Shopping mall,713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",+91 83919 80084,N/A,4.0,,"Belari, West Bengal 713141",713144,23.4004363,87.7491615,ChIJkdWdyu_M-TkRkhGsV4jn65I,https://www.google.com/maps/place/?q=place_id:ChIJkdWdyu_M-TkRkhGsV4jn65I,part_319,2026-09-20 20:18:49
Amway Direct Seller & Distributor,Malls,Outlet mall,Outlet mall,713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",+91 6295 506 030,https://chat.whatsapp.com/BQy3PWwh5gUKjanb32RHbo,5.0,,"Station road, Guskhara, West Bengal 713128",713144,23.4903403,87.73678489999999,ChIJEz2FHCDP-TkRyQo8j_EKwV4,https://www.google.com/maps/place/?q=place_id:ChIJEz2FHCDP-TkRyQo8j_EKwV4,part_319,2026-09-20 20:18:49
Hafijul Store,Malls,Shopping mall,Shopping mall,713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",N/A,N/A,4.3,,"GF6F+X2R, Debsala, Kakra, West Bengal 713148",713144,23.512827599999998,87.473266,ChIJ2abFJgB99zkRkgPOoFfqcXg,https://www.google.com/maps/place/?q=place_id:ChIJ2abFJgB99zkRkgPOoFfqcXg,part_319,2026-09-20 20:18:49
