business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MP JEWELLERS,Silver Jewellery Shop,Jewelry store,"Jewelry store, Jewelry buyer",712612,West Bengal Circle,South Bengal Region,Hooghly North Division,"Kamarpukur SO, Mandaran BO, Paschimpara BO",+91 99111 28543,N/A,5.0,,"Hospital Road, near Chati, Kamarpukur, Shripur, West Bengal 712612",712612,22.8956289,87.6597625,ChIJuwL0VSwZ-DkR32S0eo47guw,https://www.google.com/maps/place/?q=place_id:ChIJuwL0VSwZ-DkR32S0eo47guw,part_318,2026-09-20 20:33:14
NPS JEWELRY,Silver Jewellery Shop,Jewelry store,Jewelry store,712612,West Bengal Circle,South Bengal Region,Hooghly North Division,"Kamarpukur SO, Mandaran BO, Paschimpara BO",N/A,N/A,5.0,,"VMW3+8WG, Garhbeta - Kamarpukur Rd, Shripur, Kamarpukur, West Bengal 712612",712612,22.8958202,87.654816,ChIJa_XJRwAZ-DkRv_3qxqhKSwI,https://www.google.com/maps/place/?q=place_id:ChIJa_XJRwAZ-DkRv_3qxqhKSwI,part_318,2026-09-20 20:33:14
KALPATARU JEWELLERS,Silver Jewellery Shop,Jewelry store,Jewelry store,712612,West Bengal Circle,South Bengal Region,Hooghly North Division,"Kamarpukur SO, Mandaran BO, Paschimpara BO",N/A,N/A,5.0,,"VMV6+X57, Ghatal Road, Madhubati, West Bengal 712612",712612,22.8949177,87.6604351,ChIJJ3GruKAZ-DkRmgX69gZqKpY,https://www.google.com/maps/place/?q=place_id:ChIJJ3GruKAZ-DkRmgX69gZqKpY,part_318,2026-09-20 20:33:14
R.K JEWELLERY PALACE,Silver Jewellery Shop,Jewelry store,Jewelry store,712612,West Bengal Circle,South Bengal Region,Hooghly North Division,"Kamarpukur SO, Mandaran BO, Paschimpara BO",N/A,N/A,,,"WM43+642, Kamarpukur Ramakrishna Mission Rd, Kamarpukur, West Bengal 712612",712612,22.9055096,87.65277139999999,ChIJx-pGVAAZ-DkRUaON6wdVfgs,https://www.google.com/maps/place/?q=place_id:ChIJx-pGVAAZ-DkRUaON6wdVfgs,part_318,2026-09-20 20:33:14
SWARNALI JEWELLERS,Silver Jewellery Shop,Jewelry store,Jewelry store,712612,West Bengal Circle,South Bengal Region,Hooghly North Division,"Kamarpukur SO, Mandaran BO, Paschimpara BO",+91 62968 24405,N/A,4.0,,"Arambagh - Kamarpukur Rd, near Chati, Kamarpukur, Shripur, West Bengal 712612",712612,22.8956189,87.659876,ChIJH3aYysQZ-DkR7u6gTEGaA54,https://www.google.com/maps/place/?q=place_id:ChIJH3aYysQZ-DkR7u6gTEGaA54,part_318,2026-09-20 20:33:14
TOMAY SAJABO JOTONE ROY JEWELLERY,Silver Jewellery Shop,Jewelry store,Jewelry store,712612,West Bengal Circle,South Bengal Region,Hooghly North Division,"Kamarpukur SO, Mandaran BO, Paschimpara BO",+91 70472 42305,N/A,4.7,,"Na, Hospital Road, near Saha Market, Kamarpukur, Shripur, West Bengal 712612",712612,22.8957646,87.6589626,ChIJ97lme_AZ-DkRLvF9qq4H9KI,https://www.google.com/maps/place/?q=place_id:ChIJ97lme_AZ-DkRLvF9qq4H9KI,part_318,2026-09-20 20:33:14
KALIMATA JEWELLERS,Silver Jewellery Shop,Jewelry store,Jewelry store,712612,West Bengal Circle,South Bengal Region,Hooghly North Division,"Kamarpukur SO, Mandaran BO, Paschimpara BO",+91 99329 43837,N/A,3.3,,"Jayrambati, Kamarpukur-Joyrambati Rd, near College, Kamarpukur, West Bengal 722161",712612,22.9115282,87.64923859999999,ChIJCywo9m8Z-DkRI3lb_wwMvGQ,https://www.google.com/maps/place/?q=place_id:ChIJCywo9m8Z-DkRI3lb_wwMvGQ,part_318,2026-09-20 20:33:14
রামকৃষ্ণ জুয়েলার্স,Silver Jewellery Shop,Jeweler,Jeweler,712612,West Bengal Circle,South Bengal Region,Hooghly North Division,"Kamarpukur SO, Mandaran BO, Paschimpara BO",+91 97328 77654,N/A,5.0,,"WM33+HG4, Bamnia - Indas Rd, Kamarpukur, West Bengal 712612",712612,22.9038804,87.6538233,ChIJJ_f42XYZ-DkRwc2Un8MQmUg,https://www.google.com/maps/place/?q=place_id:ChIJJ_f42XYZ-DkRwc2Un8MQmUg,part_318,2026-09-20 20:33:14
Deep jualars,Silver Jewellery Shop,Jewelry store,Jewelry store,712612,West Bengal Circle,South Bengal Region,Hooghly North Division,"Kamarpukur SO, Mandaran BO, Paschimpara BO",+91 97330 44111,N/A,,,"Kamarpukur, Madhubati, West Bengal 712612",712612,22.8939375,87.65956249999999,ChIJs8TYC78Z-DkR87k0A0arrmk,https://www.google.com/maps/place/?q=place_id:ChIJs8TYC78Z-DkR87k0A0arrmk,part_318,2026-09-20 20:33:14
Maa Mangalchandi Jewellery,Silver Jewellery Shop,Jewelry store,Jewelry store,712612,West Bengal Circle,South Bengal Region,Hooghly North Division,"Kamarpukur SO, Mandaran BO, Paschimpara BO",+91 91237 60833,N/A,,,"Lahabazar, Kamarpukur, West Bengal 712612",712612,22.907929,87.6528513,ChIJ33n8RJQZ-DkREiwL6eTU9Qs,https://www.google.com/maps/place/?q=place_id:ChIJ33n8RJQZ-DkREiwL6eTU9Qs,part_318,2026-09-20 20:33:14
