business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Kurban marble tiles Mistry,Tile and Marble Showroom,Store,Store,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 93320 75636,N/A,4.8,16.0,"Bairagi Bagan, Sitarampur, West Bengal 713359",Bairagi Bagan,23.7207725,86.8982905,ChIJv5bE5Wfh9jkRMAnJVlEWGmE,https://www.google.com/maps/place/?q=place_id:ChIJv5bE5Wfh9jkRMAnJVlEWGmE,part_320,2026-09-20 20:17:10,2620
Vinayak Marble And Tiles,Tile and Marble Showroom,Wholesaler,Wholesaler,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,4.9,35.0,"Grand Trunk Rd, Fatehpur, Asansol, West Bengal 713359",Fatehpur,23.7032563,86.92270789999999,ChIJn-7l0nMf9zkRXJSwjKJgiTw,https://www.google.com/maps/place/?q=place_id:ChIJn-7l0nMf9zkRXJSwjKJgiTw,part_320,2026-09-20 20:17:10,2621
Goutam tiles marble shop,Tile and Marble Showroom,Hardware store,Hardware store,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 62033 44058,N/A,5.0,1.0,"VXJ3+99F, Phutberiya, Jharkhand 815354",713335,23.8809479,86.95342839999999,ChIJa0AdSgAn9zkRWKTb8l-VaDE,https://www.google.com/maps/place/?q=place_id:ChIJa0AdSgAn9zkRWKTb8l-VaDE,part_320,2026-09-20 20:17:10,2622
Raja Marble And Tiles,Tile and Marble Showroom,Wholesaler,"Wholesaler, Marble supplier, Tile store",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 99338 99850,N/A,3.0,2.0,"Raja Marble And Tiles, Asansol Road, Gourangdi, West Bengal 713315",713335,23.8133734,86.97783179999999,ChIJ0QcvQswh9zkRgBvYalUpO6E,https://www.google.com/maps/place/?q=place_id:ChIJ0QcvQswh9zkRgBvYalUpO6E,part_320,2026-09-20 20:17:10,2623
Maa Padmabati Marble Tiles And Sanitary,Tile and Marble Showroom,Hardware store,Hardware store,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,5.0,3.0,"PVVH+98, B.R.Ghosal Colony, West Bengal 713359",B.R.Ghosal Colony,23.7434557,86.8782835,ChIJG-PPfQDf9jkRItgj3lcUTsE,https://www.google.com/maps/place/?q=place_id:ChIJG-PPfQDf9jkRItgj3lcUTsE,part_320,2026-09-20 20:17:10,2624
Shreenath Marble,Tile and Marble Showroom,Bathroom supply store,"Bathroom supply store, Home improvement store, Kitchen supply store, Shower door shop",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 80 3753 7784,https://dealers.artize.com/artize/asansol/GT-Road/artize-authorised-dealer-shreenath-marble-i-premium-bath-sanitaryware-shower-faucets-and-kitchen-mixer-taps-in-GT-Road-asansol--1Wzuvu/home,4.9,222.0,"chanda more, Gayatri Plaza, Shreenath Marble, Jamuria, NH 2, Grand Trunk Rd, below Sky Garden Veg Restaurant, Asansol, West Bengal 713339",713335,23.6667682,87.0489456,ChIJ3co9Yr4Z9zkRyR_ItJShBIo,https://www.google.com/maps/place/?q=place_id:ChIJ3co9Yr4Z9zkRyR_ItJShBIo,part_320,2026-09-20 20:17:10,2625
Bhaarat Tiles & Sanitary World,Tile and Marble Showroom,Tile store,Tile store,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,5.0,2.0,"Radha madhav app, more, Dabar, Rupnarayanpur, West Bengal 713386",713335,23.813985499999998,86.8860253,ChIJM-Qok2jf9jkRoq6urOpKRPQ,https://www.google.com/maps/place/?q=place_id:ChIJM-Qok2jf9jkRoq6urOpKRPQ,part_320,2026-09-20 20:17:10,2626
Builders Palace,Tile and Marble Showroom,Building materials supplier,Building materials supplier,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 62048 42973,N/A,4.7,17.0,"MAIN ROAD, KANGOI, Mihijam, Jharkhand 815354",KANGOI,23.844689199999998,86.8826606,ChIJAzo3v3fZ9jkRFCjhb-eVdQg,https://www.google.com/maps/place/?q=place_id:ChIJAzo3v3fZ9jkRFCjhb-eVdQg,part_320,2026-09-20 20:17:10,2627
Shree balaji tiles,Tile and Marble Showroom,Tile store,Tile store,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 98321 14691,N/A,3.9,43.0,"PV29+JC3, Radhanagar, Neamatpur, West Bengal 713360",713335,23.7015101,86.8685555,ChIJ070ojVvg9jkRCtS1i3UUOfU,https://www.google.com/maps/place/?q=place_id:ChIJ070ojVvg9jkRCtS1i3UUOfU,part_320,2026-09-20 20:17:11,2628
Rajasthan Marble,Tile and Marble Showroom,Marble supplier,"Marble supplier, Tile store",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 98838 89975,N/A,4.3,15.0,"Grand Trunk Rd, beside UCO Bank, Neamatpur, West Bengal 713359",713335,23.7191972,86.8742468,ChIJOx_Vz2_g9jkRT0L2sqWVh8w,https://www.google.com/maps/place/?q=place_id:ChIJOx_Vz2_g9jkRT0L2sqWVh8w,part_320,2026-09-20 20:17:11,2629
