business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Apollo Pharmacy Durgapur Station,24 Hour Pharmacy,Pharmacy,"Pharmacy, Drug store",713201,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur HO, Durgapur RS SO, Durgapur Rabindra Pally SO",+91 79 4281 4770,https://www.apollopharmacy.in/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-apollo-pharmacy,4.5,,"GR. Flr, No. 133/114, Station Rd, Industrial Area, Durgapur, West Bengal 713201",Industrial Area,23.496400899999998,87.320385,ChIJ3QYgpe1x9zkRYnolCPAosXg,https://www.google.com/maps/place/?q=place_id:ChIJ3QYgpe1x9zkRYnolCPAosXg,part_319,2026-09-20 20:26:01
Apollo Pharmacy Mamra Bazar,24 Hour Pharmacy,Pharmacy,Pharmacy,713201,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur HO, Durgapur RS SO, Durgapur Rabindra Pally SO",+91 79 4281 2820,https://www.apollopharmacy.in/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-apollo-pharmacy,4.2,,"Street No. 4, ABL Township, Mamra, Durgapur, West Bengal 713206","ABL Township, Mamra",23.531175299999997,87.3261768,ChIJkd8k5IBx9zkR3Ex93BSLl5U,https://www.google.com/maps/place/?q=place_id:ChIJkd8k5IBx9zkR3Ex93BSLl5U,part_319,2026-09-20 20:26:01
City Medical Hall,24 Hour Pharmacy,Pharmacy,Pharmacy,713201,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur HO, Durgapur RS SO, Durgapur Rabindra Pally SO",+91 81709 81522,N/A,3.8,,"21, JM Sengupta Rd, B-Zone, Durgapur, West Bengal 713205",B-Zone,23.572813,87.30243999999999,ChIJvWyCugpu9zkRLAxcNSBIj54,https://www.google.com/maps/place/?q=place_id:ChIJvWyCugpu9zkRLAxcNSBIj54,part_319,2026-09-20 20:26:01
Apollo Pharmacy Durgapur City Centre,24 Hour Pharmacy,Pharmacy,"Pharmacy, Drug store",713201,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur HO, Durgapur RS SO, Durgapur Rabindra Pally SO",+91 79 4256 9937,https://www.apollopharmacy.in/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-apollo-pharmacy,4.1,,"3, Nazrul Sarani, Doctor's Colony, City Center, Durgapur, West Bengal 713216","Doctor's Colony, City Center",23.5382496,87.30219439999999,ChIJwSztRGm7AjoRLO9Wf51M090,https://www.google.com/maps/place/?q=place_id:ChIJwSztRGm7AjoRLO9Wf51M090,part_319,2026-09-20 20:26:01
MedPlus Padma Pukur Durgapur,24 Hour Pharmacy,Pharmacy,Pharmacy,713201,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur HO, Durgapur RS SO, Durgapur Rabindra Pally SO",+91 78159 40209,https://www.medplusmart.com/,3.8,,"Ward no. 21, Holding No N/1, Padma Pukur, DGP-13, Durgapur, West Bengal 713213","Padma Pukur, DGP-13",23.5442341,87.2838192,ChIJ8acTOFRv9zkRq1ttEqc0V0A,https://www.google.com/maps/place/?q=place_id:ChIJ8acTOFRv9zkRq1ttEqc0V0A,part_319,2026-09-20 20:26:01
City Medical Stores,24 Hour Pharmacy,Pharmacy,Pharmacy,713201,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur HO, Durgapur RS SO, Durgapur Rabindra Pally SO",+91 96740 02766,N/A,3.8,,"CS 9, Red Cross Rd, Central Market, City Center, Durgapur, West Bengal 713216","Central Market, City Center",23.5370131,87.29662429999999,ChIJ9ZvUVxty9zkRmZmmsigvbPc,https://www.google.com/maps/place/?q=place_id:ChIJ9ZvUVxty9zkRmZmmsigvbPc,part_319,2026-09-20 20:26:01
Durgapur Medicine,24 Hour Pharmacy,Pharmacy,Pharmacy,713201,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur HO, Durgapur RS SO, Durgapur Rabindra Pally SO",+91 93825 99692,N/A,4.4,,"A/22, Abanindra Bithi, Non-Company Housing Estate, City Center, Durgapur, West Bengal 713216","Non-Company Housing Estate, City Center",23.542353799999997,87.30068109999999,ChIJ7QusQENx9zkRoJkcA5LChoU,https://www.google.com/maps/place/?q=place_id:ChIJ7QusQENx9zkRoJkcA5LChoU,part_319,2026-09-20 20:26:01
Healthworld Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,713201,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur HO, Durgapur RS SO, Durgapur Rabindra Pally SO",N/A,N/A,3.6,,"G7QQ+VPQ, Gandhi More, Michael Sarani, Bhiringi, Benachity, Durgapur, West Bengal 713216","Gandhi More, Michael Sarani, Bhiringi, Benachity",23.539719299999998,87.2893747,ChIJpbJuoalz9zkRJbrr9cyDZCs,https://www.google.com/maps/place/?q=place_id:ChIJpbJuoalz9zkRJbrr9cyDZCs,part_319,2026-09-20 20:26:01
E-Medicine World,24 Hour Pharmacy,Pharmacy,Pharmacy,713201,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur HO, Durgapur RS SO, Durgapur Rabindra Pally SO",+91 89000 00138,N/A,5.0,,"Complex, Shop no. 7 and 8, Shovapur, Mohunbagan Ave, B-Zone, Durgapur, West Bengal 713206",B-Zone,23.5698047,87.3362473,ChIJVRusVNBv9zkRC_rapHN2OgA,https://www.google.com/maps/place/?q=place_id:ChIJVRusVNBv9zkRC_rapHN2OgA,part_319,2026-09-20 20:26:01
NANDAN Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,713201,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur HO, Durgapur RS SO, Durgapur Rabindra Pally SO",+91 79086 27940,N/A,4.8,,"Nandan Pharmacy, Gurudwara Road, Michael Sarani, Benachity, Durgapur, West Bengal 713213","Michael Sarani, Benachity",23.5594988,87.2806815,ChIJo2chznxt9zkRFoCiLDHA-eI,https://www.google.com/maps/place/?q=place_id:ChIJo2chznxt9zkRFoCiLDHA-eI,part_319,2026-09-20 20:26:01
