business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Moris Media,Lead Generation Agencies,Public relations firm,"Public relations firm, Service establishment",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 80003 34444,https://morismedia.in/,4.9,,"Moris Media, 700127, India",700127,21.0680074,82.7525294,ChIJx96B38RCMQERfg0JnX6My5c,https://www.google.com/maps/place/?q=place_id:ChIJx96B38RCMQERfg0JnX6My5c,part_315,2026-09-20 20:17:35,5588
Dakshraj Enterprise - Kolkata's #1 Digital Marketing Agency,Lead Generation Agencies,Internet marketing service,"Internet marketing service, Design agency, Graphic designer, Marketing agency, Marketing consultant, Media Consultant, Public relations firm, Website designer",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 94777 76863,https://dakshraj.com/,4.6,21.0,"H No 14, BL 7, Kankinara, Jagatdal, Kolkata, Bhatpara, West Bengal 743126","Kankinara, Jagatdal",22.8620607,88.3975236,ChIJS2CDwsyW-DkRxuC7uiqL-PA,https://www.google.com/maps/place/?q=place_id:ChIJS2CDwsyW-DkRxuC7uiqL-PA,part_315,2026-09-20 20:17:36,5589
Carney Technologies Services - AI Powered Digital Marketing & IT Development Company,Lead Generation Agencies,Marketing agency,"Marketing agency, Computer support and services, Internet marketing service, Website designer",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 91632 98336,https://carneytechnologies.com/,4.5,53.0,"Karnani Estate, 209, AJC Bose Rd, opposite Kalamandir Bus Stop, Park Circus, Elgin, Kolkata, West Bengal 700017","Park Circus, Elgin",22.543592699999998,88.3605748,ChIJf4rAWRx3AjoR90WOQbGNcsY,https://www.google.com/maps/place/?q=place_id:ChIJf4rAWRx3AjoR90WOQbGNcsY,part_315,2026-09-20 20:17:37,5590
Rev n Grow,Lead Generation Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Service establishment, Marketing agency, Marketing consultant, Software company, Website designer",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 94320 95195,https://revngrow.com/,,,"Rev n Grow, 700127, India",700127,24.7363507,82.0505012,ChIJNV3u-l57tyMRT0BQ7Slsov4,https://www.google.com/maps/place/?q=place_id:ChIJNV3u-l57tyMRT0BQ7Slsov4,part_315,2026-09-20 20:17:37,5591
lead generation company,Lead Generation Agencies,Marketing consultant,Marketing consultant,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,N/A,,,"D 141, Baishnabghata Patuli Township, Baishnabghata Patuli Twp, Patuli, Kolkata, West Bengal 700094","Baishnabghata Patuli Township, Patuli",22.4722229,88.3850527,ChIJXevy4_1xAjoROx1IWJOxso8,https://www.google.com/maps/place/?q=place_id:ChIJXevy4_1xAjoROx1IWJOxso8,part_315,2026-09-20 20:17:37,5592
DIGIEDIA,Lead Generation Agencies,Marketing agency,Marketing agency,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 62900 02860,https://www.digiedia.com/,5.0,17.0,"Plot 1, RDB Boulevard, EP Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091","EP Block, Sector V, Bidhannagar",22.5687827,88.43304309999999,ChIJa7IRXcV1AjoRfhM43bAQDDE,https://www.google.com/maps/place/?q=place_id:ChIJa7IRXcV1AjoRfhM43bAQDDE,part_315,2026-09-20 20:17:37,5593
Kreate Edgee,Lead Generation Agencies,Marketing agency,"Marketing agency, Business management consultant, Business to business service, Internet marketing service, Marketing consultant",700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",N/A,https://kreateedgee.in/martech-agency-in-kolkata/?utm_source=google&utm_medium=organic&utm_campaign=gbp-barasat,,,"Sbgs Market, 7, KK Mitra Rd, nearby Punjab National Bank, Champadali, Banamalipur, Barasat, West Bengal 700124","Champadali, Banamalipur, Barasat",22.720896999999997,88.484729,ChIJqTss2BOj-DkR_X6174N7tBk,https://www.google.com/maps/place/?q=place_id:ChIJqTss2BOj-DkR_X6174N7tBk,part_315,2026-09-20 20:18:20,9159
Kriti sundar mondal,Lead Generation Agencies,Marketing agency,Marketing agency,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 74398 07255,http://digitalkriti.in/,5.0,2.0,"1 no, Barasat, Station Road, Katgola, niranjan nagar colony, Noapara, Kolkata, West Bengal 700125","Katgola, niranjan nagar colony, Noapara",22.7366647,88.4858801,ChIJweJnfQCj-DkRr-PujvLNP2o,https://www.google.com/maps/place/?q=place_id:ChIJweJnfQCj-DkRr-PujvLNP2o,part_315,2026-09-20 20:18:21,9160
"Brrandom - Digital Marketing, Branding & Creative Ad Agency",Lead Generation Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Branding agency, Graphic designer, Marketing agency, Website designer",700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 79807 07294,https://brrandom.com/,4.9,75.0,"Suit No. 1702, Aurora Waterfront, GN 34/1, GN Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091","GN Block, Sector V, Bidhannagar",22.5698079,88.42910909999999,ChIJ9S0855J1AjoRb48imbYsZVw,https://www.google.com/maps/place/?q=place_id:ChIJ9S0855J1AjoRb48imbYsZVw,part_315,2026-09-20 20:18:21,9161
Dneway,Lead Generation Agencies,Marketing agency,"Marketing agency, Service establishment",700129,West Bengal Circle,Kolkata Region,Barasat Division,"Madhyamgram SO, East Udayrajpur BO, Udayrajpur BO",+91 87774 38406,N/A,5.0,,"Dneway, 700129, India",700129,40.266869,-47.802320699999996,ChIJ-UzLpStXuQcR8YMNf0-TqeA,https://www.google.com/maps/place/?q=place_id:ChIJ-UzLpStXuQcR8YMNf0-TqeA,part_315,2026-09-20 20:19:07,11803
