business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Elgin Works,Businesses,Business management consultant,Business management consultant,700020,West Bengal Circle,Kolkata Region,South Kolkata Division,"LRSarani SO, AJCBose Road SO, Gokhel Road SO",+91 62890 10111,http://elginworks.com/,4.7,,"9, Elgin Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020","Sreepally, Bhowanipore",22.538109499999997,88.3521694,ChIJdUIQPD13AjoRtEltzu1-JYE,https://www.google.com/maps/place/?q=place_id:ChIJdUIQPD13AjoRtEltzu1-JYE,part_312,2026-09-20 20:50:30
Thore Network pvt ltd,Businesses,Software company,Software company,700020,West Bengal Circle,Kolkata Region,South Kolkata Division,"LRSarani SO, AJCBose Road SO, Gokhel Road SO",N/A,N/A,4.6,,"9, Elgin Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020","Sreepally, Bhowanipore",22.5380376,88.3521457,ChIJ_e1M5eR3AjoR5rzD6e6qUwg,https://www.google.com/maps/place/?q=place_id:ChIJ_e1M5eR3AjoR5rzD6e6qUwg,part_312,2026-09-20 20:50:30
Navketan,Businesses,Railroad equipment supplier,"Railroad equipment supplier, Railroad contractor",700020,West Bengal Circle,Kolkata Region,South Kolkata Division,"LRSarani SO, AJCBose Road SO, Gokhel Road SO",+91 98317 35356,http://www.navketan.in/,3.0,,"1, A J C Bose Road, Elgin Rd, Kolkata, West Bengal 700020","Sreepally, Bhowanipore",22.5378609,88.3506798,ChIJxUkuCD13AjoRwIINAnYqQbQ,https://www.google.com/maps/place/?q=place_id:ChIJxUkuCD13AjoRwIINAnYqQbQ,part_312,2026-09-20 20:50:30
"Garden Reach Ship Builders & Engineers Limited, Main Unit (GRSE)",Businesses,Shipbuilding and repair company,Shipbuilding and repair company,700020,West Bengal Circle,Kolkata Region,South Kolkata Division,"LRSarani SO, AJCBose Road SO, Gokhel Road SO",+91 33 2469 8100,http://www.grse.in/,4.5,,"43/46, Garden Reach Rd, Bichali Ghat, Rajabagan Dock Yard, Metiabruz, Kolkata, West Bengal 700024","Bichali Ghat, Rajabagan Dock Yard, Metiabruz",22.549533399999998,88.28409429999999,ChIJ7YpOZwh5AjoRpc2BSY04bbE,https://www.google.com/maps/place/?q=place_id:ChIJ7YpOZwh5AjoRpc2BSY04bbE,part_312,2026-09-20 20:50:30
Cryogenic Concern Pvt. Ltd.,Businesses,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,700020,West Bengal Circle,Kolkata Region,South Kolkata Division,"LRSarani SO, AJCBose Road SO, Gokhel Road SO",+91 98310 56035,http://www.cryoccpl.com/,4.1,,"2, Elgin Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020","Sreepally, Bhowanipore",22.537726,88.3535801,ChIJkzwpWHJ3AjoRD54ndyouT4Q,https://www.google.com/maps/place/?q=place_id:ChIJkzwpWHJ3AjoRD54ndyouT4Q,part_312,2026-09-20 20:50:30
Kolkata Dynamic Services Private Limited,Businesses,Labor union,Labor union,700020,West Bengal Circle,Kolkata Region,South Kolkata Division,"LRSarani SO, AJCBose Road SO, Gokhel Road SO",+91 91639 99844,https://kolkatadynamicservices.com/,3.8,,"5/1a Paddapukur Lane, Lajpat Rai Sarani, Lala Lajpat Rai Sarani, Lala Lajpat Rai Sarani, Kolkata, West Bengal 700020","Sreepally, Bhowanipore",22.5378609,88.3506798,ChIJxUkuCD13AjoRn281f3h4_OY,https://www.google.com/maps/place/?q=place_id:ChIJxUkuCD13AjoRn281f3h4_OY,part_312,2026-09-20 20:50:30
Ripley & Co. Stevedoring & Handling Pvt Ltd,Businesses,Shipping service,"Shipping service, Logistics service",700020,West Bengal Circle,Kolkata Region,South Kolkata Division,"LRSarani SO, AJCBose Road SO, Gokhel Road SO",+91 33 2289 3918,http://www.ripleygroup.co.in/,4.4,,"C Block, 1st Floor, Bhagyakul Mansion, 22, Lee Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020","Sreepally, Bhowanipore",22.5389251,88.3503175,ChIJe6yzIVN2AjoRgjYMAi6F3eY,https://www.google.com/maps/place/?q=place_id:ChIJe6yzIVN2AjoRgjYMAi6F3eY,part_312,2026-09-20 20:50:30
Plus Business Machines Limited,Businesses,Audio visual consultant,Audio visual consultant,700020,West Bengal Circle,Kolkata Region,South Kolkata Division,"LRSarani SO, AJCBose Road SO, Gokhel Road SO",+91 33 4004 7215,https://www.plus-india.com/,5.0,,"Bhawanipur Thana, 6E, Elgin Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020","Sreepally, Bhowanipore",22.5385459,88.352778,ChIJv1Q_ND13AjoR2cGBWra7HPY,https://www.google.com/maps/place/?q=place_id:ChIJv1Q_ND13AjoR2cGBWra7HPY,part_312,2026-09-20 20:50:30
Energy Development Company Limited,Businesses,Corporate office,Corporate office,700020,West Bengal Circle,Kolkata Region,South Kolkata Division,"LRSarani SO, AJCBose Road SO, Gokhel Road SO",+91 33 4041 1900,http://edclgroup.com/,4.5,,"EDCL House, 1A, Elgin Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020","Sreepally, Bhowanipore",22.5377121,88.35016069999999,ChIJA_1yuD13AjoRNcHwl83_VX4,https://www.google.com/maps/place/?q=place_id:ChIJA_1yuD13AjoRNcHwl83_VX4,part_312,2026-09-20 20:50:30
Allindia Technologies Limited,Businesses,Website designer,"Website designer, Web hosting company, Software company",700020,West Bengal Circle,Kolkata Region,South Kolkata Division,"LRSarani SO, AJCBose Road SO, Gokhel Road SO",+91 33 2475 4136,http://www.allindia.com/,4.2,55.0,"Aakashdeep Building, Ground, 5, Lower Rawdon St, Minto Park, Kolkata, West Bengal 700020","Minto Park, Bhowanipore",22.539212,88.35656469999999,ChIJvbC91Rh3AjoRn9hu-eGkKgk,https://www.google.com/maps/place/?q=place_id:ChIJvbC91Rh3AjoRn9hu-eGkKgk,part_312,2026-09-20 20:50:32
