business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Raddix | Spoken English for Cabin crew, Airhostess, Kolkata | Best Spoken English Institute in Kestopur, Kolkata",Spoken English Institute,English language school,"English language school, Coaching Center, Distance Learning Center, Educational institution, English language camp, Foreign languages program school, Image consultant, Language school, Studying center",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 90888 56540,https://raddix.in/,5.0,,"VIP, BC 18, Anurupa Pally Rd, near Deshapriya School, Rabindrapally, Kestopur, Kolkata, West Bengal 700101","Rabindrapally, Kestopur",22.6031034,88.4252688,ChIJze22qVd1AjoREvF3ZpJkG2c,https://www.google.com/maps/place/?q=place_id:ChIJze22qVd1AjoREvF3ZpJkG2c,part_312,2026-09-20 20:56:51
Winford School of English,Spoken English Institute,English language school,"English language school, Education center, English language camp",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 75629 33141,http://www.winfordschoolofenglish.com/,5.0,,"12, NC Mitra Rd, Gora Bazar, Rajbari, Dum Dum, Kolkata, West Bengal 700028","Gora Bazar, Rajbari, Dum Dum",22.6360979,88.41315999999999,ChIJR9kmSN-f-DkR956iRe_TvLo,https://www.google.com/maps/place/?q=place_id:ChIJR9kmSN-f-DkR956iRe_TvLo,part_312,2026-09-20 20:56:51
SkillFluent Academy,Spoken English Institute,English language school,English language school,700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 82406 65137,N/A,4.9,,"Chandsi Bhawan, 24 VIDYAPITH ROAD, MORE, Kolkata, West Bengal 700065","Balaka Natun Bazar, Manasipara, North Dumdum",22.639968399999997,88.4075368,ChIJ4dngz_if-DkRLNQMY7wXa_E,https://www.google.com/maps/place/?q=place_id:ChIJ4dngz_if-DkRLNQMY7wXa_E,part_312,2026-09-20 20:56:51
ENGLISH ACADEMY,Spoken English Institute,Educational institution,Educational institution,700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 94332 41342,N/A,5.0,,"248, PK Guha Rd, Kumarpara, Rajbari, Dum Dum, Kolkata, West Bengal 700028","Kumarpara, Rajbari, Dum Dum",22.6419562,88.4186592,ChIJdze1Yjad-DkRUmuXTcxBjjk,https://www.google.com/maps/place/?q=place_id:ChIJdze1Yjad-DkRUmuXTcxBjjk,part_312,2026-09-20 20:56:51
D. R. Willy's Spoken English,Spoken English Institute,English language school,"English language school, Coaching Center, Training center",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 90071 35857,N/A,5.0,,"Mafatlal Galli, Narayantola East, Ashwini Nagar, Baguiati, Kolkata, West Bengal 700159","Narayantola East, Ashwini Nagar, Baguiati",22.608632099999998,88.4288296,ChIJb_w8muh1AjoRihmV5eubqLQ,https://www.google.com/maps/place/?q=place_id:ChIJb_w8muh1AjoRihmV5eubqLQ,part_312,2026-09-20 20:56:51
Learning is fun,Spoken English Institute,Coaching Center,Coaching Center,700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 84200 55342,http://www.learningisfun.net.in/enquiry,4.9,,"251/1, Shrachi Garden, Nagendra Nath Rd, Satgachi, Kolkata, West Bengal 700028","Notun Pally, Satgachi",22.6197715,88.4156852,ChIJtbuiA9uf-DkRgtCHMB5mhJA,https://www.google.com/maps/place/?q=place_id:ChIJtbuiA9uf-DkRgtCHMB5mhJA,part_312,2026-09-20 20:56:51
BSL British School of Language,Spoken English Institute,English language school,English language school,700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 82400 12964,https://www.britishschooloflanguages.com/,4.9,,"221, Debinibas Rd, Ward Number 22, Amarpalli, Dum Dum, Kolkata, West Bengal 700074","Ward Number 22, Amarpalli, Dum Dum",22.6201817,88.4092737,ChIJRVQx95Kf-DkRNHq-EDj6x-0,https://www.google.com/maps/place/?q=place_id:ChIJRVQx95Kf-DkRNHq-EDj6x-0,part_312,2026-09-20 20:56:51
Sonu Ma'am's Classes,Spoken English Institute,Coaching Center,"Coaching Center, Education center, Educational institution, Training center",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",N/A,https://www.sonumaamclasses.com/,4.8,,"334/A, above Sharma Snacks, Block A, Lake Town, Kolkata, South Dumdum, West Bengal 700089","Block A, Lake Town",22.6037939,88.404404,ChIJ_bQV_PB1AjoRwgdVUrSEXnU,https://www.google.com/maps/place/?q=place_id:ChIJ_bQV_PB1AjoRwgdVUrSEXnU,part_312,2026-09-20 20:56:51
Lifestyle English,Spoken English Institute,English language school,"English language school, Life coach",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 99030 00479,http://www.facebook.com/lifestyleenglish,4.9,,"RN9/1, behind SpaceTown, North Raghunathpur, Arjunpur, Kaikhali, Kolkata, West Bengal 700080","North Raghunathpur, Arjunpur, Kaikhali",22.6272012,88.4277286,ChIJydU2Zuad-DkR_ttwuOCHutw,https://www.google.com/maps/place/?q=place_id:ChIJydU2Zuad-DkR_ttwuOCHutw,part_312,2026-09-20 20:56:51
ABHISHEK COACHING,Spoken English Institute,English language school,"English language school, Adult education school, Coaching Center, Education center, Foreign languages program school, French language school, German language school, Mathematics school, Private College, Yoga instructor",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 98360 14935,https://abhishekcoaching.com/,4.9,,"gate no 1, near Airport, International Airport, Dum Dum, Kolkata, West Bengal 700028","International Airport, Dum Dum",22.6437088,88.4325908,ChIJYfUrrUie-DkRHJVU-ghCxyc,https://www.google.com/maps/place/?q=place_id:ChIJYfUrrUie-DkRHJVU-ghCxyc,part_312,2026-09-20 20:56:51
Sowmen Mitter's English Tutorial Classes,Spoken English Institute,Coaching Center,"Coaching Center, Education center, English language camp, English language school, Private Tutor",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 98310 79708,N/A,4.9,77.0,"49, Sarat Bose Ln, Sarat Colony, Birati, Kolkata, North Dumdum, West Bengal 700081","Sarat Colony, Birati",22.6571796,88.4368927,ChIJTVUWHE2f-DkRy2sQBj4VP7c,https://www.google.com/maps/place/?q=place_id:ChIJTVUWHE2f-DkRy2sQBj4VP7c,part_312,2026-09-20 20:56:52
Advance Spoken English Class,Spoken English Institute,Education center,Education center,700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",N/A,N/A,5.0,,"Immanuel Mission School Narkelbagan Khelarmath Kadihati, Narayanpur, Kolkata, West Bengal 700052","Lichubagan, Narayanpur, Rajarhat",22.619266099999997,88.4357694,ChIJ6SHWqs6f-DkRPHb8Un2_vJI,https://www.google.com/maps/place/?q=place_id:ChIJ6SHWqs6f-DkRPHb8Un2_vJI,part_312,2026-09-20 20:56:53
