business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Low Price Stationary,Bookstore and Stationery Shop,Stationery store,"Stationery store, Grocery store",712410,West bengal circle,South Bengal Region,Hooghly South Division,"Ramnagar BO, Tarakeswar SO, Amarpur BO",+91 99324 38282,N/A,3.8,,"Road, Ramnagar, TARKESHWAR P, West Bengal 712410",712410,22.870480699999998,88.0175656,ChIJ_fRfRfNl-DkRLFRsmsFpPLk,https://www.google.com/maps/place/?q=place_id:ChIJ_fRfRfNl-DkRLFRsmsFpPLk,part_318,2026-09-20 20:19:46
Pori Collection - Books And Sports House (পরী কালেকশন),Bookstore and Stationery Shop,Book store,"Book store, Bag shop, Children's Book Store, Gift shop, Sporting goods store, Yoga studio",712410,West bengal circle,South Bengal Region,Hooghly South Division,"Ramnagar BO, Tarakeswar SO, Amarpur BO",+91 96814 84809,N/A,5.0,,"Jahangir Plaza, Gotan, Nizampur, West Bengal 712410",712410,22.968053299999998,87.9192549,ChIJfVotE4Br-DkR6TYUWqNuDfI,https://www.google.com/maps/place/?q=place_id:ChIJfVotE4Br-DkR6TYUWqNuDfI,part_318,2026-09-20 20:19:46
Taraknath Services and Students Corner,Bookstore and Stationery Shop,Stationery store,Stationery store,712410,West bengal circle,South Bengal Region,Hooghly South Division,"Ramnagar BO, Tarakeswar SO, Amarpur BO",+91 79085 80899,N/A,5.0,,"VILL - TAGRA, P.O -RAMNAGAR, P.S, TARAKESWAR, Tyagra, West Bengal 712410",712410,22.8512164,88.0414789,ChIJWzy5tEFl-DkRY_n2TPC1bY0,https://www.google.com/maps/place/?q=place_id:ChIJWzy5tEFl-DkRY_n2TPC1bY0,part_318,2026-09-20 20:19:46
"Vidyamandir (Book store),",Bookstore and Stationery Shop,Book store,Book store,712410,West bengal circle,South Bengal Region,Hooghly South Division,"Ramnagar BO, Tarakeswar SO, Amarpur BO",+91 98310 90456,N/A,4.5,,"Tarakeswar-Kanraria-Panchanantala Rd, Dihibatpur, West Bengal 712414",712410,22.891610099999998,87.9483119,ChIJ1YkLnBlv-DkRvN8CM8emtPI,https://www.google.com/maps/place/?q=place_id:ChIJ1YkLnBlv-DkRvN8CM8emtPI,part_318,2026-09-20 20:19:46
Signature Book Center,Bookstore and Stationery Shop,Book store,"Book store, Paper distributor",712410,West bengal circle,South Bengal Region,Hooghly South Division,"Ramnagar BO, Tarakeswar SO, Amarpur BO",+91 93329 86164,N/A,5.0,,"Dhaniakhali, champabere, khatal more, West Bengal 712302",712410,22.9648862,88.1056378,ChIJaytTPsBg-DkRAAAAMC19bxM,https://www.google.com/maps/place/?q=place_id:ChIJaytTPsBg-DkRAAAAMC19bxM,part_318,2026-09-20 20:19:46
Sarkar Book Agency,Bookstore and Stationery Shop,Book store,Book store,712410,West bengal circle,South Bengal Region,Hooghly South Division,"Ramnagar BO, Tarakeswar SO, Amarpur BO",+91 94345 62266,N/A,4.5,,"Near 19 no Rail Gate, Haripal, West Bengal 712405",712410,22.831255799999997,88.1143876,ChIJi1ybuyRj-DkRg1LTFJ8gFjA,https://www.google.com/maps/place/?q=place_id:ChIJi1ybuyRj-DkRg1LTFJ8gFjA,part_318,2026-09-20 20:19:46
Taraknath Pustakaloy,Bookstore and Stationery Shop,Book store,Book store,712410,West bengal circle,South Bengal Region,Hooghly South Division,"Ramnagar BO, Tarakeswar SO, Amarpur BO",+91 99329 07357,N/A,3.8,,"Memari, Tarakeswar Rd, Tarkeshwar, West Bengal 712410",712410,22.8858352,88.009435,ChIJq6qqqvdl-DkR3T7EDkALcfo,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqvdl-DkR3T7EDkALcfo,part_318,2026-09-20 20:19:46
IchhePuron - Online Store,Bookstore and Stationery Shop,Stationery store,Stationery store,712410,West bengal circle,South Bengal Region,Hooghly South Division,"Ramnagar BO, Tarakeswar SO, Amarpur BO",+91 93324 34238,https://ichhepuron.in/,,,"Mallick Bari, near Mollapara Masjid, Jamdara, Tarakeswar, West Bengal 712410",712410,22.9612597,87.9832813,ChIJG2xQgppp-DkRlxZuzTEGnMA,https://www.google.com/maps/place/?q=place_id:ChIJG2xQgppp-DkRlxZuzTEGnMA,part_318,2026-09-20 20:19:46
NilKantha Paper & Stationers,Bookstore and Stationery Shop,Stationery store,Stationery store,712410,West bengal circle,South Bengal Region,Hooghly South Division,"Ramnagar BO, Tarakeswar SO, Amarpur BO",+91 76028 03212,N/A,,,"5, Tarkeshwar, Kolkata, West Bengal 712410",Saradapally,22.8786554,88.01429399999999,ChIJq6qqqvdl-DkRtqOYAhQLtK0,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqvdl-DkRtqOYAhQLtK0,part_318,2026-09-20 20:19:46
Buroraj Pustakalaya,Bookstore and Stationery Shop,Book store,Book store,712410,West bengal circle,South Bengal Region,Hooghly South Division,"Ramnagar BO, Tarakeswar SO, Amarpur BO",N/A,N/A,4.2,,"dutta center, 31, Bardhaman, West Bengal 713101",Khosbagan,23.2397666,87.8673498,ChIJh5viqsVJ-DkRiU1a0DdrIxw,https://www.google.com/maps/place/?q=place_id:ChIJh5viqsVJ-DkRiU1a0DdrIxw,part_318,2026-09-20 20:19:47
Annapurna Paper House,Bookstore and Stationery Shop,Stationery store,Stationery store,712410,West bengal circle,South Bengal Region,Hooghly South Division,"Ramnagar BO, Tarakeswar SO, Amarpur BO",+91 96358 08867,N/A,4.5,,"VQGQ+VJ7, Arambag, West Bengal 712601",712410,22.87715,87.7890589,ChIJ-2kAzj0T-DkRwYlnUuzWFqY,https://www.google.com/maps/place/?q=place_id:ChIJ-2kAzj0T-DkRwYlnUuzWFqY,part_318,2026-09-20 20:19:47
S G BOOKS,Bookstore and Stationery Shop,Book store,"Book store, School supply store",712410,West bengal circle,South Bengal Region,Hooghly South Division,"Ramnagar BO, Tarakeswar SO, Amarpur BO",+91 94341 87879,N/A,4.0,,"BC Rd, opposite of Congress Office, Khosbagan, Bardhaman, West Bengal 713101",Khosbagan,23.2409419,87.8612917,ChIJg8AOxdtJ-DkRiW9IsqqGfj8,https://www.google.com/maps/place/?q=place_id:ChIJg8AOxdtJ-DkRiW9IsqqGfj8,part_318,2026-09-20 20:19:47
Vijay Book Seller,Bookstore and Stationery Shop,Book store,Book store,712410,West bengal circle,South Bengal Region,Hooghly South Division,"Ramnagar BO, Tarakeswar SO, Amarpur BO",+91 94191 11955,N/A,4.5,,"Unnamed Road, 181102",712410,32.6086731,74.7317139,ChIJX7PjuVGRHjkRyM0stdngAIg,https://www.google.com/maps/place/?q=place_id:ChIJX7PjuVGRHjkRyM0stdngAIg,part_318,2026-09-20 20:19:47
