business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Suparna Tiffin Corner,Tiffin Center and Mess,Tiffin center,Tiffin center,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",N/A,N/A,4.8,305.0,"6RXX+85V Bidhan Statue, Golapbag, Tarabagh Rd, Tarabagh Officers Colony, Bardhaman University, Bardhaman, West Bengal 713104","Tarabagh Officers Colony, Bardhaman University",23.2482859,87.8477381,ChIJB6KOWQc3-DkRSJGfPhRklvE,https://www.google.com/maps/place/?q=place_id:ChIJB6KOWQc3-DkRSJGfPhRklvE,part_319,2026-09-20 20:16:55,492
Manika Tiffin Stall,Tiffin Center and Mess,Tiffin Service Provider,"Tiffin Service Provider, Bengali restaurant",713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",N/A,N/A,4.2,30.0,"Sarat Pally Lane, Meghnad Saha Pally, Golapbag North, Khagragorh, Bardhaman, West Bengal 713104","Meghnad Saha Pally, Golapbag North, Khagragorh",23.2604713,87.8499403,ChIJm78oVRs2-DkRsRRXwSVOijY,https://www.google.com/maps/place/?q=place_id:ChIJm78oVRs2-DkRsRRXwSVOijY,part_319,2026-09-20 20:16:55,493
Jaggiya South Indian Tiffin Centre,Tiffin Center and Mess,South Indian restaurant,South Indian restaurant,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 79817 89381,N/A,4.5,,"Bazar, near mahakali high school, opposite Rabitirthapally, Budbud, West Bengal 713403",713142,23.4025842,87.5450508,ChIJr2LCpB_V-TkRWL5xojOSaSk,https://www.google.com/maps/place/?q=place_id:ChIJr2LCpB_V-TkRWL5xojOSaSk,part_319,2026-09-20 20:16:55,494
S R S TIFFIN CORNER,Tiffin Center and Mess,Fast food restaurant,Fast food restaurant,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 93827 57363,https://sites.google.com/view/srstiffincorner/home,5.0,,"9P5J RCX Joykrishnapur, Purba Para, Galsi, Jaykrishnapur, West Bengal 713406",Purba Para,23.3591491,87.7308237,ChIJYyskE98z-DkRw0czwnYU5rQ,https://www.google.com/maps/place/?q=place_id:ChIJYyskE98z-DkRw0czwnYU5rQ,part_319,2026-09-20 20:16:55,495
Jyoti mess,Tiffin Center and Mess,Student dormitory,Student dormitory,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",N/A,N/A,3.7,,"Amtala road, 713104, Saraitikar, West Bengal 713104",Khagragorh,23.2644998,87.8473435,ChIJTRHoswU2-DkR8rcGnoIRsr4,https://www.google.com/maps/place/?q=place_id:ChIJTRHoswU2-DkR8rcGnoIRsr4,part_319,2026-09-20 20:16:55,496
Anandinir hensel. আনন্দীনীর হেঁসেল,Tiffin Center and Mess,Restaurant,Restaurant,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 97756 88999,N/A,4.2,,"Hospital Approch Rd, Shyamlal Colony, Khosbagan, Bardhaman, West Bengal 713103","Shyamlal Colony, Khosbagan",23.243204499999997,87.85757679999999,ChIJVaHALkxJ-DkRQVP9lG_TMSk,https://www.google.com/maps/place/?q=place_id:ChIJVaHALkxJ-DkRQVP9lG_TMSk,part_319,2026-09-20 20:16:55,497
Manabodh Das Mess,Tiffin Center and Mess,Hotel,Hotel,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",N/A,N/A,3.6,,"7V22+4GR, Baburbag, Bardhaman, West Bengal 713104",Baburbag,23.250353,87.8512554,ChIJlS4uPh82-DkRM_jf-vJ_1-0,https://www.google.com/maps/place/?q=place_id:ChIJlS4uPh82-DkRM_jf-vJ_1-0,part_319,2026-09-20 20:16:55,498
Mitra Mess,Tiffin Center and Mess,Hotel,Hotel,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",N/A,N/A,3.1,,"6VV2+C46, Khosbagan, Bardhaman, West Bengal 713104",Khosbagan,23.2435254,87.8502807,ChIJN2SfWSE2-DkRzeKEx0VMBes,https://www.google.com/maps/place/?q=place_id:ChIJN2SfWSE2-DkRzeKEx0VMBes,part_319,2026-09-20 20:16:55,499
Central Canteen(B.U.),Tiffin Center and Mess,Cafeteria,"Cafeteria, Indian restaurant",713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",N/A,N/A,4.0,,"7R3X+93X, Bardhaman University, Bardhaman, West Bengal 713104",Bardhaman University,23.2534816,87.8477365,ChIJOcxkdhk2-DkRJrCd7JzwcCw,https://www.google.com/maps/place/?q=place_id:ChIJOcxkdhk2-DkRJrCd7JzwcCw,part_319,2026-09-20 20:16:55,500
Aahar Home Delivery Services,Tiffin Center and Mess,Hotel,Hotel,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 92334 43463,https://aahar-home-delivery-services.ueniweb.com/,3.7,,"RAILPAR, SARADAPALLY, Panagarh Bazar, BURDWAN, Kanksa, West Bengal 713148",Panagarh Bazar,23.4443709,87.4523947,ChIJH8XA6K959zkR-A7TZKQqRvg,https://www.google.com/maps/place/?q=place_id:ChIJH8XA6K959zkR-A7TZKQqRvg,part_319,2026-09-20 20:16:55,501
