business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shree Khadi Bhandar,Handloom and Khadi Store,Clothing store,Clothing store,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 89613 39312,N/A,5.0,3.0,"Railway Station, 552, GT Rd S, Naora, Kadam Tala, Howrah, West Bengal 711102","Naora, Kadam Tala",22.5669124,88.31527899999999,ChIJu-L6mjd3AjoRiOSxe2Daii0,https://www.google.com/maps/place/?q=place_id:ChIJu-L6mjd3AjoRiOSxe2Daii0,part_316,2026-09-20 20:17:40
Khadi Gramodyog Bhavan,Handloom and Khadi Store,Clothing store,Clothing store,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 98307 06023,https://www.facebook.com/khadicollegestreet/,4.5,,"57B, College Street, More, College Street, Kolkata, West Bengal 700073","College Street Bata, College Row, College Street",22.57759,88.364571,ChIJq3ZCEk12AjoR672r-gHSQZE,https://www.google.com/maps/place/?q=place_id:ChIJq3ZCEk12AjoR672r-gHSQZE,part_316,2026-09-20 20:17:41
Khadi Bhawan,Handloom and Khadi Store,Clothing store,Clothing store,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 33 2268 5580,N/A,4.1,,"145, Mahatma Gandhi Rd, Block C, Bara Bazar, Jorasanko, Kolkata, West Bengal 700007","Block C, Bara Bazar, Jorasanko",22.5792529,88.359203,ChIJOYIHtrN3AjoRRk9GKl-xbN4,https://www.google.com/maps/place/?q=place_id:ChIJOYIHtrN3AjoRRk9GKl-xbN4,part_316,2026-09-20 20:17:41
BALARAM SAHA Handloom saree Store,Handloom and Khadi Store,Saree Shop,"Saree Shop, Clothing store, Wholesaler",711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 89107 16724,https://www.balaramsaha.com/,4.3,,"1st Floor, Gariahat Rd, Falguni Sangha, Ekdalia, Ballygunge, Kolkata, West Bengal 700019","Falguni Sangha, Ekdalia, Ballygunge",22.5219849,88.3654208,ChIJb8b7K9R2AjoRnlbAiTAIpoo,https://www.google.com/maps/place/?q=place_id:ChIJb8b7K9R2AjoRnlbAiTAIpoo,part_316,2026-09-20 20:17:41
Khadi Gramodyog Bhavan,Handloom and Khadi Store,Clothing store,"Clothing store, Craft store",711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 33 2423 7582,http://www.khadigramodyogbhavanreshmi.com/,4.1,,"shop no G, Dakshinapan Shopping Complex, 95 to G-97, Gariahat Rd S, Dhakuria, Jodhpur Park, Kolkata, West Bengal 700068","Dhakuria, Jodhpur Park",22.508829199999997,88.3664618,ChIJFUIKQClxAjoRYjE0mwrp3Ak,https://www.google.com/maps/place/?q=place_id:ChIJFUIKQClxAjoRYjE0mwrp3Ak,part_316,2026-09-20 20:17:41
Handloom Home,Handloom and Khadi Store,Clothing store,Clothing store,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 98303 62268,N/A,4.3,,"138, GT Rd, Kotrung, Konnagar, Uttarpara, West Bengal 712258","Kotrung, Konnagar",22.6604308,88.34968169999999,ChIJyekFgR6d-DkRArM6le2cAiM,https://www.google.com/maps/place/?q=place_id:ChIJyekFgR6d-DkRArM6le2cAiM,part_316,2026-09-20 20:17:41
Maa Basanti Handicraft,Handloom and Khadi Store,Gift shop,Gift shop,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",N/A,N/A,5.0,,"71/4, Tantipara Ln, Chakra Beriya, Shibpur, Howrah, West Bengal 711104","Chakra Beriya, Shibpur",22.580897399999998,88.3118884,ChIJbxKgGgB5AjoR4DWbxXAnwiI,https://www.google.com/maps/place/?q=place_id:ChIJbxKgGgB5AjoR4DWbxXAnwiI,part_316,2026-09-20 20:17:41
Bharatiya Khadi Bhavan,Handloom and Khadi Store,Men's clothing store,Men's clothing store,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 98306 10115,N/A,3.5,,"Dakshinapan mall, Dhakuria, Kolkata, West Bengal 700068","Dhakuria, Jodhpur Park",22.5087449,88.3667335,ChIJxwTUPilxAjoRSwljuk6qE00,https://www.google.com/maps/place/?q=place_id:ChIJxwTUPilxAjoRSwljuk6qE00,part_316,2026-09-20 20:17:41
Khadi Silk Emporium,Handloom and Khadi Store,Clothing store,Clothing store,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 94332 45612,https://khadigramodyog.com/,4.4,,"Shop No:- G-95 To 97, CIT Complex, Dakshinapan, Market, Dhakuria, Kolkata, West Bengal 700068","Dhakuria, Jodhpur Park",22.5089583,88.36678189999999,ChIJkw8wRylxAjoRSdfbxubqLoE,https://www.google.com/maps/place/?q=place_id:ChIJkw8wRylxAjoRSdfbxubqLoE,part_316,2026-09-20 20:17:41
Khadi Gramodyog Bhavan,Handloom and Khadi Store,Clothing store,Clothing store,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 95647 41958,N/A,3.9,,"355, Jessore Rd, B L D Bagan, Ramgarh, Dum Dum, Kolkata, West Bengal 700074","B L D Bagan, Ramgarh, Dum Dum",22.6223621,88.41396,ChIJVetIvRye-DkRcBtyCUkQQs4,https://www.google.com/maps/place/?q=place_id:ChIJVetIvRye-DkRcBtyCUkQQs4,part_316,2026-09-20 20:17:41
