business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Decormind,Interior Designers,Interior designer,Interior designer,700023,West Bengal Circle,Kolkata Region,Alipore H.O Division,"Raja J.N.Market S.O, Khiddirpore SO, Watgunge SO",+91 90513 65052,https://decormind.in/,5.0,10.0,"13/H/47, Braunfeld Row, Mominpore, Kolkata, West Bengal 700027",Mominpore,22.526228099999997,88.3229827,ChIJe_yuPot5AjoRTdVW_IJLkBk,https://www.google.com/maps/place/?q=place_id:ChIJe_yuPot5AjoRTdVW_IJLkBk,part_312,2026-09-20 20:52:38
LIFESTYLE INTERIOR,Interior Designers,Interior designer,Interior designer,700023,West Bengal Circle,Kolkata Region,Alipore H.O Division,"Raja J.N.Market S.O, Khiddirpore SO, Watgunge SO",+91 98311 17458,N/A,4.6,14.0,"1, Ekbalpore Ln, Ekbalpur, Kidderpore, Kolkata, West Bengal 700023","Ekbalpur, Kidderpore",22.5326944,88.3208843,ChIJcfMXTV93AjoR_wn6r-eg2L8,https://www.google.com/maps/place/?q=place_id:ChIJcfMXTV93AjoR_wn6r-eg2L8,part_312,2026-09-20 20:52:38
Glorious Enterprise,Interior Designers,Interior designer,Interior designer,700023,West Bengal Circle,Kolkata Region,Alipore H.O Division,"Raja J.N.Market S.O, Khiddirpore SO, Watgunge SO",+91 93302 35205,N/A,5.0,6.0,"4b, Dalu Sarkar Ln, Mominpore, Kolkata, West Bengal 700023",Mominpore,22.5266079,88.32221609999999,ChIJbbsFD9R5AjoR1aMejstv9AI,https://www.google.com/maps/place/?q=place_id:ChIJbbsFD9R5AjoR1aMejstv9AI,part_312,2026-09-20 20:52:38
Humara Interior,Interior Designers,Interior designer,"Interior designer, Kitchen furniture store, Modular home builder",700023,West Bengal Circle,Kolkata Region,Alipore H.O Division,"Raja J.N.Market S.O, Khiddirpore SO, Watgunge SO",+91 79805 81470,https://sites.google.com/view/humara-interior/home,5.0,32.0,"13/H, 48, Braunfeld Row, Mominpore, Kolkata, West Bengal 700027",Mominpore,22.5282411,88.3231773,ChIJn7rOhg15AjoR3T1AgTGjhKA,https://www.google.com/maps/place/?q=place_id:ChIJn7rOhg15AjoR3T1AgTGjhKA,part_312,2026-09-20 20:52:38
Aleezarq interiors and windows,Interior Designers,Interior designer,"Interior designer, Aluminum frames supplier, Aluminum window, Demolition contractor, Door shop, Lighting contractor, Modular home dealer, PVC windows supplier, Wallpaper installer, Window installation service",700023,West Bengal Circle,Kolkata Region,Alipore H.O Division,"Raja J.N.Market S.O, Khiddirpore SO, Watgunge SO",+91 81002 99908,https://www.smartbiz.in/ALEEZARQINTERIORSANDWINDOWS,5.0,2.0,"Mominpore Rd, Choti Bazar, Naptani Bagan, Mominpore, Kolkata, West Bengal 700023","Choti Bazar, Naptani Bagan, Mominpore",22.5319076,88.3222389,ChIJ7zYMrxt5AjoRyY2OF71yxgk,https://www.google.com/maps/place/?q=place_id:ChIJ7zYMrxt5AjoRyY2OF71yxgk,part_312,2026-09-20 20:52:38
Finite Spaces Interior Design,Interior Designers,Interior designer,"Interior designer, Architect, Civil engineer, Interior Decorator, Interior fitting contractor",700023,West Bengal Circle,Kolkata Region,Alipore H.O Division,"Raja J.N.Market S.O, Khiddirpore SO, Watgunge SO",+91 99039 99575,http://www.finitespaces.in/,4.8,32.0,"56, Pratapaditya Rd, Sahanagar, Kalighat, Kolkata, West Bengal 700026","Sahanagar, Kalighat",22.5162707,88.3415363,ChIJk7Ezw_dxAjoRGzvq1R6kBRI,https://www.google.com/maps/place/?q=place_id:ChIJk7Ezw_dxAjoRGzvq1R6kBRI,part_312,2026-09-20 20:52:38
"SHADOW SPACE - Home, Office best Interior Designer In Kolkata, india",Interior Designers,Interior designer,"Interior designer, Architectural designer",700023,West Bengal Circle,Kolkata Region,Alipore H.O Division,"Raja J.N.Market S.O, Khiddirpore SO, Watgunge SO",+91 62915 10960,https://sites.google.com/view/shadowspacein,4.7,3.0,"Karl Marx Sarani, Babu Bazar, Kidderpore, Kolkata, West Bengal 700023","Karl Marx Sarani, Babu Bazar, Kidderpore",22.5373548,88.3181237,ChIJkXUFbRh5AjoR2eIeWjhNENg,https://www.google.com/maps/place/?q=place_id:ChIJkXUFbRh5AjoR2eIeWjhNENg,part_312,2026-09-20 20:52:38
Design lines,Interior Designers,Interior designer,"Interior designer, Carpenter, Furniture store, Interior architect office, Interior Decorator, Kitchen remodeler",700023,West Bengal Circle,Kolkata Region,Alipore H.O Division,"Raja J.N.Market S.O, Khiddirpore SO, Watgunge SO",+91 85828 34341,https://www.designlinesindia.com/,4.8,18.0,"19/B, Chetla Hat Rd, Chetla, Kolkata, West Bengal 700027",Chetla,22.5200537,88.3368753,ChIJrTaidU53AjoRxAQF7YmJHCs,https://www.google.com/maps/place/?q=place_id:ChIJrTaidU53AjoRxAQF7YmJHCs,part_312,2026-09-20 20:52:38
All in one - Home Solution,Interior Designers,Interior designer,Interior designer,700023,West Bengal Circle,Kolkata Region,Alipore H.O Division,"Raja J.N.Market S.O, Khiddirpore SO, Watgunge SO",N/A,N/A,,,"Hossain Shah Rd, Mominpore, Kolkata, West Bengal 700023",Mominpore,22.5264006,88.3201806,ChIJYy-AZH15AjoR6UiwcKaajCs,https://www.google.com/maps/place/?q=place_id:ChIJYy-AZH15AjoR6UiwcKaajCs,part_312,2026-09-20 20:52:38
Qadri Wallpapers,Interior Designers,Interior designer,Interior designer,700023,West Bengal Circle,Kolkata Region,Alipore H.O Division,"Raja J.N.Market S.O, Khiddirpore SO, Watgunge SO",+91 90072 87567,N/A,5.0,1.0,"17a, Moulana Mohammed Ali Rd, Babu Bazar, Kidderpore, Kolkata, West Bengal 700023","Babu Bazar, Kidderpore",22.536977,88.32114109999999,ChIJu-hhMNF5AjoRZEKcuo6zff8,https://www.google.com/maps/place/?q=place_id:ChIJu-hhMNF5AjoRZEKcuo6zff8,part_312,2026-09-20 20:52:38
