business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Welding Technocrats,Welding and Lathe Works,Industrial consultant,Industrial consultant,712203,West Bengal Circle,South Bengal Region,Hooghly South Division,"Mallickpara SO, Simla BO, Bahirserampore BO",N/A,N/A,4.5,6.0,"Unnamed Road, Durgapur, Bally, Howrah, West Bengal 711205","Durgapur, Bally",22.65954,88.3197852,ChIJnV1PtRaD-DkRYyverP47mWs,https://www.google.com/maps/place/?q=place_id:ChIJnV1PtRaD-DkRYyverP47mWs,part_317,2026-09-20 20:30:03
PRITAM DUTTA WELDING MACHINE SERVICE & REPAIRING,Welding and Lathe Works,Machine repair service,Machine repair service,712203,West Bengal Circle,South Bengal Region,Hooghly South Division,"Mallickpara SO, Simla BO, Bahirserampore BO",+91 72787 40251,N/A,5.0,,"Jagadispur road, Baghpara, Domjur, Howrah, Uttar Jhapardaha, West Bengal 711405","Baghpara, Domjur",22.6373279,88.2279933,ChIJt2S8bVOB-DkRtFHWwFPyq5k,https://www.google.com/maps/place/?q=place_id:ChIJt2S8bVOB-DkRtFHWwFPyq5k,part_317,2026-09-20 20:30:04
Maa Engineering Work Shop,Welding and Lathe Works,Welding supply store,Welding supply store,712203,West Bengal Circle,South Bengal Region,Hooghly South Division,"Mallickpara SO, Simla BO, Bahirserampore BO",N/A,N/A,5.0,,"6RQ4+MH8, Chak Sridhar, West Bengal 733103",712203,25.239162699999998,88.8064557,ChIJKcUfrUmf_DkRKNdSWV452Iw,https://www.google.com/maps/place/?q=place_id:ChIJKcUfrUmf_DkRKNdSWV452Iw,part_317,2026-09-20 20:30:04
chandan engineering works,Welding and Lathe Works,Machine workshop,"Machine workshop, Machine repair service, Road construction machine repair service, Welder",712203,West Bengal Circle,South Bengal Region,Hooghly South Division,"Mallickpara SO, Simla BO, Bahirserampore BO",+91 99328 16580,N/A,5.0,,"Pranami Mandir Rd, Ward 10, Siliguri, West Bengal 734001",Ward 10,26.726392999999998,88.434085,ChIJDc0dJhBB5DkRPEmXbQlFEbs,https://www.google.com/maps/place/?q=place_id:ChIJDc0dJhBB5DkRPEmXbQlFEbs,part_317,2026-09-20 20:30:04
Weld Equipment Developement Co. Pvt. Ltd.,Welding and Lathe Works,Corporate office,Corporate office,712203,West Bengal Circle,South Bengal Region,Hooghly South Division,"Mallickpara SO, Simla BO, Bahirserampore BO",+91 33 2654 6362,N/A,3.9,,"Asshutosh 711202, 5/9, Asutosh Mukherjee Ln, Belur Math, Mali Panchghara, Howrah, West Bengal 711202","Belur Math, Belur, Mali Panchghara",22.6227979,88.36072399999999,ChIJO8IULnid-DkRBh-3HgdajvA,https://www.google.com/maps/place/?q=place_id:ChIJO8IULnid-DkRBh-3HgdajvA,part_317,2026-09-20 20:30:04
Mondal engineering work,Welding and Lathe Works,Machine workshop,Machine workshop,712203,West Bengal Circle,South Bengal Region,Hooghly South Division,"Mallickpara SO, Simla BO, Bahirserampore BO",N/A,N/A,5.0,,"Harirampur, West Bengal 733125",Harirampur,25.3788968,88.2625331,ChIJCYGDM8ol-zkREQZQQ2oTYTc,https://www.google.com/maps/place/?q=place_id:ChIJCYGDM8ol-zkREQZQQ2oTYTc,part_317,2026-09-20 20:30:04
Biswakarma Engineering Work Shop,Welding and Lathe Works,Machine repair service,"Machine repair service, Electrical repair shop, Refrigerator repair service",712203,West Bengal Circle,South Bengal Region,Hooghly South Division,"Mallickpara SO, Simla BO, Bahirserampore BO",N/A,N/A,5.0,,"Kurseong, West Bengal 734203",712203,26.8769888,88.2773258,ChIJa9nNwdA35DkRkLVrza9PvgA,https://www.google.com/maps/place/?q=place_id:ChIJa9nNwdA35DkRkLVrza9PvgA,part_317,2026-09-20 20:30:04
Techweld Industries Unit I,Welding and Lathe Works,Manufacturer,Manufacturer,712203,West Bengal Circle,South Bengal Region,Hooghly South Division,"Mallickpara SO, Simla BO, Bahirserampore BO",+91 98206 60450,https://www.techweld.in/,5.0,,"7, Dhanwantsingh Industrial Estate, Datta Mandir Rd, Bhandup West, Mumbai, Maharashtra 400078","Nahur West, Industrial Area, Bhandup West",19.1534706,72.94150479999999,ChIJP5iB16S55zsRw1f2hT41iKc,https://www.google.com/maps/place/?q=place_id:ChIJP5iB16S55zsRw1f2hT41iKc,part_317,2026-09-20 20:30:05
Leth and welding work,Welding and Lathe Works,Machine workshop,Machine workshop,712203,West Bengal Circle,South Bengal Region,Hooghly South Division,"Mallickpara SO, Simla BO, Bahirserampore BO",N/A,N/A,,,"2933+657, Bordehi, Najarpur, Madhya Pradesh 460554",712203,22.0030276,78.3529326,ChIJh0pyqteT1TsRTSjTIueQLug,https://www.google.com/maps/place/?q=place_id:ChIJh0pyqteT1TsRTSjTIueQLug,part_317,2026-09-20 20:30:05
K N Machine Tools Private Limited,Welding and Lathe Works,Machine knife supplier,Machine knife supplier,712203,West Bengal Circle,South Bengal Region,Hooghly South Division,"Mallickpara SO, Simla BO, Bahirserampore BO",+91 80 4580 2412,http://www.knmachinetools.com/contact-us.html,4.5,4.0,"13-b, Bidhan Sarani Rd, Simla, Machuabazar, Kolkata, West Bengal 700006","Simla, Machuabazar",22.582444,88.36654999999999,ChIJFRz_x09xAjoRaB3D0g6UtWs,https://www.google.com/maps/place/?q=place_id:ChIJFRz_x09xAjoRaB3D0g6UtWs,part_317,2026-09-20 20:30:06
