business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
WASIM AUTO GARAGE,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",+91 70741 12932,N/A,4.7,11.0,"Azad Nagar Rd, Masjid Colony, Hamid Nagar, Asansol, West Bengal 713301","Masjid Colony, Hamid Nagar",23.6660944,86.9597762,ChIJ36L9suse9zkRGu5DXNhgiW4,https://www.google.com/maps/place/?q=place_id:ChIJ36L9suse9zkRGu5DXNhgiW4,part_319,2026-09-20 20:36:50
Guddu car ac sales nd service center,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",+91 96419 45001,N/A,4.8,17.0,"26, Grand Trunk Rd, More, Asansol, West Bengal 713301",More,23.683232999999998,86.982925,ChIJyQWmJ20Z9zkRkqRkXE6iKnE,https://www.google.com/maps/place/?q=place_id:ChIJyQWmJ20Z9zkRkqRkXE6iKnE,part_319,2026-09-20 20:36:50
Imtiyaz automobile repairing,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Auto restoration service",713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",+91 93331 32127,N/A,3.0,5.0,"Asansol - Chittaranjan Rd, Ushagram, Asansol, West Bengal 713303",Ushagram,23.680762599999998,86.99164999999999,ChIJU-SW1OUZ9zkRQtAGOI_vCR0,https://www.google.com/maps/place/?q=place_id:ChIJU-SW1OUZ9zkRQtAGOI_vCR0,part_319,2026-09-20 20:36:50
AMIT AUTO Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",N/A,N/A,,,"MXG5+P3M, Kalajharia Rd, Hamid Nagar, Asansol, West Bengal 713301",Hamid Nagar,23.6768409,86.95768009999999,ChIJXfB6fuYe9zkR2mGOi4jedIs,https://www.google.com/maps/place/?q=place_id:ChIJXfB6fuYe9zkR2mGOi4jedIs,part_319,2026-09-20 20:36:50
READY TO GO,Car Repair Workshop and Garage,Mechanic,Mechanic,713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",N/A,N/A,4.5,8.0,"MX84+XMW, Road No. 7, Hamid Nagar, Asansol, West Bengal 713325",Hamid Nagar,23.6674854,86.9567119,ChIJCdnf1iIf9zkRHxM3BrLsAws,https://www.google.com/maps/place/?q=place_id:ChIJCdnf1iIf9zkRHxM3BrLsAws,part_319,2026-09-20 20:36:50
M J Movers,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",N/A,N/A,4.8,545.0,"PX76+QF4, NH2, Gobindapur, Asansol, West Bengal 713341",Gobindapur,23.7143837,86.96119619999999,ChIJE6uZg9gf9zkRtSUk1LOdHrk,https://www.google.com/maps/place/?q=place_id:ChIJE6uZg9gf9zkRtSUk1LOdHrk,part_319,2026-09-20 20:36:50
Jamal Guarage,Car Repair Workshop and Garage,Auto body shop,Auto body shop,713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",N/A,N/A,3.7,7.0,"MXJR+8HQ, Ushagram, Asansol, West Bengal 713303",Ushagram,23.680836799999998,86.9914872,ChIJuelosygZ9zkRA-fxcaxdkUo,https://www.google.com/maps/place/?q=place_id:ChIJuelosygZ9zkRA-fxcaxdkUo,part_319,2026-09-20 20:36:50
SMART GARAGE,Car Repair Workshop and Garage,Two Wheeler Repair Shop,Two Wheeler Repair Shop,713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",N/A,N/A,5.0,2.0,"MXGR+4PG, Mohishila Colony, Ushagram, Asansol, West Bengal 713303","Mohishila Colony, Ushagram",23.6752207,86.9917467,ChIJAxJrTwAZ9zkRY0E7rUbyvUU,https://www.google.com/maps/place/?q=place_id:ChIJAxJrTwAZ9zkRY0E7rUbyvUU,part_319,2026-09-20 20:36:50
"Kia Car Service - Rudra Kia,Asansol",Car Repair Workshop and Garage,Kia dealer,Kia dealer,713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",+91 90830 45000,http://www.rudrakia.com/,4.9,373.0,"Word no 21, 40),AMC, 121/203, Ushagram, Asansol, West Bengal 713303",Ushagram,23.6780692,87.0023075,ChIJlyOecwsZ9zkRuCnExUFkkA0,https://www.google.com/maps/place/?q=place_id:ChIJlyOecwsZ9zkRuCnExUFkkA0,part_319,2026-09-20 20:36:50
AJAY DIESEL,Car Repair Workshop and Garage,Machine workshop,Machine workshop,713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",+91 89180 83453,N/A,4.3,23.0,"Chatterjee Market, P.C, Ushagram, Asansol, West Bengal 713303",Ushagram,23.6820321,86.98796949999999,ChIJVVVVVeUe9zkRWnurHhybNuY,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVeUe9zkRWnurHhybNuY,part_319,2026-09-20 20:36:50
My Key Point,Car Repair Workshop and Garage,Locksmith,"Locksmith, Auto Accessories Store, Car battery store, Emergency locksmith service, Hardware store, Key duplication service, Lock Store, Locks Supplier, Motorcycle parts store, Garage",713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",+91 90461 58606,N/A,4.8,80.0,"1st Floor, HP World. Girja, My Key Point Durga Market, More, above Reco Electronics, Asansol, West Bengal 713301",Pathak Bari,23.6884767,86.9665514,ChIJw6IBGKQf9zkRmjfFPc684sw,https://www.google.com/maps/place/?q=place_id:ChIJw6IBGKQf9zkRmjfFPc684sw,part_319,2026-09-20 20:36:50
Modern Bike Spares,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Repair service",713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",+91 62949 98161,N/A,4.7,7.0,"121, Grand Trunk Rd, opposite Auto Market, East, Ushagram, Asansol, West Bengal 713301","East, Ushagram",23.686827899999997,86.970976,ChIJ96JG7noZ9zkR2rH9d5_00dk,https://www.google.com/maps/place/?q=place_id:ChIJ96JG7noZ9zkR2rH9d5_00dk,part_319,2026-09-20 20:36:50
Anthony Elias Sah Two Wheeler Garage,Car Repair Workshop and Garage,Two Wheeler Repair Shop,Two Wheeler Repair Shop,713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",N/A,N/A,,,"MXR5+HJ7, Chelidanga Railway Colony, Munshi Bazar, Asansol, West Bengal 713304","Chelidanga Railway Colony, Munshi Bazar",23.6914217,86.9590364,ChIJ8y60NAAf9zkRLMvy_6Nau0s,https://www.google.com/maps/place/?q=place_id:ChIJ8y60NAAf9zkRLMvy_6Nau0s,part_319,2026-09-20 20:36:50
