business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Care & Cure Polyclinic,Polyclinic,Doctor,"Doctor, Medical clinic",712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",+91 70038 92683,N/A,,,"Taldanga Rd, Khudiram Pally, Kaeipara, Dharampur, Chinsurah, West Bengal 712101","Khudiram Pally, Kaeipara, Dharampur",22.8808485,88.3826675,ChIJjwItDkKR-DkRVcBpHAmzovs,https://www.google.com/maps/place/?q=place_id:ChIJjwItDkKR-DkRVcBpHAmzovs,part_316,2026-09-20 20:44:12
New Apollo Poly Clinic,Polyclinic,Medical clinic,Medical clinic,712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",N/A,N/A,5.0,1.0,"V97R+CMQ, Arya Samaj Rd, Kankinara, Jagatdal, Bhatpara, West Bengal 743194","Kankinara, Jagatdal",22.863590199999997,88.3917292,ChIJ2e6PnzqR-DkRhLUPd4SL6p4,https://www.google.com/maps/place/?q=place_id:ChIJ2e6PnzqR-DkRhLUPd4SL6p4,part_316,2026-09-20 20:44:12
SKY HEALTH CARE & POLYCLINIC (DR.LALPATHLABS),Polyclinic,Medical diagnostic imaging center,Medical diagnostic imaging center,712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",N/A,N/A,,,"Hooghly Sta Rd, near Hooghly, more, Kapasdanga P, Chinsurah, West Bengal 712123","more, Kapasdanga P",22.9041273,88.38079359999999,ChIJz_6KFjKT-DkRQbUNQlrJL08,https://www.google.com/maps/place/?q=place_id:ChIJz_6KFjKT-DkRQbUNQlrJL08,part_316,2026-09-20 20:44:12
myMD Bandel Polyclinic & Pharmacy,Polyclinic,Medical clinic,Medical clinic,712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",+91 90078 86963,https://www.mymdindia.com/,4.1,25.0,"1, Bandel Station Rd, Keota, Olaichanditala, Bandel, Chinsurah, West Bengal 712103","Keota, Olaichanditala",22.9185335,88.38733599999999,ChIJy0hvkD6T-DkR9UzanV6Nz5Y,https://www.google.com/maps/place/?q=place_id:ChIJy0hvkD6T-DkR9UzanV6Nz5Y,part_316,2026-09-20 20:44:12
NEW CHIRANTAN DIAGNOSTICS & IMAGING CENTRE,Polyclinic,Medical diagnostic imaging center,"Medical diagnostic imaging center, X-ray lab",712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",+91 62905 25142,N/A,5.0,2.0,"CHIRANTAN POLYCLINIC & DIAGNOSTIC, KHADINAMORE, Chinsurah R S, Chinsurah, Chinchurah P, West Bengal 712102","KHADINAMORE, Chinsurah R S",22.887691,88.38030549999999,ChIJZxmIDlaT-DkRNJHGf_a2eaE,https://www.google.com/maps/place/?q=place_id:ChIJZxmIDlaT-DkRNJHGf_a2eaE,part_316,2026-09-20 20:44:12
myMD Kankinara Polyclinic & Pharmacy,Polyclinic,Medical Center,Medical Center,712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",N/A,https://www.mymdindia.com/,4.5,22.0,"Kachari Rd, Kankinara, Jagatdal, Kolkata, Bhatpara, West Bengal 743126","Kankinara, Jagatdal",22.864666099999997,88.3977281,ChIJF73XfoGR-DkRjkDhKK328dI,https://www.google.com/maps/place/?q=place_id:ChIJF73XfoGR-DkRjkDhKK328dI,part_316,2026-09-20 20:44:12
Sova Poly Clinic,Polyclinic,Medical clinic,Medical clinic,712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",+91 62891 30330,N/A,3.0,2.0,"V95R+9HG Jagdal, Market, Kankinara, Jagatdal, Bhatpara, West Bengal 743194","Kankinara, Jagatdal",22.8584307,88.39145409999999,ChIJK3ILhSWR-DkRK-XbJH8Ozy4,https://www.google.com/maps/place/?q=place_id:ChIJK3ILhSWR-DkRK-XbJH8Ozy4,part_316,2026-09-20 20:44:12
Sur Clinic Nursing Home,Polyclinic,Medical clinic,Medical clinic,712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",+91 33 2680 2679,N/A,4.1,19.0,"W97W+MF5, SC Mukherjee St, Bendil, Ballymore, Olaichanditala, Chinsurah, West Bengal 712103","Bendil, Ballymore, Olaichanditala",22.914132499999997,88.3962488,ChIJ1VftN_GT-DkRXf_Dm3ERWTs,https://www.google.com/maps/place/?q=place_id:ChIJ1VftN_GT-DkRXf_Dm3ERWTs,part_316,2026-09-20 20:44:12
Vimal Poly Clinic,Polyclinic,Medical clinic,Medical clinic,712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",+91 98312 36451,N/A,,,"V97M+5X2 Kela Bagan Mill Gate Ke Samane, 10/1, W Ghosh Para Rd, Jagatdal, Kolkata, Bhatpara, West Bengal 743125",Jagatdal,22.862937499999997,88.38493749999999,ChIJ6X3W2zyR-DkR20fkxX9B7k8,https://www.google.com/maps/place/?q=place_id:ChIJ6X3W2zyR-DkR20fkxX9B7k8,part_316,2026-09-20 20:44:12
Antarik Doctors' Chamber,Polyclinic,Health consultant,Health consultant,712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",+91 98747 67557,https://antarikhealthcare.in/,3.0,4.0,"Kodalia, Near Punjab National Bank G T Road, PO, PS, Chinsurah R S, Chinsurah, West Bengal 712123",Chinsurah R S,22.907535199999998,88.38357309999999,ChIJDWkwlueT-DkR0hAaGJiZKK8,https://www.google.com/maps/place/?q=place_id:ChIJDWkwlueT-DkR0hAaGJiZKK8,part_316,2026-09-20 20:44:12
