business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
AJ POLYCLINIC,Polyclinic,Medical clinic,Medical clinic,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 62382 83382,N/A,4.1,20.0,"HWM2+7VH, Chenkottukonam, Thiruvananthapuram, Keralam 695581",Chenkottukonam,8.5831838,76.9022401,ChIJkRjtAWS_BTsRdui-YDtNSjA,https://www.google.com/maps/place/?q=place_id:ChIJkRjtAWS_BTsRdui-YDtNSjA,part_312,2026-09-20 20:17:08,1660
VSSC Poly Clinic,Polyclinic,Medical clinic,Medical clinic,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 471 253 7676,http://vssc.gov.in/,4.4,142.0,"126, TKD Rd, Marappalam, Thiruvananthapuram, Keralam 695004",Marappalam,8.5205105,76.9454074,ChIJPU6Unt67BTsRvgohrjnIoQ4,https://www.google.com/maps/place/?q=place_id:ChIJPU6Unt67BTsRvgohrjnIoQ4,part_312,2026-09-20 20:17:08,1661
ECHS Polyclinic Trivandrum Medical College,Polyclinic,Hospital,Hospital,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 471 244 4184,http://echs.gov.in/,4.3,27.0,"96/1311, Srinikethan, Thuruvikkal PO, Pulayanarkotta Junction, Ulloor-Akkulam Road, Ulloor, Thiruvananthapuram, Keralam 695011",Pulayanarkotta,8.5226568,76.9141513,ChIJKcc9u1W5BTsR65vE7HIVakU,https://www.google.com/maps/place/?q=place_id:ChIJKcc9u1W5BTsR65vE7HIVakU,part_312,2026-09-20 20:17:08,1662
S S POLYCLINIC & SURGICAL CENTRE,Polyclinic,Private hospital,Private hospital,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 94954 88595,https://appointik.in/sspolyclinic/,4.6,64.0,"Signal junction,Thycadu,Pirappancode,venjaramoodu Kazhakoottam pothencode, bypass Road, Thiruvananthapuram, Keralam 695607",Thaikod,8.6633179,76.91093889999999,ChIJK9emLdjBBTsReKJ-q-sCa5U,https://www.google.com/maps/place/?q=place_id:ChIJK9emLdjBBTsReKJ-q-sCa5U,part_312,2026-09-20 20:17:08,1663
"Jeevan Polyclinic ,Cardiosree ,cardiac health coach",Polyclinic,Hospital,Hospital,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 92070 69826,N/A,4.4,13.0,"Nalanchira, Kerala, Mayuram, Paruthippara, Thiruvananthapuram, Keralam 695015","Mayuram, Nalanchira, Paruthippara",8.5410059,76.9416942,ChIJMSnQ-2m5BTsRg6Ipk7ndn1E,https://www.google.com/maps/place/?q=place_id:ChIJMSnQ-2m5BTsRg6Ipk7ndn1E,part_312,2026-09-20 20:17:08,1664
ECHS Polyclinic Trivandrum,Polyclinic,Veterans hospital,Veterans hospital,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 471 235 4715,https://www.echsbpa.utiitsl.com/ECHS/GuestLogin.jsp,4.2,38.0,"Pangodu, Thiruvananthapuram, Keralam 695006",Pangodu,8.5036731,76.9830855,ChIJPawo6kC6BTsRNGG5XjMvxvA,https://www.google.com/maps/place/?q=place_id:ChIJPawo6kC6BTsRNGG5XjMvxvA,part_312,2026-09-20 20:17:08,1665
Nuvamed Poly Clinic Pvt Limited,Polyclinic,Specialized clinic,Specialized clinic,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 90486 25888,N/A,3.7,38.0,"4/348F, opp. BSNL Office, Vamanapuram, Kerala 695606",695585,8.723215399999999,76.8977434,ChIJT7qWidHDBTsRBEK727TCdt4,https://www.google.com/maps/place/?q=place_id:ChIJT7qWidHDBTsRBEK727TCdt4,part_312,2026-09-20 20:17:08,1666
SK Clinic & Lab,Polyclinic,Medical clinic,"Medical clinic, Laboratory",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 80780 24720,N/A,,,"Parvathi Building, T C 97/278, Junction, Manvila, Kulathoor, Thiruvananthapuram, Keralam 695583",Manvila,8.543912599999999,76.8949702,ChIJjWSXxxe_BTsR_jnjT67IwMQ,https://www.google.com/maps/place/?q=place_id:ChIJjWSXxxe_BTsR_jnjT67IwMQ,part_312,2026-09-20 20:17:08,1667
ARSHA AYURVEDA HOSPITAL,Polyclinic,Hospital,"Hospital, Alternative medicine practitioner",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 471 248 3351,http://www.arshaayurveda.com/,4.9,,"KS Rd, next to CGO Road, Poonkulam, Thiruvananthapuram, Keralam 695522",Poonkulam,8.4200176,76.9729105,ChIJB0PlxCKlBTsRp5FXWZ7uONM,https://www.google.com/maps/place/?q=place_id:ChIJB0PlxCKlBTsRp5FXWZ7uONM,part_312,2026-09-20 20:17:09,1668
"Dr. Shammy SS - Free Consultation for Piles, Circumcision, Hernia | Best General Surgeon in Thiruvananthapuram",Polyclinic,Doctor,"Doctor, Bariatric surgeon, Gastrointestinal surgeon, Proctologist, Surgeon, Surgical center, Urologist, Urology clinic, Vascular surgeon, Weight loss service",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 80 6510 5078,https://www.pristyncare.com/specialist/dr-shammy-ss-a3wxfbubgj/?utm_source=gmb&utm_medium=organic&utm_campaign=12013120759856642057&utm_term=doctor&utm_content=website_link,4.6,,"Thycadu signal junction pirappancode, venjaramoodu, bypass road, Kazhakoottam, Pothencode, Keralam 695607","Thaikod, Kazhakoottam",8.6633474,76.91094,ChIJLUG90CjBBTsRpUrNVPZzi7o,https://www.google.com/maps/place/?q=place_id:ChIJLUG90CjBBTsRpUrNVPZzi7o,part_312,2026-09-20 20:17:09,1669
