business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Milestone Property Management,Real Estate Agents,Real estate consultant,"Real estate consultant, Commercial real estate agency, Industrial real estate agency, Property maintenance, Property management company, Real estate rental agency",700010,West Bengal Circle,Kolkata Region,Kolkata East Division,"Beleghata HO, Joramandir SO, Subhash Sarabor SO",+91 98300 35050,http://www.milestoneproperty.in/,4.6,,"B/1/H/1, Kalimuddin Sarkar Ln, Kulia, Beleghata, Kolkata, West Bengal 700010","Kulia, Beleghata",22.562892599999998,88.3940756,ChIJHyUln4d2AjoRfvrQoUqX_CI,https://www.google.com/maps/place/?q=place_id:ChIJHyUln4d2AjoRfvrQoUqX_CI,part_312,2026-09-20 20:41:35
Maa Tara Property,Real Estate Agents,Property management company,"Property management company, Apartment complex, Commercial real estate agency, Real Estate Builders & Construction Company, Industrial real estate agency, Property investment company, Property maintenance, Real estate agent, Real estate consultant, Real estate rental agency",700010,West Bengal Circle,Kolkata Region,Kolkata East Division,"Beleghata HO, Joramandir SO, Subhash Sarabor SO",+91 62894 64144,N/A,4.2,,"114/R/1, Beleghata Main Rd, Gopi kanan, cit more, Kolkata, West Bengal 700010","Gopi kanan, cit more",22.5628392,88.3949787,ChIJfdj79mF2AjoRo4DLX5TyvLg,https://www.google.com/maps/place/?q=place_id:ChIJfdj79mF2AjoRo4DLX5TyvLg,part_312,2026-09-20 20:41:35
Vidhaata Ventures,Real Estate Agents,Real estate consultant,Real estate consultant,700010,West Bengal Circle,Kolkata Region,Kolkata East Division,"Beleghata HO, Joramandir SO, Subhash Sarabor SO",+91 90517 51059,https://vidhaataventures.in/,4.9,,"4th floor, 128, Beleghata Main Rd, Kulia, Beleghata, Kolkata, West Bengal 700010","Kulia, Beleghata",22.5638076,88.39076969999999,ChIJO9czXAp3AjoRzs2It6lo6Lo,https://www.google.com/maps/place/?q=place_id:ChIJO9czXAp3AjoRzs2It6lo6Lo,part_312,2026-09-20 20:41:35
Maa tara property,Real Estate Agents,Property management company,"Property management company, Commercial real estate agency, Real Estate Builders & Construction Company, Industrial real estate agency, Office space rental agency, Property investment company, Property maintenance, Real estate agent, Real estate consultant, Real estate rental agency",700010,West Bengal Circle,Kolkata Region,Kolkata East Division,"Beleghata HO, Joramandir SO, Subhash Sarabor SO",+91 62914 49765,N/A,4.0,,"B-1/670, 98, Sukant Nagar, Sector IV, Bidhannagar, Kolkata, West Bengal 700107","Sukant Nagar, Sector IV, Bidhannagar",22.5591007,88.4152288,ChIJLTXFwkF1AjoRwpLR_ixTwHQ,https://www.google.com/maps/place/?q=place_id:ChIJLTXFwkF1AjoRwpLR_ixTwHQ,part_312,2026-09-20 20:41:35
"Core Realtors - Real estate marketing compnay , Kankurgachi , Kolkata",Real Estate Agents,Real estate agency,Real estate agency,700010,West Bengal Circle,Kolkata Region,Kolkata East Division,"Beleghata HO, Joramandir SO, Subhash Sarabor SO",+91 80175 61391,N/A,5.0,,"P, 187, CIT Rd, opposite to Pantaloons, Kankurgachi Municipal Market (VIP), Kadapara, Phoolbagan, Kankurgachi, Kolkata, West Bengal 700054","Kankurgachi Municipal Market (VIP), Kadapara, Phoolbagan, Kankurgachi",22.575429,88.3904882,ChIJ8yeisj0JmAQRj9hxFZm0o60,https://www.google.com/maps/place/?q=place_id:ChIJ8yeisj0JmAQRj9hxFZm0o60,part_312,2026-09-20 20:41:35
Kolkata Properties Inc,Real Estate Agents,Real estate rental agency,"Real estate rental agency, Commercial real estate agency, Industrial real estate agency, Property maintenance, Property management company, Real estate agent, Real estate consultant",700010,West Bengal Circle,Kolkata Region,Kolkata East Division,"Beleghata HO, Joramandir SO, Subhash Sarabor SO",+91 91634 48909,N/A,,,"CIT Building, E/42, More, Kulia, Beleghata, Kolkata, West Bengal 700010","Kulia, Beleghata",22.5598496,88.4093477,ChIJV7CTkl11AjoRVXK9Twp2C04,https://www.google.com/maps/place/?q=place_id:ChIJV7CTkl11AjoRVXK9Twp2C04,part_312,2026-09-20 20:41:35
Green view property.N,Real Estate Agents,Property management company,Property management company,700010,West Bengal Circle,Kolkata Region,Kolkata East Division,"Beleghata HO, Joramandir SO, Subhash Sarabor SO",+91 62974 05323,N/A,4.1,,"P357, Sukant Nagar, Sector IV, Bidhannagar, Kolkata, West Bengal 700107","Sukant Nagar, Sector IV, Bidhannagar",22.5593571,88.4154216,ChIJX0giclN1AjoRTVCX2eO1DK4,https://www.google.com/maps/place/?q=place_id:ChIJX0giclN1AjoRTVCX2eO1DK4,part_312,2026-09-20 20:41:35
Ruchi Realty Holdings Pvt Ltd,Real Estate Agents,Real estate agency,Real estate agency,700010,West Bengal Circle,Kolkata Region,Kolkata East Division,"Beleghata HO, Joramandir SO, Subhash Sarabor SO",N/A,https://ruchirealty.com/,3.6,,"DAFFODIL TOWER, 10, Debendra Chandra Dey Rd, Tangra, Kolkata, West Bengal 700046",Tangra,22.5554751,88.3897878,ChIJA2le_o52AjoRUpz04qH37e8,https://www.google.com/maps/place/?q=place_id:ChIJA2le_o52AjoRUpz04qH37e8,part_312,2026-09-20 20:41:35
Big Dream Realtors,Real Estate Agents,Consultant,"Consultant, Financial consultant",700010,West Bengal Circle,Kolkata Region,Kolkata East Division,"Beleghata HO, Joramandir SO, Subhash Sarabor SO",+91 70440 55556,https://www.bdrpl.com/,3.9,,"Unit No- 509, Active Business Park, 54/10, Debendra Chandra Dey Rd, near Dhapa, Math Pukur, Tangra, Kolkata, West Bengal 700046","Math Pukur, Tangra",22.555384999999998,88.3891687,ChIJe6yzIVN2AjoREpSrsfoB47Q,https://www.google.com/maps/place/?q=place_id:ChIJe6yzIVN2AjoREpSrsfoB47Q,part_312,2026-09-20 20:41:35
Swastik properties,Real Estate Agents,Real estate agency,Real estate agency,700010,West Bengal Circle,Kolkata Region,Kolkata East Division,"Beleghata HO, Joramandir SO, Subhash Sarabor SO",+91 82402 72806,N/A,3.5,,"A-1/658, Sukant Nagar, Sector IV, Bidhannagar, Kolkata, West Bengal 700107","Sukant Nagar, Sector IV, Bidhannagar",22.5591574,88.4155756,ChIJjTGiFbZ1AjoR_ZweqNQBraI,https://www.google.com/maps/place/?q=place_id:ChIJjTGiFbZ1AjoR_ZweqNQBraI,part_312,2026-09-20 20:41:35
