business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Keerthi Nirmal Rice Industries,Rice Mill and Agro Processing,FMCG Manufacturer,FMCG Manufacturer,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 1800 123 012 300,http://keerthiagro.com/,4.2,,"Mattoor - Yordhanapuram Rd, Mattoor, Kalady, Keralam 683572",Mattoor,10.1854303,76.4254206,ChIJIZrkFrsHCDsRO-OAcjZHVqA,https://www.google.com/maps/place/?q=place_id:ChIJIZrkFrsHCDsRO-OAcjZHVqA,part_311,2026-09-20 20:17:38,5147
Puncha Food industries.Limited,Rice Mill and Agro Processing,Rice mill,Rice mill,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 1800 313 4414,N/A,4.7,,"233G+Q3R, Vattapparamba Mahallu, Chappanangadi, Keralam 676503",Vattapparamba Mahallu,11.0044948,76.0751545,ChIJmwtF65bKpzsRdP3lHbe8AhI,https://www.google.com/maps/place/?q=place_id:ChIJmwtF65bKpzsRdP3lHbe8AhI,part_311,2026-09-20 20:17:38,5148
Sneham rice,Rice Mill and Agro Processing,Rice mill,Rice mill,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 4923 241 920,N/A,4.0,,"Vallanghy-Kunissery Road, Pazhathara, Keralam 678508",695307,10.615425499999999,76.5939848,ChIJ1-eyfVwNqDsRGTzXse8IZf0,https://www.google.com/maps/place/?q=place_id:ChIJ1-eyfVwNqDsRGTzXse8IZf0,part_311,2026-09-20 20:17:38,5149
Rice Mill,Rice Mill and Agro Processing,Manufacturer,Manufacturer,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",N/A,N/A,4.3,,"3JQ6+VPP, Odisha 761006",695307,19.0897152,84.6118374,ChIJ-cQsmrZqPToRXvVwdzZwMzo,https://www.google.com/maps/place/?q=place_id:ChIJ-cQsmrZqPToRXvVwdzZwMzo,part_311,2026-09-20 20:17:38,5150
Thekkekara Rice Mill,Rice Mill and Agro Processing,Manufacturer,Manufacturer,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 484 260 2481,N/A,4.2,,"4CQ6+FWX, Kalady - Aluva Rd, Sreemoolanagaram, Vadakkumbhagom, Keralam 683580",695307,10.138738799999999,76.4123685,ChIJfcOdSWIICDsRnjETStKfzAE,https://www.google.com/maps/place/?q=place_id:ChIJfcOdSWIICDsRnjETStKfzAE,part_311,2026-09-20 20:17:38,5151
GRAINTEC INDUSTRIES,Rice Mill and Agro Processing,Rice mill,Rice mill,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 63668 38414,http://graintecindustries.com/,4.5,,"Ind'l area, 101,Subramanya Temple Rd,Kachohalli, Chikkagollarahatti, Machohalli, Bengaluru, Karnataka 560091","Kamath Layout, Chikkagollarahatti",12.988479199999999,77.46067819999999,ChIJuRAXy_k7rjsRhgwmZYFC5ls,https://www.google.com/maps/place/?q=place_id:ChIJuRAXy_k7rjsRhgwmZYFC5ls,part_311,2026-09-20 20:17:38,5152
PRS RICE MILL,Rice Mill and Agro Processing,Agricultural service,Agricultural service,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",N/A,N/A,3.8,,"X5QG+QM7, Bangarapet, Karnataka 563114",695307,12.9894044,78.1766751,ChIJCUVv0TXprTsRVhxRYu-SDFM,https://www.google.com/maps/place/?q=place_id:ChIJCUVv0TXprTsRVhxRYu-SDFM,part_311,2026-09-20 20:17:38,5153
RICE MILL,Rice Mill and Agro Processing,Manufacturer,Manufacturer,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",N/A,N/A,4.0,,"M7X9+3JW, near School, MUTTHAARAPUKATTA, Yellandu, Kommavaram, Telangana 507124",MUTTHAARAPUKATTA,17.6977399,80.2690664,ChIJxQ19MQB7NDoR0LkmXDZNEzs,https://www.google.com/maps/place/?q=place_id:ChIJxQ19MQB7NDoR0LkmXDZNEzs,part_311,2026-09-20 20:17:38,5154
Rice Mill,Rice Mill and Agro Processing,Manufacturer,Manufacturer,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",N/A,N/A,5.0,,"2G9J+QH, Gondsawari, Maharashtra 441224",695307,20.019447,79.531429,ChIJazXTSwApLToRUyKxbQum9HA,https://www.google.com/maps/place/?q=place_id:ChIJazXTSwApLToRUyKxbQum9HA,part_311,2026-09-20 20:17:38,5155
AVIL MILL CHATTIPPARAMBA,Rice Mill and Agro Processing,Rice mill,Rice mill,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 96454 11781,N/A,5.0,,"Chattipparamba - Kadampuzha Rd, Malappuram, Cherukulamba, Keralam 676504",695307,10.9968861,76.0935631,ChIJ42XLsv7LpzsR2Ha9yCX-X7Q,https://www.google.com/maps/place/?q=place_id:ChIJ42XLsv7LpzsR2Ha9yCX-X7Q,part_311,2026-09-20 20:17:38,5156
