business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
JJ Collections Ladies & Kidswear,Kids Wear Store,Clothing store,Clothing store,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 90612 13016,N/A,5.0,2.0,"St Peters Ln, Pallithura, Thiruvananthapuram, Keralam 695586",Pallithura,8.5484063,76.8650536,ChIJvV4sVrC_BTsRZoglvVZg8Tw,https://www.google.com/maps/place/?q=place_id:ChIJvV4sVrC_BTsRZoglvVZg8Tw,part_312,2026-09-20 20:17:46
Firstcry.com Store Kazhakoottam,Kids Wear Store,Baby store,Baby store,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 96338 77108,https://www.firstcry.com/store-locator/firstcry-trivandrum-kazhakoottam/148,4.8,519.0,"Ground floor, Dev's Sakura Shopping Mall Old Thomson Furniture Building, Bypass, Service Rd, near Baskin and Robbins, Kulathoor, Kazhakkoottam, Keralam 695583",Kulathoor,8.541623,76.8770352,ChIJhZ5LO5OrBTsR0vO_BMR-X1I,https://www.google.com/maps/place/?q=place_id:ChIJhZ5LO5OrBTsR0vO_BMR-X1I,part_312,2026-09-20 20:17:46
AH Fancy & Kids Wear,Kids Wear Store,Clothing store,Clothing store,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 80784 13683,N/A,4.8,4.0,"HRMQ+FC6, Thiruvananthapuram, Keralam 695301",695586,8.583986,76.8387018,ChIJ53YW3uK_BTsRR2aEeD4xB78,https://www.google.com/maps/place/?q=place_id:ChIJ53YW3uK_BTsRR2aEeD4xB78,part_312,2026-09-20 20:17:46
Fashion Hub,Kids Wear Store,Store,Store,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 90742 68630,N/A,4.3,3.0,"GVRJ+CJW, Kulathoor, Thiruvananthapuram, Keralam 695583",Kulathoor,8.5411096,76.881591,ChIJjc9ztim_BTsR1nlGAdRq_xU,https://www.google.com/maps/place/?q=place_id:ChIJjc9ztim_BTsR1nlGAdRq_xU,part_312,2026-09-20 20:17:46
"Go Colors - Trivandrum Mall, Trivandrum | Women's Bottom Wear Store",Kids Wear Store,Clothing store,"Clothing store, Clothing alteration service, Plus Size Clothing Store, Western apparel store, Women's clothing store",695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 73587 10444,https://gocolors.com/?utm_source=Google&utm_medium=GMB,4.5,13.0,"FF-17, 1F, Chakai-Enchakkal, 24, Kulathoor Bypass Rd, Thiruvananthapuram, Keralam 695582",Kazhakuttam,8.5653001,76.874983,ChIJN1yMlTm_BTsRG1oP4GCIYQA,https://www.google.com/maps/place/?q=place_id:ChIJN1yMlTm_BTsRG1oP4GCIYQA,part_312,2026-09-20 20:17:46
Trendy Collections,Kids Wear Store,Clothing store,Clothing store,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 96339 09027,N/A,3.5,2.0,"Trendy Collections Near AJ Hospital Kazhakkuttam PO Trivandrum, Kazhakkoottam, Keralam 695582",Kazhakuttam,8.5677,76.8732701,ChIJ6WfQTAe_BTsRqkpPJve_USk,https://www.google.com/maps/place/?q=place_id:ChIJ6WfQTAe_BTsRqkpPJve_USk,part_312,2026-09-20 20:17:46
PURPLE DESIGNER HUT -BY NiMYA,Kids Wear Store,Boutique,Boutique,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 86061 61802,N/A,4.7,34.0,"POLICE STATION, BYPASS ROAD, Kazhakuttam, Menamkulam, Kazhakkoottam, Thiruvananthapuram, Keralam 695582","Kazhakuttam, Menamkulam",8.569236499999999,76.87144239999999,ChIJn8pf-ae_BTsRW3TRrXwFeb8,https://www.google.com/maps/place/?q=place_id:ChIJn8pf-ae_BTsRW3TRrXwFeb8,part_312,2026-09-20 20:17:46
Rainbow Trendz Textiles and boutique,Kids Wear Store,Clothing store,Clothing store,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 90616 79262,N/A,4.3,,"Kazhakuttam, Kazhakkoottam, Thiruvananthapuram, Keralam 695582",Kazhakuttam,8.5640474,76.8738434,ChIJn709u_--BTsRsLYFb2HgttI,https://www.google.com/maps/place/?q=place_id:ChIJn709u_--BTsRsLYFb2HgttI,part_312,2026-09-20 20:17:47
LuLu Fashion Store,Kids Wear Store,Clothing store,Clothing store,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 471 277 7788,https://thiruvananthapuram.lulumall.in/shop/lulu-fashion-store/,3.3,,"First Floor, LuLu Mall, Kochuveli, Thiruvananthapuram, Keralam 695029",Kochuveli,8.5156338,76.8980301,ChIJOQwN55W9BTsRx4J-js1ammw,https://www.google.com/maps/place/?q=place_id:ChIJOQwN55W9BTsRx4J-js1ammw,part_312,2026-09-20 20:17:48
OSLO baby&kids,Kids Wear Store,Clothing store,Clothing store,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 88931 44133,N/A,5.0,,"1, Pachalloor Punkulam Rd, Thiruvallam, Thiruvananthapuram, Kerala 695027",Thiruvallam,8.4405702,76.9581406,ChIJYZ2Q1Xm7BTsRPzv8UWw_GLo,https://www.google.com/maps/place/?q=place_id:ChIJYZ2Q1Xm7BTsRPzv8UWw_GLo,part_312,2026-09-20 20:17:48
