business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Jayeashree Orthopedic Wellness clinic,Orthopedic and Physiotherapy Clinic,Medical clinic,Medical clinic,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",N/A,N/A,4.9,,"26B, Kustia Rd, Topsia, Kolkata, West Bengal 700039",Topsia,22.534364,88.3799789,ChIJ62PDhct3AjoRGOW6JumsJ2w,https://www.google.com/maps/place/?q=place_id:ChIJ62PDhct3AjoRGOW6JumsJ2w,part_313,2026-09-20 20:17:04,2342
"PHYSIO 24×7 (Best Physiotherapist and Chiropractor)Ganpati Apartment-87, Ground Floor",Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Chiropractor, Sports medicine clinic",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 98311 19269,http://www.physio24.in/,4.9,,"87, Ground floor, Ganpati Apartment, Block D, VIP Rd, Bangur Avenue, Kolkata, West Bengal 700055","Bangur Avenue, Block D, Lake Town",22.6057454,88.4147704,ChIJN1EYSvF1AjoR3tBvX5azPnU,https://www.google.com/maps/place/?q=place_id:ChIJN1EYSvF1AjoR3tBvX5azPnU,part_313,2026-09-20 20:17:04,2343
Dr. Arvind Anand - Best Physiotherapist in Kolkata | Physiotherapist Near Dumdum | Best Chiropractor in Kolkata,Orthopedic and Physiotherapy Clinic,Physiotherapist,Physiotherapist,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 90882 37404,https://drarvindanand.com/,5.0,,"Niramaya Jha, Superspeciality Centre for Orthopedics, Dum Dum Rd, near seven tanks, Dumdum, Kolkata, West Bengal 700030",Dumdum,22.619243599999997,88.3885482,ChIJFY04DDyd-DkRzSaeX11xaI4,https://www.google.com/maps/place/?q=place_id:ChIJFY04DDyd-DkRzSaeX11xaI4,part_313,2026-09-20 20:17:04,2344
Thera World,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Nutritionist, Occupational therapist, Orthopedic clinic, Pain control clinic, Pain management physician, Physical rehabilitation center, Physiotherapist",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 92314 28087,https://theraworld.in/,4.9,,"40a, Lake Temple Rd, Lake Range, Kalighat, Kolkata, West Bengal 700029","Lake Range, Kalighat",22.510935399999997,88.34882119999999,ChIJAb1ZBMxwAjoRCp7z8UVtilw,https://www.google.com/maps/place/?q=place_id:ChIJAb1ZBMxwAjoRCp7z8UVtilw,part_313,2026-09-20 20:17:04,2345
Dr. Aditya Kumar Sports Medicine/Best Physiotherapy/Hijam/Cupping/Acupuncture/Dry Needling/Best Chiropractor,Orthopedic and Physiotherapy Clinic,Physiotherapist,"Physiotherapist, Sports medicine physician",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 70034 99102,http://www.healthfit.org.in/,5.0,,"59, KC Ghosh Rd, near More super market, W-block, Binayak Enclave, Sadhan Pally, Sinthee, kol, Kolkata, West Bengal 700050","W-block, Binayak Enclave, Sadhan Pally, Sinthee",22.6301173,88.3867667,ChIJIeBFc2Gd-DkR73F-f02jG-s,https://www.google.com/maps/place/?q=place_id:ChIJIeBFc2Gd-DkR73F-f02jG-s,part_313,2026-09-20 20:17:04,2346
The Wellness Clinic || Best Chiropractic || Best Physiotherapy in Kolkata,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Chiropractor, Massage therapist, Orthopedic clinic, Osteopath, Sports massage therapist",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 82400 40441,https://thewellnessclinics.in/,4.8,,"Salt Lake, 229, CG Block, Sector 2, Bidhannagar, Kolkata, West Bengal 700091","CG Block, Sector 2, Bidhannagar",22.5933571,88.420611,ChIJZ-pZygR1AjoRh-4wMRE45i4,https://www.google.com/maps/place/?q=place_id:ChIJZ-pZygR1AjoRh-4wMRE45i4,part_313,2026-09-20 20:17:04,2347
Dr. Debdutta Banerjee | APEX ORTHO Joint & Physio Rehab,Orthopedic and Physiotherapy Clinic,Medical clinic,"Medical clinic, Orthopedic surgeon",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 87775 19557,https://apexorthoclinics.com/,5.0,,"Ground Floor, Premises No. 6, 6, Diamond Harbour Rd, Kolkata, West Bengal 700008","Behala Chowrasta, Bata Colony, Barisha",22.48661,88.3132469,ChIJGRlf8ZJ7AjoR8oxHIm5lqHo,https://www.google.com/maps/place/?q=place_id:ChIJGRlf8ZJ7AjoR8oxHIm5lqHo,part_313,2026-09-20 20:17:04,2348
The Better Physiotherapy Clinic,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 62909 71740,https://thebetterphysiotherapyclinic.com/,5.0,,"RGM-6/13, Saurav Ganguly Ave, Gopalpur I, Block-C, Bablatala, Rajarhat, Kolkata, West Bengal 700136","Gopalpur I, Block-C, Bablatala, Rajarhat",22.6381189,88.453761,ChIJH8EiPOGf-DkRuv7AKDOQ75M,https://www.google.com/maps/place/?q=place_id:ChIJH8EiPOGf-DkRuv7AKDOQ75M,part_313,2026-09-20 20:17:04,2349
Physiotherapy,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 72789 08851,N/A,4.3,,"96 bhagini, Nivedita Colony, Patipukur, South Dumdum, West Bengal 700048","Bidhan Pally, Nivedita Colony, Patipukur",22.606672399999997,88.3949548,ChIJnTWxnd-f-DkRdusobDWHdhE,https://www.google.com/maps/place/?q=place_id:ChIJnTWxnd-f-DkRdusobDWHdhE,part_313,2026-09-20 20:17:04,2350
Ideal Physiotherapy,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Medical clinic",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 98304 37024,N/A,5.0,,"14N, Dum Dum Rd, Satpukur, Kolkata, West Bengal 700030",Satpukur,22.6196004,88.3916562,ChIJzVasnvCd-DkR5EIS0LupRz0,https://www.google.com/maps/place/?q=place_id:ChIJzVasnvCd-DkR5EIS0LupRz0,part_313,2026-09-20 20:17:04,2351
