business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Vidya Banquet,Banquet Hall,Banquet hall,Banquet hall,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 90512 66206,N/A,4.7,21.0,"near Magra 2No Gram Panchayet, near 2no gram panchayat, Kantapukur, Mogra, West Bengal 712148","Kantapukur, Mogra",22.983818199999998,88.3789882,ChIJ_5SkQQ-T-DkRqtmn6EkHaGI,https://www.google.com/maps/place/?q=place_id:ChIJ_5SkQQ-T-DkRqtmn6EkHaGI,part_317,2026-09-20 20:17:19,3766
AROVI BANQUET HALL,Banquet Hall,Lodge,Lodge,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 62913 65107,N/A,4.3,45.0,"Kazidanga, Bandel Station Rd, Debanandapur, Chinsurah, Bandel, West Bengal 712123",Debanandapur,22.922405899999998,88.371755,ChIJdwbKzFCT-DkRwGJ6l0Z1YhM,https://www.google.com/maps/place/?q=place_id:ChIJdwbKzFCT-DkRwGJ6l0Z1YhM,part_317,2026-09-20 20:17:19,3767
Mannat Banquet,Banquet Hall,Banquet hall,Banquet hall,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,5.0,2.0,"Grampanchayat, Bandel Bazar St, opposite Debnandapur, Bandel, Kodalia, West Bengal 712123",712121,22.9203133,88.3754774,ChIJ_5zXgHiT-DkRp1mEmLuWtUg,https://www.google.com/maps/place/?q=place_id:ChIJ_5zXgHiT-DkRp1mEmLuWtUg,part_317,2026-09-20 20:17:19,3768
Debalay,Banquet Hall,Banquet hall,"Banquet hall, Wedding venue, Lodge",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98308 15663,N/A,4.2,56.0,"Kanagarh Saratpally, Chinsurah R S, West Bengal 712102",Chinsurah R S,22.9045746,88.3729492,ChIJoVBDrE2T-DkRZp6gc6FGG5I,https://www.google.com/maps/place/?q=place_id:ChIJoVBDrE2T-DkRZp6gc6FGG5I,part_317,2026-09-20 20:17:19,3769
"LABANYA BANQUET Kapas Danga, Sarat Sarani,",Banquet Hall,Banquet hall,Banquet hall,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,4.8,4.0,"2/7, Sarat Sarani Rd, Olaichanditala, Chinsurah, West Bengal 712103",Olaichanditala,22.910046899999998,88.3850551,ChIJiXEjFwCT-DkRb-v_Po-i0qc,https://www.google.com/maps/place/?q=place_id:ChIJiXEjFwCT-DkRb-v_Po-i0qc,part_317,2026-09-20 20:17:19,3770
Subhodristy Lodge,Banquet Hall,Banquet hall,Banquet hall,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98368 49902,N/A,4.1,33.0,"Check Post, GT Rd, near ITI College, Keota, Bandel, Chinsurah, West Bengal 712104",Keota,22.9343687,88.3890615,ChIJL4nvZJqT-DkRyjdGDoc20Ec,https://www.google.com/maps/place/?q=place_id:ChIJL4nvZJqT-DkRyjdGDoc20Ec,part_317,2026-09-20 20:17:19,3771
Sanai Lodge,Banquet Hall,Wedding venue,Wedding venue,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98046 23440,N/A,4.2,400.0,"Amala Nursing Home, Vivekananda Rd, Chinsurah R S, Chinsurah, West Bengal 712103",Chinsurah R S,22.9017229,88.39023159999999,ChIJ5VCwEeOT-DkRZEvlmyAuHT0,https://www.google.com/maps/place/?q=place_id:ChIJ5VCwEeOT-DkRZEvlmyAuHT0,part_317,2026-09-20 20:17:19,3772
Shyam Banquet (শ্যাম বাংকুয়েট),Banquet Hall,Banquet hall,Banquet hall,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,4.0,1.0,"W9JQ+QMH, Sahaganj, Chinsurah, Keota P, West Bengal 712104",Sahaganj,22.931995399999998,88.3892419,ChIJBbjWagCT-DkRBkNSXPyGepA,https://www.google.com/maps/place/?q=place_id:ChIJBbjWagCT-DkRBkNSXPyGepA,part_317,2026-09-20 20:17:19,3773
Dolly Complex,Banquet Hall,Business center,"Business center, Banquet hall, Event venue",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,3.7,106.0,"1, GT Rd, Keota, Olaichanditala, Chinsurah, Keota P, West Bengal 712123","Keota, Olaichanditala",22.9251996,88.38649439999999,ChIJyeK4epST-DkRPnvEa79VODI,https://www.google.com/maps/place/?q=place_id:ChIJyeK4epST-DkRPnvEa79VODI,part_317,2026-09-20 20:17:19,3774
Kushari Bhawan,Banquet Hall,Banquet hall,Banquet hall,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,3.3,15.0,"W9CF+H7H, New Kazidanga, Gherabagan, Bandel, Kazidanga, West Bengal 712123",Gherabagan,22.9214782,88.3732201,ChIJg8IGSQCT-DkRww-zfYwJoZE,https://www.google.com/maps/place/?q=place_id:ChIJg8IGSQCT-DkRww-zfYwJoZE,part_317,2026-09-20 20:17:19,3775
Godhuli Lodge,Banquet Hall,Banquet hall,Banquet hall,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,3.3,38.0,"Hansghara,, Natungram, Mogra, Hansghara, West Bengal 712148","Natungram, Mogra",22.990121499999997,88.3711568,ChIJx3UFCy2T-DkR6Vg25Q8OI3Y,https://www.google.com/maps/place/?q=place_id:ChIJx3UFCy2T-DkR6Vg25Q8OI3Y,part_317,2026-09-20 20:17:19,3776
RIDDHI SIDDHI,Banquet Hall,Community center,Community center,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98303 69213,N/A,4.0,55.0,"3, Hooghly Sta Rd, Kanagar, Santipally, Krishnapur, Chinsurah R S, Chinsurah, Bandel, West Bengal 712123","Kanagar, Santipally, Krishnapur, Chinsurah R S",22.906315799999998,88.3746749,ChIJU_w5VNqT-DkR5Y_H4_8KVUY,https://www.google.com/maps/place/?q=place_id:ChIJU_w5VNqT-DkR5Y_H4_8KVUY,part_317,2026-09-20 20:17:19,3777
