business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
K Electrics,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",+91 98302 66413,N/A,5.0,,"1/37, Udaypur Rd, Block 2, Jatindas Nagar, Belghoria, Kolkata, West Bengal 700056","Block 2, Jatindas Nagar, Belghoria",22.661429299999998,88.3928092,ChIJ086Vay2c-DkRxIheaPHIsik,https://www.google.com/maps/place/?q=place_id:ChIJ086Vay2c-DkRxIheaPHIsik,part_314,2026-09-20 20:21:13
PUJA ELECTRIC,Electrical Goods and Lighting Store,Electronics store,Electronics store,700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",+91 98305 29733,N/A,5.0,,"458, Ashoke Rd, near CHAITALI CLUB, Patuli, Kolkata, West Bengal 700084",Patuli,22.4760082,88.381393,ChIJUanlDfBxAjoRChPKUg0VDdc,https://www.google.com/maps/place/?q=place_id:ChIJUanlDfBxAjoRChPKUg0VDdc,part_314,2026-09-20 20:21:13
RAIPUR ELECTRONICS BELGHARIA,Electrical Goods and Lighting Store,Electronics store,Electronics store,700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",N/A,http://www.raipurelectronics.com/,4.5,19.0,"10, Barrackpore Trunk Rd, Government Quarters, Rathtala, Adarsha Pally, Belghoria, Kolkata, West Bengal 700056","Government Quarters, Rathtala, Adarsha Pally, Belghoria",22.6616218,88.3765571,ChIJ2apUCACd-DkRZqPPdduQciA,https://www.google.com/maps/place/?q=place_id:ChIJ2apUCACd-DkRZqPPdduQciA,part_314,2026-09-20 20:21:14
Power House Electric Shop,Electrical Goods and Lighting Store,Store,Store,700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",+91 94337 51096,N/A,4.0,62.0,"R69J+9M7, Unnamed Road, Nabapally, Daluigacha, Balarambati, West Bengal 712409","Nabapally, Daluigacha",22.8184106,88.2316578,ChIJRaAVDW-J-DkRPMcTmDvY9-E,https://www.google.com/maps/place/?q=place_id:ChIJRaAVDW-J-DkRPMcTmDvY9-E,part_314,2026-09-20 20:21:14
MONDAL ELECTRIC WORKS,Electrical Goods and Lighting Store,Electronics store,Electronics store,700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",+91 97483 31204,N/A,4.1,13.0,"Sonarpur Station Rd, Kamrabad, Narendrapur, Kolkata, Rajpur Sonarpur, West Bengal 700150","Kamrabad, Narendrapur",22.4436598,88.41940939999999,ChIJE7-8QBZzAjoRo50Nl6eEsj8,https://www.google.com/maps/place/?q=place_id:ChIJE7-8QBZzAjoRo50Nl6eEsj8,part_314,2026-09-20 20:21:14
House of Sujata Authorised Dealer - M T Trading Home Appliances Store | Fans & Geysers,Electrical Goods and Lighting Store,Appliance store,"Appliance store, Countertop store, Electrical supply store, Electronics store, Home improvement store, Kitchen supply store",700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",+91 80131 36483,https://houseofsujata.com/store-locator/sujata-in-west-bengal-north-24-parganas-halisahar-27534,,,"Roy Sanskrity Plaza, 300 Panbasti, Arunachal, Halisahar, West Bengal 743136","Arunachal, Halisahar",22.6937095,88.38583799999999,ChIJS1pv6Yqd-DkR32BRV_orxSw,https://www.google.com/maps/place/?q=place_id:ChIJS1pv6Yqd-DkR32BRV_orxSw,part_314,2026-09-20 20:21:14
Balaji Electricals,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Electrical products wholesaler, Light bulb supplier, Electrical supply store",700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",+91 95381 12943,N/A,5.0,700.0,"Shop No 59, Police Camp 60, opp. Hosa Road, Meenakshi Layout, Choodasandra, K.G.Cudasandra, Karnataka 560099","Meenakshi Layout, Choodasandra",12.884647,77.6723308,ChIJaYuWZf5trjsRW455IyMxDkk,https://www.google.com/maps/place/?q=place_id:ChIJaYuWZf5trjsRW455IyMxDkk,part_314,2026-09-20 20:21:14
Diamond electricals and lightings,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Electrical equipment supplier, Lighting products wholesaler",700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",+91 74110 94954,N/A,4.9,168.0,"Belathur Main Rd, K.Dommasandra, Kadgudi, Krishnarajapuram, Bengaluru, J.I.Domsandra, Karnataka 560049","K.Dommasandra, Kadgudi, Krishnarajapuram",13.011358999999999,77.73895569999999,ChIJyRXBda0RrjsRHAvN690Hxto,https://www.google.com/maps/place/?q=place_id:ChIJyRXBda0RrjsRHAvN690Hxto,part_314,2026-09-20 20:21:14
Sri Krishna Electric Stores,Electrical Goods and Lighting Store,Electronics store,Electronics store,700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",+91 88208 98746,N/A,,,"Joyti More, 5, G.T Road, More, near Joyti, Kolkata, West Bengal 712136","Tematha, Mankundu",22.844491599999998,88.3617076,ChIJ0zlb5lWQ-DkRis4Wa7uspqM,https://www.google.com/maps/place/?q=place_id:ChIJ0zlb5lWQ-DkRis4Wa7uspqM,part_314,2026-09-20 20:21:14
Debopriyo Electric,Electrical Goods and Lighting Store,Electronics store,Electronics store,700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",+91 90737 68428,N/A,4.9,57.0,"Rishi Aurobindo Rd, Harish Nagar, Madhyamgram, Kolkata, West Bengal 700130","Harish Nagar, Madhyamgram",22.6962695,88.4509647,ChIJn65T5e6f-DkRAYovlBOBxW4,https://www.google.com/maps/place/?q=place_id:ChIJn65T5e6f-DkRAYovlBOBxW4,part_314,2026-09-20 20:21:15
