business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Speed Computers,Computer Sales and Laptop Repair,Computer store,Computer store,695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",+91 94958 97674,https://speedcomputers.in/,4.8,,"opposite Village Office Road, Alummoodu, Neyyattinkara, Keralam 695121",Alummoodu,8.4040587,77.08516999999999,ChIJS78u1GOuBTsRFhWsVsSOQAo,https://www.google.com/maps/place/?q=place_id:ChIJS78u1GOuBTsRFhWsVsSOQAo,part_311,2026-09-20 20:25:35
SG Systems,Computer Sales and Laptop Repair,Computer store,Computer store,695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",+91 97463 20643,N/A,4.8,,"SG GOKULAM, ATHIYANOOR, ARALUMMOODU, Keralam 695123",695501,8.4117845,77.05743319999999,ChIJd67yPi-vBTsRht_iOmepzZg,https://www.google.com/maps/place/?q=place_id:ChIJd67yPi-vBTsRht_iOmepzZg,part_311,2026-09-20 20:25:35
Aleta Computer Warehouse,Computer Sales and Laptop Repair,Computer store,Computer store,695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",+91 77364 21141,N/A,4.8,,"Nellimoodu, Keralam 695524",695501,8.378949,77.0463963,ChIJKeMAwlOvBTsR9zNNEmUZ1xg,https://www.google.com/maps/place/?q=place_id:ChIJKeMAwlOvBTsR9zNNEmUZ1xg,part_311,2026-09-20 20:25:35
Aleta Computer Warehouse,Computer Sales and Laptop Repair,Computer support and services,Computer support and services,695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",+91 62354 21141,N/A,4.5,,"Kanjiramkulam, Road, Thiruvananthapuram, Keralam 695524",695501,8.360483799999999,77.0521773,ChIJo0EA33OvBTsRKaPoOnUPPDE,https://www.google.com/maps/place/?q=place_id:ChIJo0EA33OvBTsRKaPoOnUPPDE,part_311,2026-09-20 20:25:35
Ethens Info Tech,Computer Sales and Laptop Repair,Computer store,"Computer store, Cell phone store",695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",+91 75610 11910,N/A,5.0,,"Kaakkamoola, Peringammala, Kerala 695042","Kaakkamoola, Peringammala",8.4161226,77.0194207,ChIJS-TNVU2vBTsRmy5PAw8YsSg,https://www.google.com/maps/place/?q=place_id:ChIJS-TNVU2vBTsRmy5PAw8YsSg,part_311,2026-09-20 20:25:35
S K Systems,Computer Sales and Laptop Repair,Computer store,Computer store,695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",+91 96332 71883,N/A,4.8,,"TC 59, Valiyavila Building, 976, Pallichal - Vizhinjam Rd, near Ayyankali School, Vizhinjam, Venganoor, Thiruvananthapuram, Keralam 695523",Vizhinjam,8.396587199999999,77.00492779999999,ChIJ_ysGLiulBTsROyWn23HVtbc,https://www.google.com/maps/place/?q=place_id:ChIJ_ysGLiulBTsROyWn23HVtbc,part_311,2026-09-20 20:25:35
ByteCrafters The IT HUB,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer accessories store, Computer networking service, Computer store, Home automation company, Home theater store, Security system installation service",695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",+91 85471 70736,https://www.facebook.com/profile.php?id=61560873343257,4.8,,"Shop No 2, Meledathu Complex Near Peringammala Market, P.O, Peringammala, Kalliyoor, Trivandrum, Keralam 695042","Kaakkamoola, P.O, Peringammala",8.4165684,77.0198053,ChIJATw-B5Sca4oRRMOKJe3IXBY,https://www.google.com/maps/place/?q=place_id:ChIJATw-B5Sca4oRRMOKJe3IXBY,part_311,2026-09-20 20:25:35
Data deal systems,Computer Sales and Laptop Repair,Computer store,"Computer store, Camera store, Cell phone store, Computer networking service, Copier repair service, Electrical supply store, Printer repair service",695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",+91 94970 09691,N/A,5.0,,"Post Office, Convent Rd Pravachambalam Junction, Nemom, Thiruvananthapuram, Keralam 695020",695501,8.4488956,77.0108295,ChIJi-ppewewBTsR8Z2DCspjxL0,https://www.google.com/maps/place/?q=place_id:ChIJi-ppewewBTsR8Z2DCspjxL0,part_311,2026-09-20 20:25:35
Logix Technologies,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer accessories store, Printer repair service",695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",+91 99952 92330,N/A,5.0,,"AKM Complex, Alummoodu, Neyyattinkara, Keralam 695121",Alummoodu,8.4030996,77.0851606,ChIJJaf9a6KvBTsRKYUrTgBJdpg,https://www.google.com/maps/place/?q=place_id:ChIJJaf9a6KvBTsRKYUrTgBJdpg,part_311,2026-09-20 20:25:35
NexGen computers,Computer Sales and Laptop Repair,Computer store,Computer store,695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",+91 97467 13635,https://sites.google.com/view/www-nexgen-computers-com/home,5.0,,"1st floor, Mathias roche aracde, above Apollo pharmacy, Pulluvila, Trivandrum, Keralam 695526",695501,8.3446797,77.0362421,ChIJSVUlgjOpBTsRK_gpQUFiB0E,https://www.google.com/maps/place/?q=place_id:ChIJSVUlgjOpBTsRK_gpQUFiB0E,part_311,2026-09-20 20:25:35
