business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Par Harishchak Primary School,School,Primary school,Primary school,712416,West Bengal Circle,South Bengal Region,Hooghly North Division,"Natibpur SO, Balaichak BO, Balpai BO",N/A,N/A,,,"MV5H+MCM, Par, Harischak, Khanakul, West Bengal 712416",Par,22.6592149,87.8785625,ChIJm6Ss5ON0-DkRB1JTL8Q67eI,https://www.google.com/maps/place/?q=place_id:ChIJm6Ss5ON0-DkRB1JTL8Q67eI,part_318,2026-09-20 20:23:34
Harishchak High School,School,Higher secondary school,Higher secondary school,712416,West Bengal Circle,South Bengal Region,Hooghly North Division,"Natibpur SO, Balaichak BO, Balpai BO",+91 97339 83337,N/A,,,"Vill+P.O - Harishchak, P.S - Khanakul, Dist, Harischak, West Bengal 712416",712416,22.650434699999998,87.8745569,ChIJ-dxvgB91-DkRhyaS6KN4PLg,https://www.google.com/maps/place/?q=place_id:ChIJ-dxvgB91-DkRhyaS6KN4PLg,part_318,2026-09-20 20:23:34
Ranjitbati Dosuti Primary School,School,Primary school,Primary school,712416,West Bengal Circle,South Bengal Region,Hooghly North Division,"Natibpur SO, Balaichak BO, Balpai BO",N/A,N/A,,,"MVGR+QXM, Ranjitbati, Chinra, West Bengal 712416",712416,22.6769748,87.89243049999999,ChIJ8b_f1g11-DkR972oaUZCQqE,https://www.google.com/maps/place/?q=place_id:ChIJ8b_f1g11-DkR972oaUZCQqE,part_318,2026-09-20 20:23:34
Harishchak West Pry School,School,Primary school,Primary school,712416,West Bengal Circle,South Bengal Region,Hooghly North Division,"Natibpur SO, Balaichak BO, Balpai BO",N/A,N/A,,,"JVWC+PMR, Harischak, Khanakul, West Bengal 712416",712416,22.646862799999997,87.8716305,ChIJ_7EJ0iN1-DkRZQj9Cyf8PaM,https://www.google.com/maps/place/?q=place_id:ChIJ_7EJ0iN1-DkRZQj9Cyf8PaM,part_318,2026-09-20 20:23:34
KHUNIYACHAK Adarsha SHIKSHANIKETAN,School,High school,High school,712416,West Bengal Circle,South Bengal Region,Hooghly North Division,"Natibpur SO, Balaichak BO, Balpai BO",N/A,N/A,,,"JVRX+645, Khuniachak, Balpai, West Bengal 712416",712416,22.6405103,87.89786389999999,ChIJw8frP6Z1-DkR3WehZZdbLK0,https://www.google.com/maps/place/?q=place_id:ChIJw8frP6Z1-DkR3WehZZdbLK0,part_318,2026-09-20 20:23:34
MAHAKALPUR M.C High School,School,High school,High school,712416,West Bengal Circle,South Bengal Region,Hooghly North Division,"Natibpur SO, Balaichak BO, Balpai BO",N/A,N/A,,,"Nakubar, West Bengal 711401",712416,22.6286135,87.9357746,ChIJT7_V3Qp2-DkRbvMwyHnuXkU,https://www.google.com/maps/place/?q=place_id:ChIJT7_V3Qp2-DkRbvMwyHnuXkU,part_318,2026-09-20 20:23:34
Subalchak Primary School,School,Primary school,Primary school,712416,West Bengal Circle,South Bengal Region,Hooghly North Division,"Natibpur SO, Balaichak BO, Balpai BO",+91 97327 60973,N/A,,,"MWMH+X97, Subalchak, Udaynarayanpur, West Bengal 712416",712416,22.6849149,87.9284066,ChIJKVoB9xt0-DkR5bhaUrj-hGA,https://www.google.com/maps/place/?q=place_id:ChIJKVoB9xt0-DkR5bhaUrj-hGA,part_318,2026-09-20 20:23:34
Bankanagar Free Primary School,School,Primary school,Primary school,712416,West Bengal Circle,South Bengal Region,Hooghly North Division,"Natibpur SO, Balaichak BO, Balpai BO",N/A,N/A,,,"MV7H+7F7, Routkhana, West Bengal 712416",712416,22.6631553,87.8786597,ChIJX3AJZuZ0-DkRMRLsrBVsJ8o,https://www.google.com/maps/place/?q=place_id:ChIJX3AJZuZ0-DkRMRLsrBVsJ8o,part_318,2026-09-20 20:23:34
Ketedal Purbo Primary School,School,Elementary school,Elementary school,712416,West Bengal Circle,South Bengal Region,Hooghly North Division,"Natibpur SO, Balaichak BO, Balpai BO",N/A,N/A,,,"MVQP+VC, Ketedal, West Bengal 712416",712416,22.6894444,87.8859925,ChIJ0W6iVcd1-DkRaYX0spNWzyM,https://www.google.com/maps/place/?q=place_id:ChIJ0W6iVcd1-DkRaYX0spNWzyM,part_318,2026-09-20 20:23:34
JOYRAMPUR NAZRUL VIDYAPITH,School,Educational institution,Educational institution,712416,West Bengal Circle,South Bengal Region,Hooghly North Division,"Natibpur SO, Balaichak BO, Balpai BO",N/A,N/A,4.8,4.0,"MVHG+6J2, Naupara, Marokhana, Naopara, West Bengal 712416",Naupara,22.678011899999998,87.87650889999999,ChIJqQmYyXl1-DkRQPyXeFIAaGo,https://www.google.com/maps/place/?q=place_id:ChIJqQmYyXl1-DkRQPyXeFIAaGo,part_318,2026-09-20 20:23:34
