business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
CHAMPADANGA SUPER MARKET,Supermarket,Supermarket,Supermarket,712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",N/A,N/A,4.0,,"RXHF+99X, West Bengal 712401",712408,22.828486599999998,87.97347309999999,ChIJXQZRRLNv-DkRCZwN-AHg_bY,https://www.google.com/maps/place/?q=place_id:ChIJXQZRRLNv-DkRCZwN-AHg_bY,part_318,2026-09-20 20:17:42
sibchak mini market,Supermarket,Supermarket,Supermarket,712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",N/A,N/A,3.6,,"QXRM+PG7, Abul Kalam Azad Rd, Shib Chak, West Bengal 712408",712408,22.7917886,87.9837828,ChIJ2R1rCiZw-DkR9aYycPIZRC4,https://www.google.com/maps/place/?q=place_id:ChIJ2R1rCiZw-DkR9aYycPIZRC4,part_318,2026-09-20 20:17:42
NEW GANDHASWERI BHANDER,Supermarket,Grocery store,Grocery store,712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",+91 83438 33880,N/A,5.0,,"Antpur, Jangipara, West Bengal 712424",712408,22.7721652,88.0442841,ChIJoaqgpXV7-DkRsxexx2gB46w,https://www.google.com/maps/place/?q=place_id:ChIJoaqgpXV7-DkRsxexx2gB46w,part_318,2026-09-20 20:17:42
SUJOY STORE,Supermarket,Grocery store,Grocery store,712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",+91 97358 90257,N/A,,,"Champadanga Dhangpara 712401 Champadanga, road, Piasara, West Bengal 712401",712408,22.822820099999998,87.9774075,ChIJF1TiB_Jv-DkRt5ThYEyelz0,https://www.google.com/maps/place/?q=place_id:ChIJF1TiB_Jv-DkRt5ThYEyelz0,part_318,2026-09-20 20:17:42
BECHARAM JANA & SON,Supermarket,Grocery store,Grocery store,712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",+91 74071 70452,N/A,,,"Pursura-Udaynarayanpur Rd, Dihibhursut, Hooghly, West Bengal 712412",712408,22.7778927,87.9827366,ChIJP2q1YLJx-DkRj9-SHkNiKb8,https://www.google.com/maps/place/?q=place_id:ChIJP2q1YLJx-DkRj9-SHkNiKb8,part_318,2026-09-20 20:17:42
Ma Kali Vander,Supermarket,Grocery store,Grocery store,712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",+91 90938 06662,N/A,,,"Naita Hooghly Naita, Road, Rajbalhat, West Bengal 712401",712408,22.801622899999998,88.0015166,ChIJHRplywVv-DkRUO6HzBRiXS4,https://www.google.com/maps/place/?q=place_id:ChIJHRplywVv-DkRUO6HzBRiXS4,part_318,2026-09-20 20:17:42
Dwarhatta Market,Supermarket,Market,Market,712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",N/A,N/A,4.1,,"Dwarhatta - Ramhatitala Rd, Dwarhatta, West Bengal 712403",712408,22.7948262,88.06113839999999,ChIJ0fAKcTJ7-DkRvpbijlXhiLo,https://www.google.com/maps/place/?q=place_id:ChIJ0fAKcTJ7-DkRvpbijlXhiLo,part_318,2026-09-20 20:17:43
Apna Mart Telinipara Bhadreswar | Supermarket & Grocery Delivery,Supermarket,Hypermarket,Hypermarket,712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",N/A,https://apnamart.in/,4.5,,"78, GT Rd, near Ankur Hospital, Telinipara, Mankundu, Bhadreswar, West Bengal 712125","Telinipara, Mankundu",22.8372653,88.3601091,ChIJ53PCCwCR-DkREbwlc0StuX8,https://www.google.com/maps/place/?q=place_id:ChIJ53PCCwCR-DkREbwlc0StuX8,part_318,2026-09-20 20:17:44
chapadanga RMC campus,Supermarket,Supermarket,Supermarket,712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",N/A,N/A,4.1,,"RXJC+5W8, Hooghly, Moktarpur, West Bengal 712401",712408,22.8304185,87.9723405,ChIJ7Q0O1kxu-DkRXCckUmLSx7o,https://www.google.com/maps/place/?q=place_id:ChIJ7Q0O1kxu-DkRXCckUmLSx7o,part_318,2026-09-20 20:17:44
Kunal Store,Supermarket,Gift shop,"Gift shop, Sports Accessories Wholesaler",712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",+91 70010 47686,N/A,4.0,3.0,"Tatul Tala, Champadanga, West Bengal 712401",712408,22.8366774,87.96996539999999,ChIJ0_lR2VJu-DkRAAAA0N6C5H0,https://www.google.com/maps/place/?q=place_id:ChIJ0_lR2VJu-DkRAAAA0N6C5H0,part_318,2026-09-20 20:17:44
More Supermarket- Sheoraphuli,Supermarket,Grocery store,Grocery store,712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",N/A,N/A,3.9,14.0,"14, GT Rd, Sheoraphuli, West Bengal 712223",Sheoraphuli,22.772848999999997,88.3284899,ChIJD3_CXACb-DkRYQxpVLeRUNQ,https://www.google.com/maps/place/?q=place_id:ChIJD3_CXACb-DkRYQxpVLeRUNQ,part_318,2026-09-20 20:17:44
Konnagar Super Market,Supermarket,Supermarket,"Supermarket, ATM",712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",N/A,N/A,4.0,368.0,"P82V+P49, Rammohan Place, Konnagar, West Bengal 712235","Rammohan Place, Konnagar",22.7017898,88.342869,ChIJSx3W5aGc-DkRHoPqdbtm2A4,https://www.google.com/maps/place/?q=place_id:ChIJSx3W5aGc-DkRHoPqdbtm2A4,part_318,2026-09-20 20:17:44
Panchanan Hardware,Supermarket,Store,"Store, Building materials supplier, Hardware store",712408,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rajbalhat SO, Dihibhursut BO, Guti BO",+91 94345 67573,N/A,3.4,28.0,"Champadanga, Ahilyabai Holkar Rd, Pursura, West Bengal 712401",712408,22.8415906,87.9672885,ChIJlVxThVZu-DkRqS1R0r4HisU,https://www.google.com/maps/place/?q=place_id:ChIJlVxThVZu-DkRqS1R0r4HisU,part_318,2026-09-20 20:17:44
