business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
B.K PAN MAHAL,Paan and FMCG Stall,Paan shop,Paan shop,695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",+91 91003 03437,N/A,5.0,,"Gokul Plots, Prajay Apartment, MCD HEIGHTS Vibhav's kitchen, s road, Venkata Ramana Colony, Hyderabad, Telangana 500085","9th Phase, Venkata Ramana Colony, Hafeezpet",17.4847496,78.38089599999999,ChIJQxl7eLWTyzsRxB3V1hlF5AM,https://www.google.com/maps/place/?q=place_id:ChIJQxl7eLWTyzsRxB3V1hlF5AM,part_312,2026-09-20 20:19:57
PVS Paan Mall,Paan and FMCG Stall,Paan shop,Paan shop,695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",+91 90008 84466,N/A,4.3,,"16-11-511-C-56, Shalivahana Nagar Colony, Dilsukhnagar, Hyderabad, Telangana 500036","Shalivahana Nagar Colony, Dilsukhnagar",17.3729182,78.521496,ChIJOdtFy_mYyzsRjPJ7ekE_-Us,https://www.google.com/maps/place/?q=place_id:ChIJOdtFy_mYyzsRjPJ7ekE_-Us,part_312,2026-09-20 20:19:57
Green City Pan Shop,Paan and FMCG Stall,Tobacco shop,Tobacco shop,695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",+91 95509 81065,N/A,3.8,,"C9Q7+XF4, Gachibowli-Miyapur Rd, Gachibowli, near Gachibowli X Road, Hyderabad, Telangana 500032","Rahmat Gulshan Colony, P Janardhan Reddy Nagar, Gachibowli",17.4398824,78.3637112,ChIJq9UTDeuTyzsRD7kCVahEzy0,https://www.google.com/maps/place/?q=place_id:ChIJq9UTDeuTyzsRD7kCVahEzy0,part_312,2026-09-20 20:19:57
Rajan's Paan Corner,Paan and FMCG Stall,Paan shop,Paan shop,695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",+91 97394 22924,N/A,5.0,906.0,"100 Feet Rd, opposite Croma, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008","HAL 2nd Stage, Indiranagar",12.970537499999999,77.6414544,ChIJN7zXxVoXrjsRhhRg50qCzkA,https://www.google.com/maps/place/?q=place_id:ChIJN7zXxVoXrjsRhhRg50qCzkA,part_312,2026-09-20 20:19:58
Pan Varieties Point,Paan and FMCG Stall,Restaurant,Restaurant,695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",+91 79052 37705,N/A,4.6,20.0,"2GR9+2H8, Phase -1, Peenya, Bengaluru, Karnataka 560015","Phase -1, Peenya",13.0400271,77.518946,ChIJt0wJA6Y9rjsRyF5iT93Bddo,https://www.google.com/maps/place/?q=place_id:ChIJt0wJA6Y9rjsRyF5iT93Bddo,part_312,2026-09-20 20:19:58
Paan Shop,Paan and FMCG Stall,Paan shop,Paan shop,695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",N/A,N/A,5.0,2.0,"XP4R+R4C, Ramagondanahalli, Whitefield, Bengaluru, Karnataka 560066","Ramagondanahalli, Whitefield",12.9570736,77.7402693,ChIJjbMbcgMTrjsRHKwUwxsPKPQ,https://www.google.com/maps/place/?q=place_id:ChIJjbMbcgMTrjsRHKwUwxsPKPQ,part_312,2026-09-20 20:19:58
Galaxy Pan Shop,Paan and FMCG Stall,Paan shop,Paan shop,695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",N/A,N/A,4.8,25.0,"Lokakshemam Charitable Trust, Valluvarkottam High Road, Nungambakkam Rama Lane, Kumarappa St, Chennai, Tamil Nadu 600034","Ponnangipuram, Nungambakkam",13.058457899999999,80.2427384,ChIJTcHG9pZnUjoRGA8JfhhQGZM,https://www.google.com/maps/place/?q=place_id:ChIJTcHG9pZnUjoRGA8JfhhQGZM,part_312,2026-09-20 20:19:58
Paan Singh,Paan and FMCG Stall,Paan shop,"Paan shop, Tobacco shop",695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",+91 88846 41658,N/A,4.8,23.0,"Ramamurthi Nagar Main Rd, opposite to Dmart, near union bank, Govindpura, Kasturi Nagar, Bengaluru, Karnataka 560016","Govindpura, Kasturi Nagar",13.012023899999999,77.667003,ChIJTdPpWiYRrjsR9gFRDg14REw,https://www.google.com/maps/place/?q=place_id:ChIJTdPpWiYRrjsR9gFRDg14REw,part_312,2026-09-20 20:19:58
Mishra pan shop,Paan and FMCG Stall,Paan shop,Paan shop,695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",+91 99627 87156,N/A,4.7,106.0,"T-101, 3rd Ave, 4th Ave, turning, Chennai, Tamil Nadu 600040","turning, Anna Nagar",13.0902256,80.2179823,ChIJPQaxS9ZlUjoRZw5ixVseWYg,https://www.google.com/maps/place/?q=place_id:ChIJPQaxS9ZlUjoRZw5ixVseWYg,part_312,2026-09-20 20:19:58
K Pan Masala Private Limited,Paan and FMCG Stall,Tobacco shop,Tobacco shop,695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",N/A,N/A,3.7,16.0,"Block B, Industrial Area, Bulandshahr Road Industrial Area, Ghaziabad, Uttar Pradesh 201009","Block B, Industrial Area, Bulandshahr Road Industrial Area",28.6499593,77.46168,ChIJBTHrV_zxDDkRQR6ENXaOE_o,https://www.google.com/maps/place/?q=place_id:ChIJBTHrV_zxDDkRQR6ENXaOE_o,part_312,2026-09-20 20:19:58
