business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jamalpur Excise Office,Offices,Government office,Government office,713408,West bengal circle,South Bengal Region,Burdwan Division,"Anguna BO, Bahadurpur BO, Berugram BO",N/A,N/A,5.0,,"32F2+C55, Uttar Mohanpur, West Bengal 713408",713408,23.0735198,88.0004907,ChIJ5R6no69D-DkRTSdavqsnL2M,https://www.google.com/maps/place/?q=place_id:ChIJ5R6no69D-DkRTSdavqsnL2M,part_320,2026-09-20 20:44:59
Jamalpur LIC SO,Offices,Government office,Government office,713408,West bengal circle,South Bengal Region,Burdwan Division,"Anguna BO, Bahadurpur BO, Berugram BO",N/A,N/A,1.0,,"3XFV+QWW, Jot Raghab, West Bengal 713408",713408,23.0741782,87.994453,ChIJsw0ZOgBD-DkRjQqJisXaSNU,https://www.google.com/maps/place/?q=place_id:ChIJsw0ZOgBD-DkRjQqJisXaSNU,part_320,2026-09-20 20:44:59
JAMALPUR BL&LRO OFFICE,Offices,Land reform institute,Land reform institute,713408,West bengal circle,South Bengal Region,Burdwan Division,"Anguna BO, Bahadurpur BO, Berugram BO",N/A,N/A,4.8,,"32F2+693, Uttar Mohanpur, West Bengal 713408",713408,23.0730149,88.00093079999999,ChIJUY40GSxD-DkRcJsV0WYl1XQ,https://www.google.com/maps/place/?q=place_id:ChIJUY40GSxD-DkRcJsV0WYl1XQ,part_320,2026-09-20 20:44:59
"Jamalpur, East Burdwan",Offices,Government office,Government office,713408,West bengal circle,South Bengal Region,Burdwan Division,"Anguna BO, Bahadurpur BO, Berugram BO",N/A,N/A,5.0,,"3X8Q+JW7, East, Jamalpur, Bardhaman, West Bengal 713408",East,23.0665445,87.989811,ChIJCeMKJGtD-DkRb979ti-LvRA,https://www.google.com/maps/place/?q=place_id:ChIJCeMKJGtD-DkRb979ti-LvRA,part_320,2026-09-20 20:44:59
Jamalpur CLRC,Offices,Education Councils & Boards Office,Education Councils & Boards Office,713408,West bengal circle,South Bengal Region,Burdwan Division,"Anguna BO, Bahadurpur BO, Berugram BO",N/A,N/A,3.7,,"3XFW+GMW, Uttar Mohanpur, West Bengal 713408",Uttar Mohanpur,23.0738657,87.99668779999999,ChIJA-bbm1xD-DkRbqqsoygFhLI,https://www.google.com/maps/place/?q=place_id:ChIJA-bbm1xD-DkRbqqsoygFhLI,part_320,2026-09-20 20:44:59
Jamalpur 1 Gram Panchayat,Offices,Local government office,Local government office,713408,West bengal circle,South Bengal Region,Burdwan Division,"Anguna BO, Bahadurpur BO, Berugram BO",N/A,N/A,4.3,,"3XFW+GHV, SH15, Uttar Mohanpur, West Bengal 713408",713408,23.0738654,87.9964373,ChIJ4zQ7kVxD-DkRAwgUtbu143I,https://www.google.com/maps/place/?q=place_id:ChIJ4zQ7kVxD-DkRAwgUtbu143I,part_320,2026-09-20 20:44:59
Jamalpur Telkupi Gouyou Ghat Office ᱡᱟᱢᱟᱞᱯᱩᱨ ᱛᱮᱹᱞᱠᱩᱯᱤ ᱜᱟᱹᱭᱟᱹ ᱜᱷᱟᱴ ᱚᱯᱷᱤᱥ জামালপুর তেলকুপি গৌয়ৌ ঘাট অফিস,Offices,Religious destination,Religious destination,713408,West bengal circle,South Bengal Region,Burdwan Division,"Anguna BO, Bahadurpur BO, Berugram BO",N/A,N/A,5.0,1.0,"3XFV+M4, Jot Raghab, West Bengal 713408",713408,23.074219199999998,87.9928456,ChIJRfFSGQBD-DkRB7e1WwM0rMM,https://www.google.com/maps/place/?q=place_id:ChIJRfFSGQBD-DkRB7e1WwM0rMM,part_320,2026-09-20 20:44:59
Jamalpur office,Offices,Warehouse,Warehouse,713408,West bengal circle,South Bengal Region,Burdwan Division,"Anguna BO, Bahadurpur BO, Berugram BO",N/A,N/A,,,"3XCQ+8W4, Railway Office Road, Jamalpur, Jot Raghab, Bihar 713408",713408,23.0707699,87.9898393,ChIJIbFvFwBD-DkRHrb3vr90YlY,https://www.google.com/maps/place/?q=place_id:ChIJIbFvFwBD-DkRHrb3vr90YlY,part_320,2026-09-20 20:44:59
WBSEDCL Jamalpur Customer Care,Offices,Offices,Offices,713408,West bengal circle,South Bengal Region,Burdwan Division,"Anguna BO, Bahadurpur BO, Berugram BO",+91 1800 345 3201,N/A,2.6,,"WBSEDCL Building, SH15, Halara, West Bengal 713408",713408,23.073770099999997,88.00325099999999,ChIJ-2hwalBD-DkR8dU6b62AgSU,https://www.google.com/maps/place/?q=place_id:ChIJ-2hwalBD-DkR8dU6b62AgSU,part_320,2026-09-20 20:44:59
Jamalpur Block Seed Farm(B.S.F),Offices,Government office,Government office,713408,West bengal circle,South Bengal Region,Burdwan Division,"Anguna BO, Bahadurpur BO, Berugram BO",N/A,N/A,4.8,,"427H+7GP, Jamalpur, West Bengal 713124",713408,23.1132202,88.02884019999999,ChIJe8hmiD5b-DkR9gqM7u2iRtU,https://www.google.com/maps/place/?q=place_id:ChIJe8hmiD5b-DkR9gqM7u2iRtU,part_320,2026-09-20 20:44:59
