business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Digital Web Infotech,SEO Agencies,Internet marketing service,"Internet marketing service, Website designer",711201,West Bengal Circle,South Bengal Region,Howrah Division,"Bally SO, Bally Goswami Rd SO, MBRoad SO",+91 97483 58587,https://www.digitalwebinfotech.in/,4.5,,"15/1/N, Satish Chakraborty Ln, Bally, Howrah, West Bengal 711201",Bally,22.6458515,88.34186749999999,ChIJ8Wv3bj2d-DkR4-JGMdcGrxs,https://www.google.com/maps/place/?q=place_id:ChIJ8Wv3bj2d-DkR4-JGMdcGrxs,part_316,2026-09-20 20:20:46
TECHIBO | Digital Marketing,SEO Agencies,Internet marketing service,"Internet marketing service, Marketing agency, Marketing consultant, Website designer",711201,West Bengal Circle,South Bengal Region,Howrah Division,"Bally SO, Bally Goswami Rd SO, MBRoad SO",+91 79808 06295,https://www.techibo.com/,5.0,,"63 4, Bijay Krishna St, Kotrung, Uttarpara, West Bengal 712258",Kotrung,22.666655799999997,88.3487567,ChIJyz-arq1xAjoR5e_jo3AKUbg,https://www.google.com/maps/place/?q=place_id:ChIJyz-arq1xAjoR5e_jo3AKUbg,part_316,2026-09-20 20:20:46
Brand Blueprint - Branding and Marketing Service | Best Website Designer in Kolkata,SEO Agencies,Website designer,Website designer,711201,West Bengal Circle,South Bengal Region,Howrah Division,"Bally SO, Bally Goswami Rd SO, MBRoad SO",N/A,https://brandblueprint.co.in/,5.0,,"2, Girish Ghosh Rd, Belur Math, Belur, Howrah, West Bengal 711202","Belur Math, Belur",22.625661299999997,88.3531758,ChIJPZYHBziMHK4Rvf92OubSy90,https://www.google.com/maps/place/?q=place_id:ChIJPZYHBziMHK4Rvf92OubSy90,part_316,2026-09-20 20:20:46
SphereDesk Systems,SEO Agencies,Internet marketing service,"Internet marketing service, Information services, Website designer",711201,West Bengal Circle,South Bengal Region,Howrah Division,"Bally SO, Bally Goswami Rd SO, MBRoad SO",+91 98753 41310,https://spheredesk.online/,4.9,,"Panchanantala Rd, Bally, Howrah, Kolkata, West Bengal 711205",Bally,22.6516062,88.3453028,ChIJk-0MwR6d-DkRWw9MclrSJ2o,https://www.google.com/maps/place/?q=place_id:ChIJk-0MwR6d-DkRWw9MclrSJ2o,part_316,2026-09-20 20:20:46
DM EDUTECH,SEO Agencies,Internet marketing service,"Internet marketing service, Website designer",711201,West Bengal Circle,South Bengal Region,Howrah Division,"Bally SO, Bally Goswami Rd SO, MBRoad SO",+91 83348 81463,N/A,5.0,,"1/1, Narendra Nath Mukherjee Rd, Belur, Bally, Howrah, West Bengal 711201","Belur, Bally",22.6412326,88.3460257,ChIJD3mccSad-DkRP2UDYN6BGUA,https://www.google.com/maps/place/?q=place_id:ChIJD3mccSad-DkRP2UDYN6BGUA,part_316,2026-09-20 20:20:46
Webattach web development company,SEO Agencies,Website designer,Website designer,711201,West Bengal Circle,South Bengal Region,Howrah Division,"Bally SO, Bally Goswami Rd SO, MBRoad SO",+91 70039 53903,https://webattach.in/,5.0,,"90, Parmar Rd, Shantinagar, Uttarpara, West Bengal 712232",Shantinagar,22.6713275,88.3436318,ChIJ3fbVFHid-DkRGEm_wxCZErA,https://www.google.com/maps/place/?q=place_id:ChIJ3fbVFHid-DkRGEm_wxCZErA,part_316,2026-09-20 20:20:46
IP CHOICE,SEO Agencies,Website designer,Website designer,711201,West Bengal Circle,South Bengal Region,Howrah Division,"Bally SO, Bally Goswami Rd SO, MBRoad SO",+91 98306 79725,https://ipchoice.in/,5.0,,"205/3/1, Maharaja Nand Kumar Rd, near Gokul Babur Bazar (Central Modern School, Baranagar, Kolkata, Baranagar, West Bengal 700036",Baranagar,22.6401942,88.36658899999999,ChIJTfAyZdWd-DkRsNkMHH4yXA8,https://www.google.com/maps/place/?q=place_id:ChIJTfAyZdWd-DkRsNkMHH4yXA8,part_316,2026-09-20 20:20:46
Debrup Ganguly - SEO Consultant | Content Marketer,SEO Agencies,Internet marketing service,"Internet marketing service, Copywriting service, Service establishment, Consultant, Marketing consultant",711201,West Bengal Circle,South Bengal Region,Howrah Division,"Bally SO, Bally Goswami Rd SO, MBRoad SO",+91 84207 08420,https://bit.ly/3k36vFa,5.0,,"Debrup Ganguly - SEO Consultant | Content Marketer, 711201, India",711201,22.3916348,88.3277241,ChIJ96RBtN9V-WIRj4ycTgqQvFo,https://www.google.com/maps/place/?q=place_id:ChIJ96RBtN9V-WIRj4ycTgqQvFo,part_316,2026-09-20 20:20:46
GrowDigitalOne,SEO Agencies,Marketing agency,"Marketing agency, Advertising agency",711201,West Bengal Circle,South Bengal Region,Howrah Division,"Bally SO, Bally Goswami Rd SO, MBRoad SO",+91 82401 40821,https://www.palitsoftware.com/,5.0,,"Metro, Top Floor , Young Association Club Bally , Opposite Babua Tea Shop , D.C . Neogi Road ,North Ghoshpara Bally, Halt Station Nearest, Dakshineswar, Howrah, West Bengal 711227","Kalitala, Dakshineswar",22.6490242,88.3377836,ChIJBbArYNyd-DkRAN83TwoWe48,https://www.google.com/maps/place/?q=place_id:ChIJBbArYNyd-DkRAN83TwoWe48,part_316,2026-09-20 20:20:46
WindGlow Solution,SEO Agencies,Marketing agency,Marketing agency,711201,West Bengal Circle,South Bengal Region,Howrah Division,"Bally SO, Bally Goswami Rd SO, MBRoad SO",N/A,https://windglowsolution.com/,5.0,,"J8HX+FMJ, Shib Chandra Chatterjee St, Belur, Liluah, Howrah, West Bengal 711202","Belur, Liluah",22.628721799999997,88.34914529999999,ChIJh4PP9bFEcIoR4T-BHfMcYIw,https://www.google.com/maps/place/?q=place_id:ChIJh4PP9bFEcIoR4T-BHfMcYIw,part_316,2026-09-20 20:20:46
