business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
PRIYANKA ELECTRIC AND ELECTRONICS,Electrician,Electrician,"Electrician, Air conditioning repair service",700131,West Bengal Circle,Kolkata Region,Barasat Division,"Newbarrackpur SO, Aharampur BO, Kodalia Agapur BO",+91 87776 80013,N/A,4.3,,"Priyanka Electrical Electronics, West Kodalia, Agapur, New Barrackpur, Kolkata, West Bengal 700131","West Kodalia, Agapur, New Barrackpur",22.6824953,88.43826059999999,ChIJnXQ_viCf-DkRjbT6X9eyhkc,https://www.google.com/maps/place/?q=place_id:ChIJnXQ_viCf-DkRjbT6X9eyhkc,part_315,2026-09-20 20:20:18
Light House,Electrician,Electrician,Electrician,700131,West Bengal Circle,Kolkata Region,Barasat Division,"Newbarrackpur SO, Aharampur BO, Kodalia Agapur BO",+91 70596 36890,N/A,4.8,,"14 No, Lenin Sarani, Kodalia, New Barrackpur, Kolkata, West Bengal 700110","Kodalia, New Barrackpur",22.6847478,88.4329987,ChIJSUUL8GKf-DkRvbV9C-Z_Aw4,https://www.google.com/maps/place/?q=place_id:ChIJSUUL8GKf-DkRvbV9C-Z_Aw4,part_315,2026-09-20 20:20:18
TRINATH ELECTRICAL AND REFRIGERATION,Electrician,Electrical repair shop,Electrical repair shop,700131,West Bengal Circle,Kolkata Region,Barasat Division,"Newbarrackpur SO, Aharampur BO, Kodalia Agapur BO",N/A,N/A,5.0,,"Bhattacharya Pada, East Kodalia, New Barrackpur, Kolkata, West Bengal 700131","Bhattacharya Pada, East Kodalia, New Barrackpur",22.6803118,88.442523,ChIJBWPBfACf-DkRCkdamEaR5X0,https://www.google.com/maps/place/?q=place_id:ChIJBWPBfACf-DkRCkdamEaR5X0,part_315,2026-09-20 20:20:18
Shrialaya Electric,Electrician,Electrical supply store,Electrical supply store,700131,West Bengal Circle,Kolkata Region,Barasat Division,"Newbarrackpur SO, Aharampur BO, Kodalia Agapur BO",+91 72787 55320,N/A,5.0,,"81/2, saptagram station road, Kodalia, New Barrackpur, Kolkata, West Bengal 700158","Kodalia, New Barrackpur",22.677818199999997,88.4353301,ChIJlavsCAGf-DkRwa7oMQRAySE,https://www.google.com/maps/place/?q=place_id:ChIJlavsCAGf-DkRwa7oMQRAySE,part_315,2026-09-20 20:20:18
KAJAL ELECTRIC,Electrician,Repair service,Repair service,700131,West Bengal Circle,Kolkata Region,Barasat Division,"Newbarrackpur SO, Aharampur BO, Kodalia Agapur BO",N/A,N/A,5.0,,"417/1, West Kodalia, Kodalia, New Barrackpur, Kolkata, West Bengal 700131","West Kodalia, Kodalia, New Barrackpur",22.6775575,88.43477879999999,ChIJa3V2Wzqf-DkR_FtUBv6Jx5g,https://www.google.com/maps/place/?q=place_id:ChIJa3V2Wzqf-DkR_FtUBv6Jx5g,part_315,2026-09-20 20:20:18
P-S-M ELECTRICAL SERVISES,Electrician,Electronics repair shop,Electronics repair shop,700131,West Bengal Circle,Kolkata Region,Barasat Division,"Newbarrackpur SO, Aharampur BO, Kodalia Agapur BO",+91 98833 07078,N/A,4.0,,"317/1, Khare Math Road, New Barrackpur, Kolkata, West Bengal 700110",New Barrackpur,22.6888048,88.4318103,ChIJNzfAQRyf-DkRYFOhB2LkCow,https://www.google.com/maps/place/?q=place_id:ChIJNzfAQRyf-DkRYFOhB2LkCow,part_315,2026-09-20 20:20:18
Star Electric & Electronics,Electrician,Electronics store,Electronics store,700131,West Bengal Circle,Kolkata Region,Barasat Division,"Newbarrackpur SO, Aharampur BO, Kodalia Agapur BO",+91 98838 13411,N/A,4.4,,"27/B, Ghoshpurkur road, Lenin Sarani, West Kodalia, Ghosh Pukur, New Barrackpur, Kolkata, West Bengal 700131","West Kodalia, Ghosh Pukur, New Barrackpur",22.684331099999998,88.4336131,ChIJR0ZYhd2e-DkRUk3o-GnZw8s,https://www.google.com/maps/place/?q=place_id:ChIJR0ZYhd2e-DkRUk3o-GnZw8s,part_315,2026-09-20 20:20:18
Sarkar electric,Electrician,Electrical engineer,Electrical engineer,700131,West Bengal Circle,Kolkata Region,Barasat Division,"Newbarrackpur SO, Aharampur BO, Kodalia Agapur BO",N/A,N/A,,,"Baghajati Road, New Barrackpur, West Bengal 700131",New Barrackpur,22.6934078,88.4423078,ChIJY0hGrHOf-DkRAEAMWMqyqzU,https://www.google.com/maps/place/?q=place_id:ChIJY0hGrHOf-DkRAEAMWMqyqzU,part_315,2026-09-20 20:20:18
Electrician Wala,Electrician,Electrician,Electrician,700131,West Bengal Circle,Kolkata Region,Barasat Division,"Newbarrackpur SO, Aharampur BO, Kodalia Agapur BO",N/A,https://sites.google.com/view/electrician-wala/home,4.8,,"Md Kalachand Rd, Ghola, Sodepur, Panihati, West Bengal 700111","Ghola, Sodepur",22.6909741,88.4084139,ChIJC3tz_sSf-DkR9LjxyEI1K88,https://www.google.com/maps/place/?q=place_id:ChIJC3tz_sSf-DkR9LjxyEI1K88,part_315,2026-09-20 20:20:19
Biswajit Electrician,Electrician,Electrician,Electrician,700131,West Bengal Circle,Kolkata Region,Barasat Division,"Newbarrackpur SO, Aharampur BO, Kodalia Agapur BO",N/A,N/A,,,"Vil- talbanda p.o- jugbaria-p.s- new barrackpur pin-700110, Nabo kamar gati colony, Talbanda, West Bengal 700110",Talbanda,22.698389799999998,88.4283801,ChIJQfcG8D6f-DkRoQhS9-MS-5c,https://www.google.com/maps/place/?q=place_id:ChIJQfcG8D6f-DkRoQhS9-MS-5c,part_315,2026-09-20 20:20:19
