business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ADHIKARY TRADING CO.,Importers,Wholesaler,"Wholesaler, Supplier",700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 72788 52368,https://www.facebook.com/riju.adhikary.37622?mibextid=ZbWKwL,5.0,17.0,"CHORIAL MITHAPUKUR, Budge Budge, Kolkata, Raypur, West Bengal 700137",Budge Budge,22.4549327,88.1987413,ChIJX8B8lER9AjoRW64cPCifx0c,https://www.google.com/maps/place/?q=place_id:ChIJX8B8lER9AjoRW64cPCifx0c,part_315,2026-09-20 20:25:19
UPSWING VENTURES PVT LTD,Importers,Import export company,Import export company,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 98360 00668,https://upswingventure.com/,4.8,11.0,"PS, Kalitala, Chata Kalikapur, Asuti, Kolkata, West Bengal 700140","Kalitala, Chata Kalikapur",22.457774699999998,88.23850809999999,ChIJHRZhsNV9AjoRU2U2MvKpRw0,https://www.google.com/maps/place/?q=place_id:ChIJHRZhsNV9AjoRU2U2MvKpRw0,part_315,2026-09-20 20:25:19
GSKR Inc.,Importers,Tea Manufacturer,Tea Manufacturer,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",N/A,N/A,4.3,32.0,"64, Maulana Azad Rd, Joychandipur, Budge Budge, Kolkata, West Bengal 700137","Joychandipur, Budge Budge",22.4813692,88.1745499,ChIJx78XjYJ9AjoRbSrai3RNMyw,https://www.google.com/maps/place/?q=place_id:ChIJx78XjYJ9AjoRbSrai3RNMyw,part_315,2026-09-20 20:25:19
Mundial Export Import Finame Pvt Ltd,Importers,Petrol Pump,Petrol Pump,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",N/A,http://www.imc.net.in/,3.9,20.0,"F5QJ+RW9, Joychandipur, Budge Budge, Kolkata, West Bengal 700137","Joychandipur, Budge Budge",22.4895349,88.1823635,ChIJCfysW5N9AjoRayu08DIes0M,https://www.google.com/maps/place/?q=place_id:ChIJCfysW5N9AjoRayu08DIes0M,part_315,2026-09-20 20:25:19
S.M Traders Pure & Safe Drinking Water,Importers,Drinking water supplier,Drinking water supplier,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 80171 13683,N/A,,,"S K, 4/2/k, Shahid Khudiram Bose Rd, Nandanpur, Budge Budge, Kolkata, West Bengal 700137","Nandanpur, Budge Budge",22.4842318,88.1929244,ChIJpcjyHHJ9AjoRhxX4rfthd0k,https://www.google.com/maps/place/?q=place_id:ChIJpcjyHHJ9AjoRhxX4rfthd0k,part_315,2026-09-20 20:25:19
Sunshine Petrochem,Importers,Wholesaler,Wholesaler,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 90889 96606,N/A,5.0,1.0,"26/5/E/5/4, AM Ghosh Rd, Samanta Para, Budge Budge, Kolkata, West Bengal 700137","Samanta Para, Budge Budge",22.471922199999998,88.189375,ChIJA_QLm6t9AjoRhBPPUb4T0Oc,https://www.google.com/maps/place/?q=place_id:ChIJA_QLm6t9AjoRhBPPUb4T0Oc,part_315,2026-09-20 20:25:19
R K Enterprise (Rubber Factory),Importers,Rubber products supplier,Rubber products supplier,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 98304 46807,http://www.enterkolkata.com/,4.7,6.0,"14/A, Kapalipara 1st Ln, Nishchintapur, Budge Budge, Kolkata, West Bengal 700137","Nishchintapur, Budge Budge",22.4700454,88.16813169999999,ChIJXaU00JaHAjoR-09dJTBmpMQ,https://www.google.com/maps/place/?q=place_id:ChIJXaU00JaHAjoR-09dJTBmpMQ,part_315,2026-09-20 20:25:19
Garam Vat Home Delivery,Importers,Food products supplier,Food products supplier,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",N/A,N/A,3.9,11.0,"47/a, 47, Adhar Das Rd, Shyampur, Budge Budge, Maheshtala, West Bengal 700137","Shyampur, Budge Budge",22.489597099999997,88.1932839,ChIJkzpfx3l9AjoRhvf65ePc7eQ,https://www.google.com/maps/place/?q=place_id:ChIJkzpfx3l9AjoRhvf65ePc7eQ,part_315,2026-09-20 20:25:19
SARKAR BAMBOO SUPPLIER,Importers,Construction Material Wholesaler,Construction Material Wholesaler,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",N/A,N/A,4.3,,"P.O, Shamukpota, P.S, Dist, Kanganbaria, Bishnupur, Kolkata, West Bengal 743503","Dist, Kanganbaria",22.4055188,88.2429289,ChIJna8xlotjAjoReVjT2QVogVg,https://www.google.com/maps/place/?q=place_id:ChIJna8xlotjAjoReVjT2QVogVg,part_315,2026-09-20 20:25:20
Steel Barrel pvt. Ltd.,Importers,Manufacturer,Manufacturer,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",N/A,http://www.steelbarrelanddrum.com/,,,"New B, D2/2, B T Road, Banerjee Hat, Budge Budge, Kolkata, Maheshtala, West Bengal 700139","Banerjee Hat, Budge Budge",22.502796,88.24055299999999,ChIJBWOtJfN9AjoRAs6yYL-JrU0,https://www.google.com/maps/place/?q=place_id:ChIJBWOtJfN9AjoRAs6yYL-JrU0,part_315,2026-09-20 20:25:21
Indane - P K Music Stores,Importers,Gas Agency,"Gas Agency, Gas cylinders supplier, Gas shop, LPG conversion",700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 98300 94343,https://locator.iocl.com/indane/indane-p-k-music-stores-gas-agency-deshbandhu-kolkata-211575/Home?utm_source=locator&utm_medium=googleplaces,3.4,13.0,"Deshbandhu near Fire, No 11/3 Chittaranjan Das Road, Deshpriya Jatindra Mohan Rd, Kolkata, West Bengal 700137","Joychandipur, Budge Budge",22.4873363,88.18710589999999,ChIJPZG8w599AjoRRjZCvQBcT2E,https://www.google.com/maps/place/?q=place_id:ChIJPZG8w599AjoRRjZCvQBcT2E,part_315,2026-09-20 20:25:21
