business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ripan Plumber,Plumber,Plumber,Plumber,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 98363 21766,N/A,5.0,,"Banikantha Nagar, Block B, Barasat, West Bengal 700125","Banikantha Nagar, Block B, Barasat",22.723473199999997,88.4988213,ChIJExyvzjuj-DkRdBKu0ClSpi8,https://www.google.com/maps/place/?q=place_id:ChIJExyvzjuj-DkRdBKu0ClSpi8,part_315,2026-09-20 20:17:58
"Plumbing Hub, Noapara, Barasat",Plumber,Plumber,Plumber,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",N/A,N/A,,,"Noapara, Vivekananda Rd, Barasat, West Bengal 700125",Barasat,22.726635599999998,88.48592,ChIJAdq55zaj-DkRuKwc62mU7bY,https://www.google.com/maps/place/?q=place_id:ChIJAdq55zaj-DkRuKwc62mU7bY,part_315,2026-09-20 20:17:58
Uddin Plumber,Plumber,Plumber,"Plumber, Water works",700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",N/A,https://uddinplumber.site.je/,,,"Bora, BB Rd, Barasat, Pirgacha, Bara P, West Bengal 743294",Barasat,22.721055999999997,88.5240079,ChIJ94zvkuqJZQ0RvPejpXSn96k,https://www.google.com/maps/place/?q=place_id:ChIJ94zvkuqJZQ0RvPejpXSn96k,part_315,2026-09-20 20:17:58
Lakshmi Narayan Plumber,Plumber,Building materials store,Building materials store,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 83358 08852,N/A,5.0,,"PF3Q+PJP, 9, Barasat, Kolkata, West Bengal 700124",Barasat,22.7043316,88.48910529999999,ChIJ41qxZPeh-DkRP54SMsBHa2Y,https://www.google.com/maps/place/?q=place_id:ChIJ41qxZPeh-DkRP54SMsBHa2Y,part_315,2026-09-20 20:17:58
R.A.ENTRPRISE,Plumber,Plumber,Plumber,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 86478 62006,N/A,5.0,,"Deara pashimpara, West Bengal 700135",Bhatenda,22.6411433,88.4900978,ChIJhar_t8ah-DkR1gJXp9E_GQ4,https://www.google.com/maps/place/?q=place_id:ChIJhar_t8ah-DkR1gJXp9E_GQ4,part_315,2026-09-20 20:17:58
Hassan plumbing work's,Plumber,Plumber,Plumber,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",N/A,N/A,,,"Madhyamgram, Birpur, Kolkata, West Bengal 700155",Madhyamgram,22.6708991,88.48278189999999,ChIJ5Xl1j6yh-DkRRhILxM3xhIc,https://www.google.com/maps/place/?q=place_id:ChIJ5Xl1j6yh-DkRRhILxM3xhIc,part_315,2026-09-20 20:17:58
Ohm Services,Plumber,Plumber,"Plumber, Appliance repair service, Electric motor repair shop, Electrical repair shop, Pump supplier, Small appliance repair service",700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 93392 71371,N/A,4.9,,"Netagi market, Ghola Kachary Rd, Sukanta Pally, Barsaat, Kolkata, West Bengal 700124","Sukanta Pally, Barsaat",22.7111298,88.4943821,ChIJ6eXiUHyj-DkRIvxG0qAU66I,https://www.google.com/maps/place/?q=place_id:ChIJ6eXiUHyj-DkRIvxG0qAU66I,part_315,2026-09-20 20:17:58
DAS PLUMBING SOLUTION,Plumber,Plumber,Plumber,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 99037 77282,https://www.dasplumbing.in/,4.6,,"87, Seth Bagan Rd, Lalgarh Colony, Bahiragath Colony, Jawpur, Dum Dum, Kolkata, South Dumdum, West Bengal 700030","Lalgarh Colony, Bahiragath Colony, Jawpur, Dum Dum",22.6163469,88.3992433,ChIJVSLOUjid-DkRIN22NWZSk3I,https://www.google.com/maps/place/?q=place_id:ChIJVSLOUjid-DkRIN22NWZSk3I,part_315,2026-09-20 20:17:58
Classic plumbing centre,Plumber,Plumber,Plumber,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",N/A,N/A,,,"MFCP+Q73, Birpur Road, Madhyamgram, Palitpara, Birpur, West Bengal 700155",Madhyamgram,22.6718756,88.4856657,ChIJ-8xTJACh-DkRzIoEqovcu74,https://www.google.com/maps/place/?q=place_id:ChIJ-8xTJACh-DkRzIoEqovcu74,part_315,2026-09-20 20:17:58
Barasat Plumbing & Hardware Hub,Plumber,Plumber,"Plumber, Pipe supplier, Hardware store",700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",N/A,N/A,,,"Champadali Rd, Champadali, Barasat, Kolkata, West Bengal 700129","Champadali, Barasat",22.720075299999998,88.488327,ChIJH9tcF2Sj-DkR7JEoX-23zWg,https://www.google.com/maps/place/?q=place_id:ChIJH9tcF2Sj-DkR7JEoX-23zWg,part_315,2026-09-20 20:17:58
