business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Golden Aster Event | wedding planner in kolkata ,event planning company,birthday decoration, wedding planner",Corporate Event Planner,Event planner,"Event planner, Event management company, Wedding planner",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 87770 26045,https://www.goldenaster.in/,4.9,58.0,"Bobbyautomobiles, Topsia Rd, Seal Lane, Tangra, Kolkata, West Bengal 700046","Seal Lane, Tangra",22.5421344,88.3831082,ChIJl4wxW1XNnq8RUlGkR8btDNU,https://www.google.com/maps/place/?q=place_id:ChIJl4wxW1XNnq8RUlGkR8btDNU,part_314,2026-09-20 20:17:23,4496
Divine Times,Corporate Event Planner,Event planner,"Event planner, Event management company, Party planner, Wedding planner",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 90512 19427,http://www.divinetimesevents.com/,5.0,20.0,"Ground, 4/28, opposite to Nandi Bagan, Nandi Bagan, Jadavgarh Colony, Haltu, Kolkata, West Bengal 700078","Nandi Bagan, Jadavgarh Colony, Haltu",22.5078384,88.38310179999999,ChIJLwr-TQJxAjoRWym1oon8Q4w,https://www.google.com/maps/place/?q=place_id:ChIJLwr-TQJxAjoRWym1oon8Q4w,part_314,2026-09-20 20:17:23,4497
Siddhi Vinayak Events Private Limited,Corporate Event Planner,Event management company,Event management company,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 90628 22623,https://www.siddhivinayakevent.com/,3.7,3.0,"Ground Floor, 18/1 Kalikapur, Canal Rd, near Kalikapur Road, Spencers, Kolkata, West Bengal 700099","Purbachal Kalitala, Spencers, Haltu",22.502934,88.39925769999999,ChIJWyJFEQ5xAjoREWVP8NiYsvM,https://www.google.com/maps/place/?q=place_id:ChIJWyJFEQ5xAjoREWVP8NiYsvM,part_314,2026-09-20 20:17:23,4498
"Lotus Creation - Best Corporate Event Management Company in Kolkata, West Bengal | Exhibition Stall Design Company",Corporate Event Planner,Event management company,Event management company,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 99039 54695,https://lotuscreation.in/,4.5,20.0,"1st floor, Chandrima apartment, 67, Rajdanga Chakraborty Para, Sector A, East Kolkata Twp, Kolkata, West Bengal 700107","Rajdanga Chakraborty Para, Sector A, East Kolkata Township",22.516418299999998,88.39109599999999,ChIJVZ9B-Q5xAjoRSjtv227nKnQ,https://www.google.com/maps/place/?q=place_id:ChIJVZ9B-Q5xAjoRSjtv227nKnQ,part_314,2026-09-20 20:17:23,4499
Evenue Events,Corporate Event Planner,Event management company,Event management company,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 99035 92601,N/A,5.0,2.0,"17, Gold Park Rd, Rajdanga, East Kolkata Twp, Kolkata, West Bengal 700107","Rajdanga, East Kolkata Township",22.5164673,88.3888857,ChIJHTywgARxAjoRsHgFM68jAik,https://www.google.com/maps/place/?q=place_id:ChIJHTywgARxAjoRsHgFM68jAik,part_314,2026-09-20 20:17:23,4500
Apna Events,Corporate Event Planner,Event management company,Event management company,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 82749 28642,N/A,4.9,,"42/A, Sarat Ghosh Garden Rd, Dhakuria, Kolkata, West Bengal 700031",Dhakuria,22.5125198,88.3735688,ChIJH_aCjp1xAjoR9cGqYW8O81g,https://www.google.com/maps/place/?q=place_id:ChIJH_aCjp1xAjoR9cGqYW8O81g,part_314,2026-09-20 20:17:24,4501
Shuvpratim Event Management.,Corporate Event Planner,Event management company,Event management company,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 98319 07621,N/A,5.0,,"26/1F Bedia Danga 2nd Lane, Dr G S Bose Rd, near Jahajbari, Kolkata, West Bengal 700039","Nator Park, Kasba",22.524646,88.377276,ChIJ8WLLIWB3AjoRH3JsMz-10jk,https://www.google.com/maps/place/?q=place_id:ChIJ8WLLIWB3AjoRH3JsMz-10jk,part_314,2026-09-20 20:17:25,4502
HUVA MANAGEMENT (OPC) PVT.LTD,Corporate Event Planner,Event management company,Event management company,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",N/A,N/A,4.9,,"25,B, East Rajapur, Santoshpur, Kolkata, West Bengal 700075","East Rajapur, Santoshpur",22.486884,88.3863995,ChIJ3YI0q-ZxAjoRmRzbqm_Wn50,https://www.google.com/maps/place/?q=place_id:ChIJ3YI0q-ZxAjoRmRzbqm_Wn50,part_314,2026-09-20 20:17:25,4503
RinSan-Events and Entertainment Company,Corporate Event Planner,Event management company,Event management company,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 82404 95113,https://www.facebook.com/%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD-105245638525582/,5.0,,"4/1 Green Park Project, Green park, Harimohan Dutta Road, Dum Dum Cantonment, Kolkata, West Bengal 700028","Dum Dum Cantonment, Rajbari, Dum Dum",22.6394172,88.4147459,ChIJm7_Ne12f-DkRrSKblQM3hPw,https://www.google.com/maps/place/?q=place_id:ChIJm7_Ne12f-DkRrSKblQM3hPw,part_314,2026-09-20 20:17:25,4504
Nishant Sharma Events Pvt. Ltd.,Corporate Event Planner,Event planner,"Event planner, Service establishment, Event management company, Restaurant supply store, Stage lighting equipment supplier, Tent House Supplier, Wedding photographer, Wedding planner, Wedding service",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",N/A,N/A,4.9,,"Nishant Sharma Events Pvt. Ltd., 700078, India",700078,23.632886,67.1829047,ChIJ9zGVYeRlgY8RQptD8X9nqFI,https://www.google.com/maps/place/?q=place_id:ChIJ9zGVYeRlgY8RQptD8X9nqFI,part_314,2026-09-20 20:17:25,4505
