business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
11 MOTORS | Luxury Car Repair & Service,Automotive Service Chains,Auto repair shop,"Auto repair shop, Auto air conditioning service, Auto body shop, Auto electrical service, Auto painting, Auto spring shop, Brake shop, Diesel engine repair service, Oil change service, Transmission shop",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 93391 10111,https://www.11motors.com/,4.7,,"Gate No. 1 & 2, Between Stadium, Salt Lake Stadium Rd, JC Block, Sector 3, Bidhannagar, Kolkata, West Bengal 700106","JC Block, Sector 3, Bidhannagar",22.5713641,88.4095658,ChIJx63llj51AjoRH_fI-vuCK7o,https://www.google.com/maps/place/?q=place_id:ChIJx63llj51AjoRH_fI-vuCK7o,part_314,2026-09-20 20:17:11
Dial Automobiles Pvt. Ltd. | Maruti Suzuki Arena & Nexa Authorized Service Centre Kolkata | Nexa service centre Kolkata,Automotive Service Chains,Auto repair shop,"Auto repair shop, Auto electrical service, Auto parts store, Mechanic, Oil change service, Wheel alignment service",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 78902 32778,https://www.marutisuzuki.com/service-workshop-in-kolkata,4.4,,"162A, Peary Mohan Roy Rd, Chetla, Kolkata, West Bengal 700027",Chetla,22.512133199999997,88.33659589999999,ChIJJRBBsLNwAjoRRbCjCnus9OU,https://www.google.com/maps/place/?q=place_id:ChIJJRBBsLNwAjoRRbCjCnus9OU,part_314,2026-09-20 20:17:11
Alam Service Centre,Automotive Service Chains,Motorcycle shop,Motorcycle shop,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 99038 47803,N/A,4.6,,"A/1,Sammilani Park,Near Opposite Mangalik Appartment, Survey Park, Kolkata, West Bengal 700075","Survey Park, Santoshpur",22.486494999999998,88.3879451,ChIJi20IQzlxAjoRHYJ3DSfxZz8,https://www.google.com/maps/place/?q=place_id:ChIJi20IQzlxAjoRHYJ3DSfxZz8,part_314,2026-09-20 20:17:11
Automotive Supply Agency,Automotive Service Chains,Auto parts store,"Auto parts store, Appliance parts supplier, Industrial Spares & Products Wholesaler, Truck parts supplier",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 33 2236 0055,N/A,5.0,2.0,"7, Ground, Ananda Bazar Patrika, Office, Prafulla Sarkar St, Esplanade, Chowringhee North, Bow Barracks, Kolkata, West Bengal 700001","Esplanade, Chowringhee North, Bow Barracks",22.567474,88.3535524,ChIJD2FfvKh3AjoRuihYCEuefxY,https://www.google.com/maps/place/?q=place_id:ChIJD2FfvKh3AjoRuihYCEuefxY,part_314,2026-09-20 20:17:13
THE 5TH GEAR,Automotive Service Chains,Auto Accessories Store,"Auto Accessories Store, Auto Accessories Wholesaler, Auto painting, Car stereo store",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",N/A,http://www.the5thgear.in/,4.7,77.0,"118, Elliot Rd, near Nonapukur Tram depot, Manicktala, Madhusudhan Market, Nonapukur, Taltala, Kolkata, West Bengal 700017","Manicktala, Madhusudhan Market, Nonapukur, Taltala",22.5504627,88.3621526,ChIJNeZbFVh3AjoRlTiis8Fmeb4,https://www.google.com/maps/place/?q=place_id:ChIJNeZbFVh3AjoRlTiis8Fmeb4,part_314,2026-09-20 20:17:13
Roadstar,Automotive Service Chains,Car stereo store,"Car stereo store, Car security system installer",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 96744 07959,N/A,4.2,299.0,"KP Roy Ln, Sahid Nagar, Garfa, Kolkata, West Bengal 700031","Sahid Nagar, Garfa",22.503501,88.3760006,ChIJj9SatzBxAjoRi8KKjnvPSpA,https://www.google.com/maps/place/?q=place_id:ChIJj9SatzBxAjoRi8KKjnvPSpA,part_314,2026-09-20 20:17:13
Bharat Auto Stores,Automotive Service Chains,Auto parts store,Auto parts store,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 98315 11810,N/A,4.2,15.0,"P-48, Princep St, Esplanade, Chowringhee North, Bow Barracks, Kolkata, West Bengal 700001","Esplanade, Chowringhee North, Bow Barracks",22.5679832,88.35431109999999,ChIJY0o366h3AjoRIztqzwHynTA,https://www.google.com/maps/place/?q=place_id:ChIJY0o366h3AjoRIztqzwHynTA,part_314,2026-09-20 20:17:13
Dugar Motor Agencies,Automotive Service Chains,Auto machine shop,Auto machine shop,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 98311 81470,N/A,4.1,16.0,"11, British Indian St, Esplanade, Chowringhee North, Bow Barracks, Kolkata, West Bengal 700013","Esplanade, Chowringhee North, Bow Barracks",22.5682925,88.3517846,ChIJw4xGZ6Z3AjoR7k-eVOESFy0,https://www.google.com/maps/place/?q=place_id:ChIJw4xGZ6Z3AjoR7k-eVOESFy0,part_314,2026-09-20 20:17:13
Gupta Automobiles,Automotive Service Chains,Wholesaler,"Wholesaler, Auto parts store",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 93314 11902,N/A,4.9,7.0,"100F, Karl Marx Sarani Rd, Babu Bazar, Kidderpore, Kolkata, West Bengal 700023","Babu Bazar, Kidderpore",22.5388761,88.31912129999999,ChIJaRwakeB5AjoRi9OcfO7VLew,https://www.google.com/maps/place/?q=place_id:ChIJaRwakeB5AjoRi9OcfO7VLew,part_314,2026-09-20 20:17:13
"TATA.CARS Service Centre - TC Motors, Niranjan Pally",Automotive Service Chains,Auto Accessories Store,"Auto Accessories Store, Auto parts store, Car wash, Electric motor repair shop",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 99039 67439,https://dealer-locator.cars.tatamotors.com/tata-cars-service-centre-tc-motors-niranjan-pally-auto-accessories-stores-niranjan-pally-kolkata-82166/Home?utm_source=locator&utm_medium=googleplaces,4.3,1994.0,"1, Saurav Ganguly Ave, near Pragati Sangha Club, Gopalpur I, Saratpally, Niranjan Pally, Rajarhat, Kolkata, West Bengal 700136","Gopalpur I, Saratpally, Niranjan Pally, Rajarhat",22.642604499999997,88.45376,ChIJTVCQ47uf-DkRV4fTbf6TOxw,https://www.google.com/maps/place/?q=place_id:ChIJTVCQ47uf-DkRV4fTbf6TOxw,part_314,2026-09-20 20:17:13
