business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Poonam ladies beauty parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 80130 72527,N/A,4.5,13.0,"22/2, south buxsara, near thakur pukur math, South Baksara, Baksara, Howrah, West Bengal 711110","South Baksara, Baksara",22.5712328,88.28505589999999,ChIJ4bbk11x5AjoR_kGXAB2Inm4,https://www.google.com/maps/place/?q=place_id:ChIJ4bbk11x5AjoR_kGXAB2Inm4,part_316,2026-09-20 20:17:16,3699
Mistu Beauty parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,5.0,43.0,"Uttar Jagacha, Jagacha, Howrah, West Bengal 711112","Uttar Jagacha, Jagacha",22.587741299999998,88.2841073,ChIJV2WcD7x5AjoRgbWCLwJZSHw,https://www.google.com/maps/place/?q=place_id:ChIJV2WcD7x5AjoRgbWCLwJZSHw,part_316,2026-09-20 20:17:16,3700
Parama Beauty Parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,5.0,1.0,"H7PM+MJR, Santragachi Station Rd, Santragachi, Kolkata, Howrah, West Bengal 711112",Santragachi,22.5867286,88.28401319999999,ChIJbwGVNwB5AjoRK_FgQDHmg2Q,https://www.google.com/maps/place/?q=place_id:ChIJbwGVNwB5AjoRK_FgQDHmg2Q,part_316,2026-09-20 20:17:16,3701
Dita'z Beauty Parlour & Makeover,Beauty Parlour,Beauty Parlour,Beauty Parlour,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 94323 46284,N/A,4.5,2.0,"Mihirlal Khan Institution, 161, Pratap Ghosh Sarani, Dharsa Harisavatala, GIP Colony, Near:, Jagacha, Dharsha, Howrah, West Bengal 711112","GIP Colony, Near:, Jagacha",22.5941302,88.2900035,ChIJC5Hikm15AjoRH924BWM9O-w,https://www.google.com/maps/place/?q=place_id:ChIJC5Hikm15AjoRH924BWM9O-w,part_316,2026-09-20 20:17:16,3702
Sriti's Beauty Saloon,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Facial spa, Foot massage parlor, Make-up artist, Tanning salon",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 84209 58144,N/A,5.0,3.0,"South nayabaz, Jagacha, Howrah, Nibra, West Bengal 711112",Jagacha,22.5897404,88.2785552,ChIJm4FpqWF5AjoR_aUSqGi6u7s,https://www.google.com/maps/place/?q=place_id:ChIJm4FpqWF5AjoR_aUSqGi6u7s,part_316,2026-09-20 20:17:16,3703
Tanvi Beauty Hub,Beauty Parlour,Beauty Parlour,Beauty Parlour,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 70446 88838,N/A,1.0,1.0,"105, Badal Bose Sarani, near AJANTA HOUSING COMPLEX, Badal Bose Sarani, Colony, Baksara, Howrah, West Bengal 711110","Badal Bose Sarani, Colony, Baksara",22.571658,88.2790369,ChIJ-zgnKZN5AjoRm3zIpcVKAIw,https://www.google.com/maps/place/?q=place_id:ChIJ-zgnKZN5AjoRm3zIpcVKAIw,part_316,2026-09-20 20:17:16,3704
CHANDRANI'S TOUCH UP,Beauty Parlour,Beauty Parlour,Beauty Parlour,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 82406 70700,N/A,5.0,2.0,"4, National Pl Rd, Baksara, Howrah, West Bengal 711110",Baksara,22.5785755,88.2922181,ChIJeTpnvl55AjoR47zhBdQAAtY,https://www.google.com/maps/place/?q=place_id:ChIJeTpnvl55AjoR47zhBdQAAtY,part_316,2026-09-20 20:17:16,3705
Paradise Makeover Salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 98007 51784,N/A,4.8,8.0,"61, Green Park, Baksara, Howrah, West Bengal 711110","Green Park, Baksara",22.580109099999998,88.28965459999999,ChIJl4atk_95AjoRwn1eKtTTiUc,https://www.google.com/maps/place/?q=place_id:ChIJl4atk_95AjoRwn1eKtTTiUc,part_316,2026-09-20 20:17:16,3706
Ekta Ladies Beaute Salon and Spa,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Spa",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,4.9,309.0,"493, GT Rd, Naora, Shibpur, Kolkata, Howrah, West Bengal 711102","Naora, Shibpur",22.571401299999998,88.3293082,ChIJhd8S-YV3AjoROcLCe6evqmc,https://www.google.com/maps/place/?q=place_id:ChIJhd8S-YV3AjoROcLCe6evqmc,part_316,2026-09-20 20:17:17,3707
NEW DIAMOND LADIES BEAUTY PARLOR,Beauty Parlour,Beauty Parlour,Beauty Parlour,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 62910 13540,N/A,4.2,11.0,"Ground floor shop 7, DEWA NEWA APARTMENT, Andul Rd, beside SBI, Mourigram, Howrah, West Bengal 711109",Mourigram,22.5689395,88.26769209999999,ChIJE_BFuU15AjoRUkwnwcGM1no,https://www.google.com/maps/place/?q=place_id:ChIJE_BFuU15AjoRUkwnwcGM1no,part_316,2026-09-20 20:17:17,3708
